#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.107811E+04   0.324038E+01   0.320463E-02   0.324038E+01   0.466847E-01  -0.155603E-04   0.320463E-02  -0.155603E-04   0.527738E-07
     3   0.101861E+04   0.398808E+01   0.321723E-02   0.398808E+01   0.745158E-01  -0.187548E-04   0.321723E-02  -0.187548E-04   0.643022E-07
     4   0.959582E+03   0.405337E+01   0.315131E-02   0.405337E+01   0.820465E-01  -0.187361E-04   0.315131E-02  -0.187361E-04   0.741590E-07
     5   0.913433E+03   0.372144E+01   0.305332E-02   0.372144E+01   0.713415E-01  -0.163938E-04   0.305332E-02  -0.163938E-04   0.827255E-07
     6   0.880020E+03   0.322479E+01   0.294399E-02   0.322479E+01   0.517313E-01  -0.125037E-04   0.294399E-02  -0.125037E-04   0.902149E-07
     7   0.857375E+03   0.268954E+01   0.283527E-02   0.268954E+01   0.324144E-01  -0.800816E-05   0.283527E-02  -0.800816E-05   0.968196E-07
     8   0.842691E+03   0.217962E+01   0.272795E-02   0.217962E+01   0.185368E-01  -0.389425E-05   0.272795E-02  -0.389425E-05   0.102675E-06
     9   0.834115E+03   0.174873E+01   0.262010E-02   0.174873E+01   0.108614E-01  -0.786461E-06   0.262010E-02  -0.786461E-06   0.107896E-06
    10   0.830271E+03   0.142452E+01   0.251345E-02   0.142452E+01   0.759168E-02   0.126249E-05   0.251345E-02   0.126249E-05   0.112555E-06
    11   0.829878E+03   0.120897E+01   0.241323E-02   0.120897E+01   0.645620E-02   0.259853E-05   0.241323E-02   0.259853E-05   0.116733E-06
    12   0.833005E+03   0.109139E+01   0.232183E-02   0.109139E+01   0.592527E-02   0.310128E-05   0.232183E-02   0.310128E-05   0.120486E-06
    13   0.837913E+03   0.104940E+01   0.223996E-02   0.104940E+01   0.552941E-02   0.262924E-05   0.223996E-02   0.262924E-05   0.123860E-06
    14   0.843919E+03   0.106394E+01   0.216549E-02   0.106394E+01   0.501950E-02   0.153367E-05   0.216549E-02   0.153367E-05   0.126892E-06
    15   0.851364E+03   0.111588E+01   0.209553E-02   0.111588E+01   0.455675E-02   0.288994E-06   0.209553E-02   0.288994E-06   0.129617E-06
    16   0.860606E+03   0.118711E+01   0.202777E-02   0.118711E+01   0.438720E-02  -0.715699E-06   0.202777E-02  -0.715699E-06   0.132067E-06
    17   0.871398E+03   0.126256E+01   0.196198E-02   0.126256E+01   0.464644E-02  -0.143278E-05   0.196198E-02  -0.143278E-05   0.134267E-06
    18   0.882692E+03   0.133165E+01   0.189847E-02   0.133165E+01   0.520272E-02  -0.189998E-05   0.189847E-02  -0.189998E-05   0.136238E-06
    19   0.895594E+03   0.139198E+01   0.183755E-02   0.139198E+01   0.581385E-02  -0.215503E-05   0.183755E-02  -0.215503E-05   0.138001E-06
    20   0.908685E+03   0.144127E+01   0.177953E-02   0.144127E+01   0.632382E-02  -0.223567E-05   0.177953E-02  -0.223567E-05   0.139578E-06
