#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.108527E+04   0.324304E+01   0.324907E-02   0.324304E+01   0.472510E-01  -0.156486E-04   0.324907E-02  -0.156486E-04   0.525667E-07
     3   0.102375E+04   0.399029E+01   0.325887E-02   0.399029E+01   0.750289E-01  -0.188180E-04   0.325887E-02  -0.188180E-04   0.640679E-07
     4   0.963300E+03   0.405084E+01   0.319029E-02   0.405084E+01   0.821303E-01  -0.187393E-04   0.319029E-02  -0.187393E-04   0.739033E-07
     5   0.916176E+03   0.371359E+01   0.308979E-02   0.371359E+01   0.709527E-01  -0.163194E-04   0.308979E-02  -0.163194E-04   0.824524E-07
     6   0.882113E+03   0.321300E+01   0.297826E-02   0.321300E+01   0.510885E-01  -0.123589E-04   0.297826E-02  -0.123589E-04   0.899278E-07
     7   0.859037E+03   0.267445E+01   0.286765E-02   0.267445E+01   0.317928E-01  -0.782957E-05   0.286765E-02  -0.782957E-05   0.965210E-07
     8   0.844049E+03   0.216258E+01   0.275863E-02   0.216258E+01   0.181036E-01  -0.372831E-05   0.275863E-02  -0.372831E-05   0.102367E-06
     9   0.835253E+03   0.173235E+01   0.264916E-02   0.173235E+01   0.106335E-01  -0.659653E-06   0.264916E-02  -0.659653E-06   0.107581E-06
    10   0.831249E+03   0.141065E+01   0.254100E-02   0.141065E+01   0.749090E-02   0.135012E-05   0.254100E-02   0.135012E-05   0.112233E-06
    11   0.830736E+03   0.119897E+01   0.243944E-02   0.119897E+01   0.639606E-02   0.265302E-05   0.243944E-02   0.265302E-05   0.116405E-06
    12   0.833777E+03   0.108528E+01   0.234690E-02   0.108528E+01   0.586448E-02   0.311397E-05   0.234690E-02   0.311397E-05   0.120154E-06
    13   0.838626E+03   0.104595E+01   0.226407E-02   0.104595E+01   0.547105E-02   0.258022E-05   0.226407E-02   0.258022E-05   0.123524E-06
    14   0.844595E+03   0.106195E+01   0.218873E-02   0.106195E+01   0.497041E-02   0.142177E-05   0.218873E-02   0.142177E-05   0.126553E-06
    15   0.852017E+03   0.111457E+01   0.211794E-02   0.111457E+01   0.451743E-02   0.139350E-06   0.211794E-02   0.139350E-06   0.129276E-06
    16   0.861243E+03   0.118605E+01   0.204929E-02   0.118605E+01   0.435317E-02  -0.858505E-06   0.204929E-02  -0.858505E-06   0.131724E-06
