#    L    TT             EE             BB             TE          
    91   0.241467E+04   0.637762E+00   0.269248E-02  -0.171935E+02
    92   0.244385E+04   0.653395E+00   0.275249E-02  -0.178279E+02
    93   0.247332E+04   0.668966E+00   0.281321E-02  -0.184664E+02
    94   0.250286E+04   0.684440E+00   0.287465E-02  -0.191076E+02
    95   0.253269E+04   0.699820E+00   0.293681E-02  -0.197524E+02
    96   0.256252E+04   0.715095E+00   0.299970E-02  -0.204001E+02
    97   0.259280E+04   0.730253E+00   0.306332E-02  -0.210502E+02
    98   0.262330E+04   0.745290E+00   0.312767E-02  -0.217003E+02
    99   0.265387E+04   0.760171E+00   0.319276E-02  -0.223537E+02
   100   0.268474E+04   0.774901E+00   0.325858E-02  -0.230060E+02
   101   0.271576E+04   0.789541E+00   0.332515E-02  -0.236602E+02
   102   0.274730E+04   0.803947E+00   0.339247E-02  -0.243143E+02
   103   0.277877E+04   0.818195E+00   0.346054E-02  -0.249691E+02
   104   0.281047E+04   0.832290E+00   0.352937E-02  -0.256216E+02
   105   0.284232E+04   0.846159E+00   0.359895E-02  -0.262736E+02
   106   0.287440E+04   0.859881E+00   0.366930E-02  -0.269243E+02
   107   0.290642E+04   0.873309E+00   0.374042E-02  -0.275724E+02
   108   0.293881E+04   0.886523E+00   0.381230E-02  -0.282188E+02
   109   0.297136E+04   0.899449E+00   0.388496E-02  -0.288619E+02
   110   0.300400E+04   0.912093E+00   0.395840E-02  -0.295006E+02
   111   0.303680E+04   0.924530E+00   0.403263E-02  -0.301362E+02
   112   0.306975E+04   0.936685E+00   0.410764E-02  -0.307681E+02
   113   0.310294E+04   0.948558E+00   0.418344E-02  -0.313947E+02
   114   0.313621E+04   0.960073E+00   0.426004E-02  -0.320151E+02
   115   0.316971E+04   0.971377E+00   0.433744E-02  -0.326293E+02
   116   0.320322E+04   0.982245E+00   0.441564E-02  -0.332365E+02
   117   0.323704E+04   0.992752E+00   0.449466E-02  -0.338359E+02
   118   0.327101E+04   0.100304E+01   0.457449E-02  -0.344281E+02
   119   0.330499E+04   0.101297E+01   0.465514E-02  -0.350108E+02
   120   0.333912E+04   0.102238E+01   0.473662E-02  -0.355840E+02
   121   0.337326E+04   0.103158E+01   0.481893E-02  -0.361476E+02
   122   0.340748E+04   0.104026E+01   0.490207E-02  -0.367007E+02
   123   0.344178E+04   0.104849E+01   0.498606E-02  -0.372434E+02
   124   0.347615E+04   0.105635E+01   0.507090E-02  -0.377726E+02
   125   0.351053E+04   0.106377E+01   0.515660E-02  -0.382903E+02
   126   0.354499E+04   0.107081E+01   0.524316E-02  -0.387959E+02
   127   0.357945E+04   0.107733E+01   0.533058E-02  -0.392885E+02
   128   0.361391E+04   0.108347E+01   0.541889E-02  -0.397673E+02
   129   0.364844E+04   0.108909E+01   0.550807E-02  -0.402314E+02
   130   0.368298E+04   0.109418E+01   0.559815E-02  -0.406801E+02
   131   0.371752E+04   0.109889E+01   0.568912E-02  -0.411148E+02
   132   0.375213E+04   0.110307E+01   0.578099E-02  -0.415325E+02
   133   0.378667E+04   0.110680E+01   0.587378E-02  -0.419355E+02
   134   0.382121E+04   0.111008E+01   0.596749E-02  -0.423193E+02
   135   0.385576E+04   0.111282E+01   0.606213E-02  -0.426869E+02
   136   0.389016E+04   0.111504E+01   0.615770E-02  -0.430347E+02
   137   0.392456E+04   0.111680E+01   0.625422E-02  -0.433648E+02
   138   0.395888E+04   0.111804E+01   0.635168E-02  -0.436758E+02
   139   0.399299E+04   0.111890E+01   0.645011E-02  -0.439670E+02
   140   0.402718E+04   0.111915E+01   0.654950E-02  -0.442392E+02
   141   0.406115E+04   0.111888E+01   0.664987E-02  -0.444901E+02
   142   0.409513E+04   0.111815E+01   0.675123E-02  -0.447205E+02
   143   0.412903E+04   0.111697E+01   0.685357E-02  -0.449304E+02
   144   0.416272E+04   0.111526E+01   0.695691E-02  -0.451191E+02
   145   0.419626E+04   0.111317E+01   0.706126E-02  -0.452859E+02
   146   0.422989E+04   0.111048E+01   0.716662E-02  -0.454308E+02
   147   0.426315E+04   0.110741E+01   0.727300E-02  -0.455523E+02
   148   0.429627E+04   0.110381E+01   0.738041E-02  -0.456519E+02
   149   0.432932E+04   0.109976E+01   0.748885E-02  -0.457282E+02
   150   0.436208E+04   0.109533E+01   0.759834E-02  -0.457789E+02
   151   0.439470E+04   0.109044E+01   0.770887E-02  -0.458071E+02
   152   0.442704E+04   0.108503E+01   0.782045E-02  -0.458113E+02
   153   0.445922E+04   0.107924E+01   0.793309E-02  -0.457892E+02
   154   0.449119E+04   0.107308E+01   0.804680E-02  -0.457430E+02
   155   0.452294E+04   0.106653E+01   0.816157E-02  -0.456719E+02
   156   0.455432E+04   0.105962E+01   0.827741E-02  -0.455761E+02
