#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.305096E-02   0.187710E+08   0.187690E+08   0.243073E+04  -0.504892E+05   0.000000E+00   0.187707E+08   0.187707E+08   0.187707E+08  -0.446149E+00   0.984100E+07   0.984088E+07   0.119071E+02
   0.371062E-02   0.184594E+08   0.184569E+08  -0.169298E+05  -0.335646E+05   0.000000E+00   0.184590E+08   0.184590E+08   0.184590E+08  -0.438740E+00   0.967754E+07   0.967744E+07   0.976606E+01
   0.451292E-02   0.180751E+08   0.180720E+08  -0.135764E+05  -0.222180E+05   0.000000E+00   0.180746E+08   0.180746E+08   0.180746E+08  -0.429602E+00   0.947598E+07   0.947587E+07   0.790671E+01
   0.548869E-02   0.176070E+08   0.176029E+08  -0.120900E+05  -0.146310E+05   0.000000E+00   0.176064E+08   0.176064E+08   0.176064E+08  -0.418472E+00   0.923049E+07   0.923038E+07   0.645932E+01
   0.667543E-02   0.170440E+08   0.170386E+08  -0.102697E+05  -0.957472E+04   0.000000E+00   0.170431E+08   0.170431E+08   0.170431E+08  -0.405085E+00   0.893519E+07   0.893509E+07   0.524391E+01
   0.811877E-02   0.163747E+08   0.163675E+08  -0.635650E+04  -0.621865E+04   0.000000E+00   0.163736E+08   0.163736E+08   0.163736E+08  -0.389172E+00   0.858418E+07   0.858408E+07   0.426207E+01
   0.987418E-02   0.155899E+08   0.155800E+08   0.171429E+04  -0.400249E+04   0.000000E+00   0.155884E+08   0.155884E+08   0.155884E+08  -0.370508E+00   0.817251E+07   0.817241E+07   0.348064E+01
   0.120091E-01   0.146754E+08   0.146619E+08  -0.212336E+04  -0.254705E+04   0.000000E+00   0.146733E+08   0.146733E+08   0.146733E+08  -0.348759E+00   0.769279E+07   0.769269E+07   0.285435E+01
   0.146057E-01   0.136291E+08   0.136108E+08   0.356179E+03  -0.159906E+04   0.000000E+00   0.136262E+08   0.136262E+08   0.136262E+08  -0.323872E+00   0.714383E+07   0.714373E+07   0.235823E+01
   0.177637E-01   0.124373E+08   0.124130E+08  -0.115630E+04  -0.986434E+03   0.000000E+00   0.124336E+08   0.124336E+08   0.124336E+08  -0.295523E+00   0.651855E+07   0.651845E+07   0.195836E+01
   0.216045E-01   0.111135E+08   0.110821E+08  -0.621245E+02  -0.595825E+03   0.000000E+00   0.111086E+08   0.111086E+08   0.111086E+08  -0.264032E+00   0.582393E+07   0.582382E+07   0.162935E+01
   0.259254E-01   0.978169E+07   0.974384E+07   0.205191E+02  -0.364133E+03   0.000000E+00   0.977583E+07   0.977583E+07   0.977583E+07  -0.232354E+00   0.512521E+07   0.512510E+07   0.135860E+01
   0.302463E-01   0.862226E+07   0.858012E+07  -0.691160E+02  -0.235784E+03   0.000000E+00   0.861574E+07   0.861574E+07   0.861574E+07  -0.204781E+00   0.451701E+07   0.451691E+07   0.113962E+01
   0.345672E-01   0.763687E+07   0.759306E+07  -0.242459E+02  -0.159873E+03   0.000000E+00   0.763009E+07   0.763009E+07   0.763009E+07  -0.181354E+00   0.400027E+07   0.400017E+07   0.949106E+00
   0.388881E-01   0.682043E+07   0.677756E+07  -0.208902E+02  -0.112806E+03   0.000000E+00   0.681380E+07   0.681380E+07   0.681380E+07  -0.161952E+00   0.357231E+07   0.357222E+07   0.778838E+00
   0.432090E-01   0.615933E+07   0.611962E+07  -0.184519E+02  -0.825137E+02   0.000000E+00   0.615318E+07   0.615318E+07   0.615318E+07  -0.146250E+00   0.322596E+07   0.322588E+07   0.627448E+00
   0.475299E-01   0.563062E+07   0.559564E+07   0.121408E+03  -0.623411E+02   0.000000E+00   0.562521E+07   0.562521E+07   0.562521E+07  -0.133701E+00   0.294916E+07   0.294909E+07   0.496190E+00
   0.518508E-01   0.521403E+07   0.518456E+07   0.944779E+02  -0.485115E+02   0.000000E+00   0.520947E+07   0.520947E+07   0.520947E+07  -0.123820E+00   0.273119E+07   0.273113E+07   0.386858E+00
   0.561717E-01   0.487459E+07   0.485060E+07   0.752704E+02  -0.386478E+02   0.000000E+00   0.487088E+07   0.487088E+07   0.487088E+07  -0.115772E+00   0.255367E+07   0.255362E+07   0.299989E+00
   0.604926E-01   0.458806E+07   0.456885E+07   0.610941E+02  -0.313681E+02   0.000000E+00   0.458509E+07   0.458509E+07   0.458509E+07  -0.108979E+00   0.240383E+07   0.240379E+07   0.234938E+00
   0.648135E-01   0.433113E+07   0.431555E+07   0.502444E+02  -0.257969E+02   0.000000E+00   0.432872E+07   0.432872E+07   0.432872E+07  -0.102886E+00   0.226942E+07   0.226938E+07   0.189494E+00
   0.691344E-01   0.408789E+07   0.407458E+07   0.416824E+02  -0.214007E+02   0.000000E+00   0.408583E+07   0.408583E+07   0.408583E+07  -0.971128E-01   0.214208E+07   0.214205E+07   0.160346E+00
   0.734553E-01   0.384884E+07   0.383649E+07   0.347639E+02  -0.178486E+02   0.000000E+00   0.384693E+07   0.384693E+07   0.384693E+07  -0.914347E-01   0.201683E+07   0.201680E+07   0.143512E+00
   0.777762E-01   0.361145E+07   0.359898E+07   0.290948E+02  -0.149381E+02   0.000000E+00   0.360952E+07   0.360952E+07   0.360952E+07  -0.857919E-01   0.189237E+07   0.189234E+07   0.134872E+00
   0.820971E-01   0.337785E+07   0.336456E+07   0.244217E+02  -0.125391E+02   0.000000E+00   0.337579E+07   0.337579E+07   0.337579E+07  -0.802366E-01   0.176983E+07   0.176980E+07   0.130626E+00
   0.864180E-01   0.315360E+07   0.313922E+07   0.205751E+02  -0.105644E+02   0.000000E+00   0.315137E+07   0.315137E+07   0.315137E+07  -0.749025E-01   0.165218E+07   0.165214E+07   0.127680E+00
   0.907389E-01   0.294456E+07   0.292922E+07   0.174233E+02  -0.894632E+01   0.000000E+00   0.294219E+07   0.294219E+07   0.294219E+07  -0.699306E-01   0.154251E+07   0.154248E+07   0.123846E+00
   0.961016E-01   0.271409E+07   0.269815E+07   0.143157E+02  -0.735083E+01   0.000000E+00   0.271162E+07   0.271162E+07   0.271162E+07  -0.644505E-01   0.142164E+07   0.142160E+07   0.116131E+00
   0.101464E+00   0.252206E+07   0.250645E+07   0.119332E+02  -0.612751E+01   0.000000E+00   0.251965E+07   0.251965E+07   0.251965E+07  -0.598875E-01   0.132099E+07   0.132096E+07   0.104831E+00
   0.106827E+00   0.236940E+07   0.235502E+07   0.101138E+02  -0.519322E+01   0.000000E+00   0.236718E+07   0.236718E+07   0.236718E+07  -0.562636E-01   0.124105E+07   0.124102E+07   0.910244E-01
   0.112190E+00   0.224962E+07   0.223708E+07   0.870717E+01  -0.447085E+01   0.000000E+00   0.224768E+07   0.224768E+07   0.224768E+07  -0.534234E-01   0.117840E+07   0.117837E+07   0.765254E-01
   0.117552E+00   0.215167E+07   0.214116E+07   0.758641E+01  -0.389527E+01   0.000000E+00   0.215004E+07   0.215004E+07   0.215004E+07  -0.511027E-01   0.112721E+07   0.112719E+07   0.631967E-01
   0.122915E+00   0.206434E+07   0.205566E+07   0.665801E+01  -0.341848E+01   0.000000E+00   0.206300E+07   0.206300E+07   0.206300E+07  -0.490337E-01   0.108157E+07   0.108155E+07   0.524360E-01
   0.128278E+00   0.197882E+07   0.197144E+07   0.586018E+01  -0.300880E+01   0.000000E+00   0.197768E+07   0.197768E+07   0.197768E+07  -0.470058E-01   0.103684E+07   0.103682E+07   0.448937E-01
   0.133640E+00   0.188966E+07   0.188293E+07   0.515617E+01  -0.264732E+01   0.000000E+00   0.188862E+07   0.188862E+07   0.188862E+07  -0.448890E-01   0.990146E+06   0.990130E+06   0.404460E-01
   0.139003E+00   0.179548E+07   0.178881E+07   0.452835E+01  -0.232500E+01   0.000000E+00   0.179445E+07   0.179445E+07   0.179445E+07  -0.426508E-01   0.940777E+06   0.940761E+06   0.383801E-01
   0.144366E+00   0.169861E+07   0.169160E+07   0.397140E+01  -0.203908E+01   0.000000E+00   0.169753E+07   0.169753E+07   0.169753E+07  -0.403472E-01   0.889966E+06   0.889950E+06   0.376874E-01
   0.149728E+00   0.160336E+07   0.159586E+07   0.348465E+01  -0.178921E+01   0.000000E+00   0.160220E+07   0.160220E+07   0.160220E+07  -0.380814E-01   0.839989E+06   0.839972E+06   0.373570E-01
   0.155091E+00   0.151432E+07   0.150642E+07   0.306720E+01  -0.157490E+01   0.000000E+00   0.151310E+07   0.151310E+07   0.151310E+07  -0.359637E-01   0.793278E+06   0.793261E+06   0.366090E-01
   0.160454E+00   0.143545E+07   0.142742E+07   0.271619E+01  -0.139469E+01   0.000000E+00   0.143421E+07   0.143421E+07   0.143421E+07  -0.340886E-01   0.751920E+06   0.751903E+06   0.350261E-01
   0.165817E+00   0.136904E+07   0.136122E+07   0.242561E+01  -0.124549E+01   0.000000E+00   0.136783E+07   0.136783E+07   0.136783E+07  -0.325108E-01   0.717116E+06   0.717100E+06   0.325668E-01
   0.171179E+00   0.131472E+07   0.130742E+07   0.218577E+01  -0.112232E+01   0.000000E+00   0.131359E+07   0.131359E+07   0.131359E+07  -0.312216E-01   0.688679E+06   0.688664E+06   0.294791E-01
   0.176542E+00   0.126978E+07   0.126320E+07   0.198489E+01  -0.101916E+01   0.000000E+00   0.126877E+07   0.126877E+07   0.126877E+07  -0.301563E-01   0.665179E+06   0.665166E+06   0.261667E-01
   0.181905E+00   0.123058E+07   0.122475E+07   0.181200E+01  -0.930372E+00   0.000000E+00   0.122968E+07   0.122968E+07   0.122968E+07  -0.292273E-01   0.644688E+06   0.644675E+06   0.230514E-01
   0.187267E+00   0.119369E+07   0.118853E+07   0.165857E+01  -0.851579E+00   0.000000E+00   0.119289E+07   0.119289E+07   0.119289E+07  -0.283530E-01   0.625401E+06   0.625389E+06   0.204612E-01
   0.192630E+00   0.115638E+07   0.115169E+07   0.151858E+01  -0.779697E+00   0.000000E+00   0.115566E+07   0.115566E+07   0.115566E+07  -0.274679E-01   0.605878E+06   0.605868E+06   0.185620E-01
   0.197993E+00   0.111698E+07   0.111253E+07   0.138847E+01  -0.712891E+00   0.000000E+00   0.111629E+07   0.111629E+07   0.111629E+07  -0.265323E-01   0.585240E+06   0.585230E+06   0.173457E-01
   0.203355E+00   0.107528E+07   0.107087E+07   0.126704E+01  -0.650550E+00   0.000000E+00   0.107460E+07   0.107460E+07   0.107460E+07  -0.255413E-01   0.563382E+06   0.563371E+06   0.166659E-01
   0.208718E+00   0.103244E+07   0.102794E+07   0.115480E+01  -0.592929E+00   0.000000E+00   0.103175E+07   0.103175E+07   0.103175E+07  -0.245228E-01   0.540917E+06   0.540906E+06   0.163008E-01
   0.214081E+00   0.990290E+06   0.985643E+06   0.105279E+01  -0.540561E+00   0.000000E+00   0.989571E+06   0.989571E+06   0.989571E+06  -0.235203E-01   0.518805E+06   0.518795E+06   0.160199E-01
   0.219443E+00   0.950584E+06   0.945833E+06   0.961744E+00  -0.493816E+00   0.000000E+00   0.949849E+06   0.949849E+06   0.949849E+06  -0.225762E-01   0.497980E+06   0.497970E+06   0.156394E-01
   0.224806E+00   0.914652E+06   0.909893E+06   0.881737E+00  -0.452739E+00   0.000000E+00   0.913916E+06   0.913916E+06   0.913916E+06  -0.217221E-01   0.479142E+06   0.479131E+06   0.150561E-01
   0.230169E+00   0.883140E+06   0.878494E+06   0.812142E+00  -0.417005E+00   0.000000E+00   0.882421E+06   0.882421E+06   0.882421E+06  -0.209736E-01   0.462630E+06   0.462620E+06   0.142541E-01
   0.235531E+00   0.855905E+06   0.851478E+06   0.751674E+00  -0.385956E+00   0.000000E+00   0.855220E+06   0.855220E+06   0.855220E+06  -0.203271E-01   0.448369E+06   0.448360E+06   0.132900E-01
   0.240894E+00   0.832140E+06   0.828000E+06   0.698651E+00  -0.358727E+00   0.000000E+00   0.831500E+06   0.831500E+06   0.831500E+06  -0.197633E-01   0.435933E+06   0.435924E+06   0.122624E-01
   0.246257E+00   0.810663E+06   0.806827E+06   0.651325E+00  -0.334424E+00   0.000000E+00   0.810069E+06   0.810069E+06   0.810069E+06  -0.192539E-01   0.424697E+06   0.424689E+06   0.112784E-01
   0.251620E+00   0.790200E+06   0.786637E+06   0.608133E+00  -0.312244E+00   0.000000E+00   0.789648E+06   0.789648E+06   0.789648E+06  -0.187685E-01   0.413991E+06   0.413983E+06   0.104239E-01
   0.256982E+00   0.769672E+06   0.766315E+06   0.567885E+00  -0.291578E+00   0.000000E+00   0.769152E+06   0.769152E+06   0.769152E+06  -0.182814E-01   0.403245E+06   0.403238E+06   0.974585E-02
   0.262345E+00   0.748484E+06   0.745255E+06   0.529910E+00  -0.272079E+00   0.000000E+00   0.747984E+06   0.747984E+06   0.747984E+06  -0.177782E-01   0.392147E+06   0.392140E+06   0.924859E-02
   0.267708E+00   0.726636E+06   0.723460E+06   0.494033E+00  -0.253659E+00   0.000000E+00   0.726145E+06   0.726145E+06   0.726145E+06  -0.172592E-01   0.380697E+06   0.380690E+06   0.890031E-02
   0.273070E+00   0.704547E+06   0.701375E+06   0.460375E+00  -0.236379E+00   0.000000E+00   0.704056E+06   0.704056E+06   0.704056E+06  -0.167341E-01   0.369117E+06   0.369110E+06   0.864697E-02
