#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.108527E+04   0.324303E+01   0.324906E-02   0.324303E+01   0.472510E-01  -0.156485E-04   0.324906E-02  -0.156485E-04   0.525657E-07
     3   0.102375E+04   0.399028E+01   0.325886E-02   0.399028E+01   0.750288E-01  -0.188179E-04   0.325886E-02  -0.188179E-04   0.640660E-07
     4   0.963295E+03   0.405082E+01   0.319028E-02   0.405082E+01   0.821302E-01  -0.187392E-04   0.319028E-02  -0.187392E-04   0.739009E-07
     5   0.916170E+03   0.371357E+01   0.308977E-02   0.371357E+01   0.709526E-01  -0.163194E-04   0.308977E-02  -0.163194E-04   0.824496E-07
     6   0.882107E+03   0.321298E+01   0.297824E-02   0.321298E+01   0.510884E-01  -0.123589E-04   0.297824E-02  -0.123589E-04   0.899243E-07
     7   0.859031E+03   0.267444E+01   0.286763E-02   0.267444E+01   0.317927E-01  -0.782954E-05   0.286763E-02  -0.782954E-05   0.965170E-07
     8   0.844042E+03   0.216258E+01   0.275861E-02   0.216258E+01   0.181036E-01  -0.372827E-05   0.275861E-02  -0.372827E-05   0.102362E-06
     9   0.835246E+03   0.173235E+01   0.264915E-02   0.173235E+01   0.106335E-01  -0.659617E-06   0.264915E-02  -0.659617E-06   0.107575E-06
    10   0.831241E+03   0.141065E+01   0.254098E-02   0.141065E+01   0.749092E-02   0.135016E-05   0.254098E-02   0.135016E-05   0.112227E-06
    11   0.830727E+03   0.119897E+01   0.243942E-02   0.119897E+01   0.639607E-02   0.265305E-05   0.243942E-02   0.265305E-05   0.116399E-06
    12   0.833766E+03   0.108529E+01   0.234688E-02   0.108529E+01   0.586448E-02   0.311401E-05   0.234688E-02   0.311401E-05   0.120147E-06
    13   0.838614E+03   0.104595E+01   0.226405E-02   0.104595E+01   0.547104E-02   0.258025E-05   0.226405E-02   0.258025E-05   0.123517E-06
    14   0.844581E+03   0.106195E+01   0.218870E-02   0.106195E+01   0.497038E-02   0.142180E-05   0.218870E-02   0.142180E-05   0.126545E-06
    15   0.852001E+03   0.111457E+01   0.211791E-02   0.111457E+01   0.451739E-02   0.139381E-06   0.211791E-02   0.139381E-06   0.129267E-06
    16   0.861225E+03   0.118605E+01   0.204926E-02   0.118605E+01   0.435311E-02  -0.858475E-06   0.204926E-02  -0.858475E-06   0.131715E-06
