#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.128531E+04   0.150584E+01   0.988599E-03   0.150584E+01   0.719169E-01  -0.117985E-05   0.988599E-03  -0.117985E-05   0.146457E-06
    44   0.130393E+04   0.140594E+01   0.967001E-03   0.140594E+01   0.775794E-01  -0.906983E-06   0.967001E-03  -0.906983E-06   0.146081E-06
    45   0.132293E+04   0.129813E+01   0.946185E-03   0.129813E+01   0.835458E-01  -0.606943E-06   0.946185E-03  -0.606943E-06   0.145675E-06
    46   0.134222E+04   0.118072E+01   0.926119E-03   0.118072E+01   0.898236E-01  -0.301809E-06   0.926119E-03  -0.301809E-06   0.145241E-06
    47   0.136165E+04   0.105233E+01   0.906772E-03   0.105233E+01   0.963920E-01  -0.136613E-07   0.906772E-03  -0.136613E-07   0.144782E-06
    48   0.138116E+04   0.914390E+00   0.888112E-03   0.914390E+00   0.103230E+00   0.235420E-06   0.888112E-03   0.235420E-06   0.144300E-06
    49   0.140081E+04   0.767692E+00   0.870106E-03   0.767692E+00   0.110295E+00   0.423357E-06   0.870106E-03   0.423357E-06   0.143795E-06
    50   0.142082E+04   0.606267E+00   0.852723E-03   0.606267E+00   0.117536E+00   0.528067E-06   0.852723E-03   0.528067E-06   0.143271E-06
    51   0.144097E+04   0.423706E+00   0.835933E-03   0.423706E+00   0.124911E+00   0.534285E-06   0.835933E-03   0.534285E-06   0.142729E-06
    52   0.146149E+04   0.217497E+00   0.819710E-03   0.217497E+00   0.132529E+00   0.453987E-06   0.819710E-03   0.453987E-06   0.142169E-06
    53   0.148200E+04  -0.120487E-01   0.804031E-03  -0.120487E-01   0.140576E+00   0.305967E-06   0.804031E-03   0.305967E-06   0.141594E-06
    54   0.150244E+04  -0.256651E+00   0.788870E-03  -0.256651E+00   0.149082E+00   0.109013E-06   0.788870E-03   0.109013E-06   0.141004E-06
    55   0.152303E+04  -0.507914E+00   0.774204E-03  -0.507914E+00   0.158061E+00  -0.118083E-06   0.774204E-03  -0.118083E-06   0.140400E-06
    56   0.154401E+04  -0.764585E+00   0.760009E-03  -0.764585E+00   0.167393E+00  -0.356531E-06   0.760009E-03  -0.356531E-06   0.139782E-06
    57   0.156529E+04  -0.102767E+01   0.746261E-03  -0.102767E+01   0.176945E+00  -0.587540E-06   0.746261E-03  -0.587540E-06   0.139152E-06
    58   0.158689E+04  -0.129998E+01   0.732936E-03  -0.129998E+01   0.186685E+00  -0.792318E-06   0.732936E-03  -0.792318E-06   0.138510E-06
    59   0.160865E+04  -0.158433E+01   0.720009E-03  -0.158433E+01   0.196615E+00  -0.952077E-06   0.720009E-03  -0.952077E-06   0.137858E-06
    60   0.163059E+04  -0.188212E+01   0.707457E-03  -0.188212E+01   0.206746E+00  -0.104802E-05   0.707457E-03  -0.104802E-05   0.137196E-06
    61   0.165300E+04  -0.219420E+01   0.695256E-03  -0.219420E+01   0.217148E+00  -0.106704E-05   0.695256E-03  -0.106704E-05   0.136526E-06
    62   0.167529E+04  -0.252163E+01   0.683383E-03  -0.252163E+01   0.227830E+00  -0.101873E-05   0.683383E-03  -0.101873E-05   0.135847E-06
    63   0.169766E+04  -0.286514E+01   0.671814E-03  -0.286514E+01   0.238789E+00  -0.918330E-06   0.671814E-03  -0.918330E-06   0.135161E-06
    64   0.172043E+04  -0.322569E+01   0.660527E-03  -0.322569E+01   0.250072E+00  -0.781121E-06   0.660527E-03  -0.781121E-06   0.134469E-06
    65   0.174321E+04  -0.360363E+01   0.649499E-03  -0.360363E+01   0.261691E+00  -0.622360E-06   0.649499E-03  -0.622360E-06   0.133770E-06
    66   0.176629E+04  -0.399682E+01   0.638707E-03  -0.399682E+01   0.273606E+00  -0.457311E-06   0.638707E-03  -0.457311E-06   0.133066E-06
    67   0.178952E+04  -0.440203E+01   0.628128E-03  -0.440203E+01   0.285804E+00  -0.301235E-06   0.628128E-03  -0.301235E-06   0.132358E-06
    68   0.181320E+04  -0.481712E+01   0.617739E-03  -0.481712E+01   0.298304E+00  -0.169396E-06   0.617739E-03  -0.169396E-06   0.131646E-06
    69   0.183709E+04  -0.523984E+01   0.607517E-03  -0.523984E+01   0.311044E+00  -0.770567E-07   0.607517E-03  -0.770567E-07   0.130931E-06
    70   0.186135E+04  -0.567137E+01   0.597439E-03  -0.567137E+01   0.324041E+00  -0.394789E-07   0.597439E-03  -0.394789E-07   0.130213E-06
    71   0.188582E+04  -0.611384E+01   0.587490E-03  -0.611384E+01   0.337270E+00  -0.674459E-07   0.587490E-03  -0.674459E-07   0.129494E-06
    72   0.191050E+04  -0.656919E+01   0.577684E-03  -0.656919E+01   0.350714E+00  -0.153822E-06   0.577684E-03  -0.153822E-06   0.128773E-06
    73   0.193533E+04  -0.703881E+01   0.568045E-03  -0.703881E+01   0.364358E+00  -0.286992E-06   0.568045E-03  -0.286992E-06   0.128051E-06
    74   0.196030E+04  -0.752263E+01   0.558595E-03  -0.752263E+01   0.378208E+00  -0.455342E-06   0.558595E-03  -0.455342E-06   0.127328E-06
    75   0.198550E+04  -0.801996E+01   0.549357E-03  -0.801996E+01   0.392293E+00  -0.647254E-06   0.549357E-03  -0.647254E-06   0.126603E-06
    76   0.201085E+04  -0.853072E+01   0.540353E-03  -0.853072E+01   0.406627E+00  -0.851115E-06   0.540353E-03  -0.851115E-06   0.125879E-06
    77   0.203643E+04  -0.905430E+01   0.531607E-03  -0.905430E+01   0.421194E+00  -0.105531E-05   0.531607E-03  -0.105531E-05   0.125153E-06
    78   0.206233E+04  -0.959143E+01   0.523140E-03  -0.959143E+01   0.436006E+00  -0.124822E-05   0.523140E-03  -0.124822E-05   0.124428E-06
    79   0.208839E+04  -0.101377E+02   0.514975E-03  -0.101377E+02   0.450998E+00  -0.141824E-05   0.514975E-03  -0.141824E-05   0.123702E-06
    80   0.211476E+04  -0.106937E+02   0.507136E-03  -0.106937E+02   0.466160E+00  -0.155374E-05   0.507136E-03  -0.155374E-05   0.122977E-06
    81   0.214139E+04  -0.112595E+02   0.499636E-03  -0.112595E+02   0.481430E+00  -0.164587E-05   0.499636E-03  -0.164587E-05   0.122252E-06
    82   0.216833E+04  -0.118341E+02   0.492456E-03  -0.118341E+02   0.496824E+00  -0.169676E-05   0.492456E-03  -0.169676E-05   0.121528E-06
    83   0.219552E+04  -0.124174E+02   0.485570E-03  -0.124174E+02   0.512312E+00  -0.171130E-05   0.485570E-03  -0.171130E-05   0.120805E-06
    84   0.222301E+04  -0.130076E+02   0.478949E-03  -0.130076E+02   0.527887E+00  -0.169440E-05   0.478949E-03  -0.169440E-05   0.120082E-06
    85   0.225067E+04  -0.136061E+02   0.472567E-03  -0.136061E+02   0.543519E+00  -0.165095E-05   0.472567E-03  -0.165095E-05   0.119362E-06
    86   0.227857E+04  -0.142117E+02   0.466397E-03  -0.142117E+02   0.559214E+00  -0.158582E-05   0.466397E-03  -0.158582E-05   0.118643E-06
    87   0.230691E+04  -0.148237E+02   0.460410E-03  -0.148237E+02   0.574936E+00  -0.150393E-05   0.460410E-03  -0.150393E-05   0.117926E-06
    88   0.233527E+04  -0.154417E+02   0.454581E-03  -0.154417E+02   0.590691E+00  -0.141016E-05   0.454581E-03  -0.141016E-05   0.117211E-06
    89   0.236399E+04  -0.160671E+02   0.448881E-03  -0.160671E+02   0.606457E+00  -0.130940E-05   0.448881E-03  -0.130940E-05   0.116499E-06
    90   0.239294E+04  -0.166966E+02   0.443284E-03  -0.166966E+02   0.622190E+00  -0.120654E-05   0.443284E-03  -0.120654E-05   0.115790E-06
    91   0.242203E+04  -0.173309E+02   0.437767E-03  -0.173309E+02   0.637875E+00  -0.110573E-05   0.437767E-03  -0.110573E-05   0.115084E-06
    92   0.245142E+04  -0.179692E+02   0.432324E-03  -0.179692E+02   0.653500E+00  -0.100803E-05   0.432324E-03  -0.100803E-05   0.114380E-06
    93   0.248110E+04  -0.186117E+02   0.426955E-03  -0.186117E+02   0.669060E+00  -0.913766E-06   0.426955E-03  -0.913766E-06   0.113680E-06
    94   0.251086E+04  -0.192569E+02   0.421660E-03  -0.192569E+02   0.684521E+00  -0.823254E-06   0.421660E-03  -0.823254E-06   0.112984E-06
    95   0.254091E+04  -0.199057E+02   0.416439E-03  -0.199057E+02   0.699887E+00  -0.736812E-06   0.416439E-03  -0.736812E-06   0.112290E-06
    96   0.257096E+04  -0.205576E+02   0.411290E-03  -0.205576E+02   0.715145E+00  -0.654758E-06   0.411290E-03  -0.654758E-06   0.111600E-06
    97   0.260146E+04  -0.212117E+02   0.406214E-03  -0.212117E+02   0.730284E+00  -0.577410E-06   0.406214E-03  -0.577410E-06   0.110914E-06
    98   0.263218E+04  -0.218661E+02   0.401210E-03  -0.218661E+02   0.745300E+00  -0.505084E-06   0.401210E-03  -0.505084E-06   0.110231E-06
    99   0.266298E+04  -0.225237E+02   0.396277E-03  -0.225237E+02   0.760158E+00  -0.438100E-06   0.396277E-03  -0.438100E-06   0.109551E-06
   100   0.269407E+04  -0.231802E+02   0.391416E-03  -0.231802E+02   0.774863E+00  -0.376775E-06   0.391416E-03  -0.376775E-06   0.108875E-06
   101   0.272532E+04  -0.238388E+02   0.386625E-03  -0.238388E+02   0.789476E+00  -0.321426E-06   0.386625E-03  -0.321426E-06   0.108203E-06
   102   0.275710E+04  -0.244972E+02   0.381904E-03  -0.244972E+02   0.803852E+00  -0.272371E-06   0.381904E-03  -0.272371E-06   0.107534E-06
   103   0.278880E+04  -0.251563E+02   0.377254E-03  -0.251563E+02   0.818068E+00  -0.229928E-06   0.377254E-03  -0.229928E-06   0.106869E-06
   104   0.282073E+04  -0.258133E+02   0.372672E-03  -0.258133E+02   0.832129E+00  -0.194415E-06   0.372672E-03  -0.194415E-06   0.106208E-06
   105   0.285282E+04  -0.264697E+02   0.368159E-03  -0.264697E+02   0.845962E+00  -0.166149E-06   0.368159E-03  -0.166149E-06   0.105551E-06
   106   0.288513E+04  -0.271250E+02   0.363715E-03  -0.271250E+02   0.859644E+00  -0.145448E-06   0.363715E-03  -0.145448E-06   0.104898E-06
   107   0.291738E+04  -0.277776E+02   0.359339E-03  -0.277776E+02   0.873032E+00  -0.132630E-06   0.359339E-03  -0.132630E-06   0.104248E-06
   108   0.295000E+04  -0.284285E+02   0.355030E-03  -0.284285E+02   0.886202E+00  -0.128012E-06   0.355030E-03  -0.128012E-06   0.103603E-06
   109   0.298279E+04  -0.290762E+02   0.350788E-03  -0.290762E+02   0.899082E+00  -0.131913E-06   0.350788E-03  -0.131913E-06   0.102962E-06
   110   0.301566E+04  -0.297195E+02   0.346613E-03  -0.297195E+02   0.911677E+00  -0.144650E-06   0.346613E-03  -0.144650E-06   0.102325E-06
   111   0.304868E+04  -0.303598E+02   0.342504E-03  -0.303598E+02   0.924062E+00  -0.166322E-06   0.342504E-03  -0.166322E-06   0.101693E-06
   112   0.308186E+04  -0.309963E+02   0.338461E-03  -0.309963E+02   0.936164E+00  -0.196158E-06   0.338461E-03  -0.196158E-06   0.101064E-06
   113   0.311527E+04  -0.316276E+02   0.334484E-03  -0.316276E+02   0.947980E+00  -0.233166E-06   0.334484E-03  -0.233166E-06   0.100440E-06
   114   0.314877E+04  -0.322526E+02   0.330573E-03  -0.322526E+02   0.959435E+00  -0.276357E-06   0.330573E-03  -0.276357E-06   0.998198E-07
   115   0.318249E+04  -0.328715E+02   0.326727E-03  -0.328715E+02   0.970676E+00  -0.324739E-06   0.326727E-03  -0.324739E-06   0.992040E-07
   116   0.321621E+04  -0.334832E+02   0.322947E-03  -0.334832E+02   0.981479E+00  -0.377323E-06   0.322947E-03  -0.377323E-06   0.985925E-07
   117   0.325023E+04  -0.340871E+02   0.319232E-03  -0.340871E+02   0.991916E+00  -0.433118E-06   0.319232E-03  -0.433118E-06   0.979853E-07
   118   0.328440E+04  -0.346837E+02   0.315582E-03  -0.346837E+02   0.100214E+01  -0.491133E-06   0.315582E-03  -0.491133E-06   0.973823E-07
   119   0.331857E+04  -0.352708E+02   0.311996E-03  -0.352708E+02   0.101199E+01  -0.550379E-06   0.311996E-03  -0.550379E-06   0.967836E-07
   120   0.335289E+04  -0.358482E+02   0.308476E-03  -0.358482E+02   0.102132E+01  -0.609864E-06   0.308476E-03  -0.609864E-06   0.961891E-07
   121   0.338721E+04  -0.364159E+02   0.305020E-03  -0.364159E+02   0.103043E+01  -0.668598E-06   0.305020E-03  -0.668598E-06   0.955989E-07
   122   0.342159E+04  -0.369731E+02   0.301629E-03  -0.369731E+02   0.103902E+01  -0.725591E-06   0.301629E-03  -0.725591E-06   0.950130E-07
   123   0.345604E+04  -0.375195E+02   0.298302E-03  -0.375195E+02   0.104717E+01  -0.779851E-06   0.298302E-03  -0.779851E-06   0.944314E-07
   124   0.349056E+04  -0.380523E+02   0.295040E-03  -0.380523E+02   0.105494E+01  -0.830390E-06   0.295040E-03  -0.830390E-06   0.938541E-07
   125   0.352508E+04  -0.385736E+02   0.291841E-03  -0.385736E+02   0.106225E+01  -0.876216E-06   0.291841E-03  -0.876216E-06   0.932810E-07
   126   0.355965E+04  -0.390824E+02   0.288707E-03  -0.390824E+02   0.106919E+01  -0.916339E-06   0.288707E-03  -0.916339E-06   0.927123E-07
   127   0.359422E+04  -0.395780E+02   0.285636E-03  -0.395780E+02   0.107561E+01  -0.949768E-06   0.285636E-03  -0.949768E-06   0.921479E-07
   128   0.362877E+04  -0.400596E+02   0.282628E-03  -0.400596E+02   0.108164E+01  -0.975513E-06   0.282628E-03  -0.975513E-06   0.915878E-07
   129   0.366339E+04  -0.405263E+02   0.279684E-03  -0.405263E+02   0.108714E+01  -0.992583E-06   0.279684E-03  -0.992583E-06   0.910320E-07
   130   0.369798E+04  -0.409772E+02   0.276804E-03  -0.409772E+02   0.109211E+01  -0.999988E-06   0.276804E-03  -0.999988E-06   0.904805E-07
   131   0.373257E+04  -0.414139E+02   0.273986E-03  -0.414139E+02   0.109670E+01  -0.997048E-06   0.273986E-03  -0.997048E-06   0.899333E-07
   132   0.376721E+04  -0.418333E+02   0.271229E-03  -0.418333E+02   0.110075E+01  -0.984323E-06   0.271229E-03  -0.984323E-06   0.893905E-07
   133   0.380177E+04  -0.422378E+02   0.268530E-03  -0.422378E+02   0.110435E+01  -0.962681E-06   0.268530E-03  -0.962681E-06   0.888519E-07
   134   0.383631E+04  -0.426228E+02   0.265886E-03  -0.426228E+02   0.110748E+01  -0.932994E-06   0.265886E-03  -0.932994E-06   0.883175E-07
   135   0.387084E+04  -0.429914E+02   0.263297E-03  -0.429914E+02   0.111009E+01  -0.896131E-06   0.263297E-03  -0.896131E-06   0.877874E-07
   136   0.390522E+04  -0.433399E+02   0.260758E-03  -0.433399E+02   0.111216E+01  -0.852962E-06   0.260758E-03  -0.852962E-06   0.872614E-07
   137   0.393958E+04  -0.436705E+02   0.258267E-03  -0.436705E+02   0.111377E+01  -0.804357E-06   0.258267E-03  -0.804357E-06   0.867396E-07
   138   0.397386E+04  -0.439818E+02   0.255823E-03  -0.439818E+02   0.111485E+01  -0.751185E-06   0.255823E-03  -0.751185E-06   0.862220E-07
   139   0.400792E+04  -0.442731E+02   0.253422E-03  -0.442731E+02   0.111554E+01  -0.694318E-06   0.253422E-03  -0.694318E-06   0.857084E-07
   140   0.404204E+04  -0.445451E+02   0.251062E-03  -0.445451E+02   0.111563E+01  -0.634624E-06   0.251062E-03  -0.634624E-06   0.851989E-07
   141   0.407594E+04  -0.447957E+02   0.248741E-03  -0.447957E+02   0.111518E+01  -0.572973E-06   0.248741E-03  -0.572973E-06   0.846935E-07
   142   0.410983E+04  -0.450257E+02   0.246456E-03  -0.450257E+02   0.111427E+01  -0.510236E-06   0.246456E-03  -0.510236E-06   0.841921E-07
   143   0.414365E+04  -0.452349E+02   0.244204E-03  -0.452349E+02   0.111291E+01  -0.447282E-06   0.244204E-03  -0.447282E-06   0.836947E-07
   144   0.417724E+04  -0.454228E+02   0.241984E-03  -0.454228E+02   0.111101E+01  -0.384981E-06   0.241984E-03  -0.384981E-06   0.832012E-07
   145   0.421069E+04  -0.455887E+02   0.239793E-03  -0.455887E+02   0.110872E+01  -0.324203E-06   0.239793E-03  -0.324203E-06   0.827117E-07
   146   0.424422E+04  -0.457324E+02   0.237628E-03  -0.457324E+02   0.110583E+01  -0.265818E-06   0.237628E-03  -0.265818E-06   0.822261E-07
