#    L    TT             EE             TE             PP             TP          
    75   0.198636E+04   0.392372E+00  -0.802306E+01   0.574896E+07   0.921555E+04
    76   0.201173E+04   0.406711E+00  -0.853399E+01   0.571793E+07   0.906675E+04
    77   0.203733E+04   0.421283E+00  -0.905776E+01   0.568682E+07   0.892214E+04
    78   0.206325E+04   0.436101E+00  -0.959509E+01   0.565562E+07   0.878210E+04
    79   0.208933E+04   0.451098E+00  -0.101415E+02   0.562435E+07   0.864702E+04
    80   0.211573E+04   0.466266E+00  -0.106978E+02   0.559303E+07   0.851729E+04
    81   0.214238E+04   0.481542E+00  -0.112638E+02   0.556167E+07   0.839316E+04
    82   0.216934E+04   0.496943E+00  -0.118387E+02   0.553027E+07   0.827431E+04
    83   0.219655E+04   0.512438E+00  -0.124222E+02   0.549886E+07   0.816030E+04
    84   0.222407E+04   0.528019E+00  -0.130126E+02   0.546745E+07   0.805066E+04
    85   0.225175E+04   0.543658E+00  -0.136113E+02   0.543605E+07   0.794496E+04
    86   0.227967E+04   0.559361E+00  -0.142172E+02   0.540468E+07   0.784272E+04
    87   0.230804E+04   0.575090E+00  -0.148294E+02   0.537335E+07   0.774350E+04
    88   0.233642E+04   0.590853E+00  -0.154477E+02   0.534207E+07   0.764685E+04
    89   0.236517E+04   0.606627E+00  -0.160734E+02   0.531087E+07   0.755232E+04
    90   0.239414E+04   0.622368E+00  -0.167032E+02   0.527975E+07   0.745944E+04
    91   0.242326E+04   0.638062E+00  -0.173378E+02   0.524873E+07   0.736784E+04
    92   0.245267E+04   0.653696E+00  -0.179764E+02   0.521780E+07   0.727745E+04
    93   0.248238E+04   0.669265E+00  -0.186192E+02   0.518699E+07   0.718825E+04
    94   0.251216E+04   0.684736E+00  -0.192648E+02   0.515628E+07   0.710024E+04
    95   0.254223E+04   0.700111E+00  -0.199139E+02   0.512568E+07   0.701341E+04
    96   0.257231E+04   0.715379E+00  -0.205661E+02   0.509521E+07   0.692776E+04
    97   0.260283E+04   0.730528E+00  -0.212206E+02   0.506485E+07   0.684328E+04
