#    L    TT             EE             TE             PP             TP          
     2   0.108527E+04   0.472510E-01   0.324304E+01   0.109034E+07   0.302861E+05
     3   0.102375E+04   0.750289E-01   0.399029E+01   0.168186E+07   0.362474E+05
     4   0.963301E+03   0.821303E-01   0.405083E+01   0.220731E+07   0.390913E+05
     5   0.916178E+03   0.709527E-01   0.371359E+01   0.267213E+07   0.402503E+05
     6   0.882118E+03   0.510885E-01   0.321300E+01   0.308327E+07   0.404718E+05
     7   0.859045E+03   0.317928E-01   0.267444E+01   0.344861E+07   0.401925E+05
     8   0.844059E+03   0.181036E-01   0.216258E+01   0.377448E+07   0.395884E+05
     9   0.835266E+03   0.106335E-01   0.173235E+01   0.406646E+07   0.387324E+05
    10   0.831265E+03   0.749092E-02   0.141065E+01   0.432841E+07   0.377149E+05
    11   0.830755E+03   0.639607E-02   0.119897E+01   0.456441E+07   0.366612E+05
    12   0.833798E+03   0.586450E-02   0.108528E+01   0.477746E+07   0.356405E+05
    13   0.838651E+03   0.547107E-02   0.104595E+01   0.497007E+07   0.346910E+05
    14   0.844624E+03   0.497042E-02   0.106195E+01   0.514425E+07   0.337947E+05
    15   0.852050E+03   0.451745E-02   0.111457E+01   0.530188E+07   0.329193E+05
    16   0.861281E+03   0.435318E-02   0.118605E+01   0.544471E+07   0.320394E+05
    17   0.872069E+03   0.461381E-02   0.126147E+01   0.557402E+07   0.311581E+05
    18   0.883365E+03   0.516958E-02   0.133037E+01   0.569099E+07   0.302853E+05
    19   0.896276E+03   0.578027E-02   0.139043E+01   0.579677E+07   0.294309E+05
    20   0.909384E+03   0.629184E-02   0.143951E+01   0.589255E+07   0.286050E+05
    21   0.922844E+03   0.672957E-02   0.148141E+01   0.597937E+07   0.278153E+05
    22   0.936729E+03   0.723050E-02   0.151781E+01   0.605782E+07   0.270618E+05
    23   0.950833E+03   0.796057E-02   0.155190E+01   0.612840E+07   0.263422E+05
    24   0.965245E+03   0.902928E-02   0.158721E+01   0.619157E+07   0.256542E+05
    25   0.979979E+03   0.104540E-01   0.162641E+01   0.624784E+07   0.249957E+05
    26   0.994903E+03   0.121838E-01   0.167253E+01   0.629766E+07   0.243643E+05
    27   0.101018E+04   0.141505E-01   0.172378E+01   0.634154E+07   0.237578E+05
    28   0.102560E+04   0.163174E-01   0.177827E+01   0.637995E+07   0.231740E+05
    29   0.104134E+04   0.186751E-01   0.183356E+01   0.641337E+07   0.226106E+05
    30   0.105739E+04   0.212291E-01   0.188545E+01   0.644228E+07   0.220655E+05
    31   0.107356E+04   0.239781E-01   0.193007E+01   0.646713E+07   0.215367E+05
    32   0.109000E+04   0.269062E-01   0.196434E+01   0.648814E+07   0.210235E+05
    33   0.110676E+04   0.299856E-01   0.198517E+01   0.650553E+07   0.205259E+05
    34   0.112379E+04   0.332027E-01   0.199076E+01   0.651949E+07   0.200434E+05
    35   0.114106E+04   0.365646E-01   0.198149E+01   0.653020E+07   0.195760E+05
    36   0.115851E+04   0.400969E-01   0.195764E+01   0.653788E+07   0.191232E+05
    37   0.117605E+04   0.438461E-01   0.192050E+01   0.654271E+07   0.186850E+05
    38   0.119391E+04   0.478594E-01   0.187331E+01   0.654489E+07   0.182610E+05
    39   0.121208E+04   0.521379E-01   0.181713E+01   0.654462E+07   0.178509E+05
    40   0.123034E+04   0.566770E-01   0.175231E+01   0.654209E+07   0.174546E+05
    41   0.124883E+04   0.614794E-01   0.167890E+01   0.653748E+07   0.170717E+05
    42   0.126733E+04   0.665583E-01   0.159664E+01   0.653092E+07   0.167020E+05
    43   0.128598E+04   0.719294E-01   0.150524E+01   0.652251E+07   0.163448E+05
    44   0.130463E+04   0.775934E-01   0.140527E+01   0.651234E+07   0.159999E+05
    45   0.132366E+04   0.835614E-01   0.129739E+01   0.650053E+07   0.156667E+05
    46   0.134298E+04   0.898411E-01   0.117989E+01   0.648718E+07   0.153450E+05
    47   0.136245E+04   0.964115E-01   0.105143E+01   0.647238E+07   0.150341E+05
    48   0.138198E+04   0.103252E+00   0.913389E+00   0.645625E+07   0.147338E+05
    49   0.140166E+04   0.110319E+00   0.766592E+00   0.643889E+07   0.144436E+05
    50   0.142171E+04   0.117563E+00   0.605060E+00   0.642040E+07   0.141631E+05
    51   0.144189E+04   0.124940E+00   0.422384E+00   0.640088E+07   0.138919E+05
    52   0.146244E+04   0.132561E+00   0.216052E+00   0.638038E+07   0.136295E+05
    53   0.148299E+04   0.140612E+00  -0.136241E-01   0.635895E+07   0.133756E+05
    54   0.150346E+04   0.149121E+00  -0.258366E+00   0.633664E+07   0.131299E+05
    55   0.152409E+04   0.158104E+00  -0.509778E+00   0.631351E+07   0.128920E+05
    56   0.154510E+04   0.167440E+00  -0.766606E+00   0.628959E+07   0.126614E+05
    57   0.156642E+04   0.176996E+00  -0.102986E+01   0.626495E+07   0.124379E+05
    58   0.158805E+04   0.186741E+00  -0.130234E+01   0.623962E+07   0.122210E+05
    59   0.160986E+04   0.196675E+00  -0.158688E+01   0.621366E+07   0.120104E+05
    60   0.163183E+04   0.206812E+00  -0.188487E+01   0.618712E+07   0.118057E+05
    61   0.165428E+04   0.217219E+00  -0.219717E+01   0.616004E+07   0.116066E+05
    62   0.167660E+04   0.227907E+00  -0.252482E+01   0.613247E+07   0.114126E+05
    63   0.169902E+04   0.238872E+00  -0.286856E+01   0.610443E+07   0.112235E+05
    64   0.172183E+04   0.250162E+00  -0.322935E+01   0.607597E+07   0.110388E+05
    65   0.174464E+04   0.261788E+00  -0.360755E+01   0.604713E+07   0.108581E+05
    66   0.176776E+04   0.273709E+00  -0.400101E+01   0.601793E+07   0.106811E+05
    67   0.179104E+04   0.285915E+00  -0.440651E+01   0.598842E+07   0.105075E+05
    68   0.181476E+04   0.298424E+00  -0.482189E+01   0.595863E+07   0.103368E+05
    69   0.183869E+04   0.311172E+00  -0.524493E+01   0.592859E+07   0.101687E+05
    70   0.186299E+04   0.324179E+00  -0.567679E+01   0.589836E+07   0.100029E+05
    71   0.188751E+04   0.337416E+00  -0.611960E+01   0.586795E+07   0.983899E+04
    72   0.191223E+04   0.350871E+00  -0.657530E+01   0.583739E+07   0.967735E+04
    73   0.193710E+04   0.364525E+00  -0.704530E+01   0.580668E+07   0.951834E+04
    74   0.196212E+04   0.378386E+00  -0.752951E+01   0.577585E+07   0.936235E+04
    75   0.198736E+04   0.392483E+00  -0.802725E+01   0.574489E+07   0.920977E+04
    76   0.201275E+04   0.406829E+00  -0.853844E+01   0.571383E+07   0.906098E+04
    77   0.203838E+04   0.421408E+00  -0.906246E+01   0.568268E+07   0.891638E+04
    78   0.206432E+04   0.436234E+00  -0.960005E+01   0.565144E+07   0.877635E+04
    79   0.209043E+04   0.451239E+00  -0.101467E+02   0.562014E+07   0.864129E+04
    80   0.211685E+04   0.466415E+00  -0.107033E+02   0.558879E+07   0.851158E+04
    81   0.214352E+04   0.481699E+00  -0.112696E+02   0.555739E+07   0.838746E+04
    82   0.217051E+04   0.497109E+00  -0.118448E+02   0.552596E+07   0.826864E+04
    83   0.219775E+04   0.512613E+00  -0.124286E+02   0.549451E+07   0.815464E+04
    84   0.222529E+04   0.528205E+00  -0.130194E+02   0.546307E+07   0.804503E+04
    85   0.225300E+04   0.543853E+00  -0.136184E+02   0.543164E+07   0.793934E+04
    86   0.228095E+04   0.559566E+00  -0.142247E+02   0.540023E+07   0.783713E+04
    87   0.230934E+04   0.575306E+00  -0.148373E+02   0.536887E+07   0.773793E+04
    88   0.233774E+04   0.591081E+00  -0.154560E+02   0.533757E+07   0.764131E+04
    89   0.236652E+04   0.606866E+00  -0.160820E+02   0.530633E+07   0.754679E+04
    90   0.239552E+04   0.622619E+00  -0.167122E+02   0.527518E+07   0.745394E+04
    91   0.242466E+04   0.638325E+00  -0.173472E+02   0.524413E+07   0.736237E+04
    92   0.245410E+04   0.653971E+00  -0.179863E+02   0.521318E+07   0.727199E+04
    93   0.248384E+04   0.669553E+00  -0.186295E+02   0.518233E+07   0.718282E+04
    94   0.251365E+04   0.685037E+00  -0.192755E+02   0.515160E+07   0.709483E+04
    95   0.254375E+04   0.700426E+00  -0.199251E+02   0.512098E+07   0.700803E+04
    96   0.257386E+04   0.715708E+00  -0.205778E+02   0.509047E+07   0.692240E+04
    97   0.260441E+04   0.730871E+00  -0.212328E+02   0.506009E+07   0.683795E+04
    98   0.263519E+04   0.745912E+00  -0.218880E+02   0.502983E+07   0.675466E+04
    99   0.266604E+04   0.760797E+00  -0.225465E+02   0.499969E+07   0.667253E+04
   100   0.269720E+04   0.775527E+00  -0.232040E+02   0.496969E+07   0.659156E+04
   101   0.272850E+04   0.790167E+00  -0.238635E+02   0.493983E+07   0.651173E+04
   102   0.276033E+04   0.804570E+00  -0.245228E+02   0.491010E+07   0.643305E+04
   103   0.279209E+04   0.818815E+00  -0.251829E+02   0.488052E+07   0.635550E+04
   104   0.282408E+04   0.832904E+00  -0.258409E+02   0.485109E+07   0.627908E+04
   105   0.285623E+04   0.846766E+00  -0.264984E+02   0.482180E+07   0.620379E+04
   106   0.288860E+04   0.860478E+00  -0.271546E+02   0.479267E+07   0.612962E+04
   107   0.292091E+04   0.873896E+00  -0.278083E+02   0.476369E+07   0.605656E+04
