#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.108527E+04   0.472510E-01   0.000000E+00   0.324303E+01   0.525657E-07   0.324906E-02  -0.156485E-04
     3   0.102375E+04   0.750288E-01   0.000000E+00   0.399028E+01   0.640660E-07   0.325886E-02  -0.188179E-04
     4   0.963295E+03   0.821302E-01   0.000000E+00   0.405082E+01   0.739008E-07   0.319028E-02  -0.187392E-04
     5   0.916170E+03   0.709526E-01   0.000000E+00   0.371357E+01   0.824495E-07   0.308977E-02  -0.163194E-04
     6   0.882107E+03   0.510884E-01   0.000000E+00   0.321298E+01   0.899243E-07   0.297824E-02  -0.123589E-04
     7   0.859031E+03   0.317927E-01   0.000000E+00   0.267444E+01   0.965170E-07   0.286763E-02  -0.782954E-05
     8   0.844042E+03   0.181036E-01   0.000000E+00   0.216258E+01   0.102362E-06   0.275861E-02  -0.372827E-05
     9   0.835246E+03   0.106335E-01   0.000000E+00   0.173235E+01   0.107575E-06   0.264914E-02  -0.659617E-06
    10   0.831241E+03   0.749092E-02   0.000000E+00   0.141065E+01   0.112227E-06   0.254098E-02   0.135016E-05
    11   0.830727E+03   0.639607E-02   0.000000E+00   0.119897E+01   0.116399E-06   0.243944E-02   0.265560E-05
    12   0.833766E+03   0.586448E-02   0.000000E+00   0.108529E+01   0.120147E-06   0.234688E-02   0.311401E-05
    13   0.838614E+03   0.547104E-02   0.000000E+00   0.104595E+01   0.123517E-06   0.226413E-02   0.257172E-05
    14   0.844581E+03   0.497038E-02   0.000000E+00   0.106195E+01   0.126545E-06   0.218879E-02   0.141278E-05
    15   0.852001E+03   0.451739E-02   0.000000E+00   0.111457E+01   0.129267E-06   0.211791E-02   0.139381E-06
    16   0.861225E+03   0.435311E-02   0.000000E+00   0.118605E+01   0.131715E-06   0.204925E-02  -0.849787E-06
    17   0.872006E+03   0.461372E-02   0.000000E+00   0.126147E+01   0.133913E-06   0.198256E-02  -0.151974E-05
    18   0.883295E+03   0.516947E-02   0.000000E+00   0.133037E+01   0.135882E-06   0.191813E-02  -0.192318E-05
    19   0.896199E+03   0.578014E-02   0.000000E+00   0.139043E+01   0.137643E-06   0.185629E-02  -0.211078E-05
    20   0.909298E+03   0.629169E-02   0.000000E+00   0.143951E+01   0.139219E-06   0.179745E-02  -0.213165E-05
    21   0.922750E+03   0.672938E-02   0.000000E+00   0.148142E+01   0.140632E-06   0.174190E-02  -0.203006E-05
    22   0.936627E+03   0.723027E-02   0.000000E+00   0.151782E+01   0.141890E-06   0.168948E-02  -0.183486E-05
    23   0.950721E+03   0.796029E-02   0.000000E+00   0.155191E+01   0.143002E-06   0.163991E-02  -0.157072E-05
    24   0.965123E+03   0.902893E-02   0.000000E+00   0.158723E+01   0.143976E-06   0.159293E-02  -0.126196E-05
    25   0.979848E+03   0.104536E-01   0.000000E+00   0.162643E+01   0.144821E-06   0.154833E-02  -0.932642E-06
    26   0.994762E+03   0.121832E-01   0.000000E+00   0.167256E+01   0.145545E-06   0.150589E-02  -0.606562E-06
    27   0.101003E+04   0.141499E-01   0.000000E+00   0.172381E+01   0.146159E-06   0.146539E-02  -0.307346E-06
    28   0.102544E+04   0.163167E-01   0.000000E+00   0.177832E+01   0.146670E-06   0.142666E-02  -0.584645E-07
    29   0.104116E+04   0.186742E-01   0.000000E+00   0.183361E+01   0.147089E-06   0.138951E-02   0.116742E-06
    30   0.105721E+04   0.212280E-01   0.000000E+00   0.188551E+01   0.147425E-06   0.135376E-02   0.195035E-06
    31   0.107337E+04   0.239767E-01   0.000000E+00   0.193014E+01   0.147687E-06   0.131927E-02   0.161152E-06
    32   0.108979E+04   0.269046E-01   0.000000E+00   0.196442E+01   0.147879E-06   0.128596E-02   0.313444E-07
    33   0.110654E+04   0.299838E-01   0.000000E+00   0.198527E+01   0.148005E-06   0.125380E-02  -0.170423E-06
    34   0.112355E+04   0.332006E-01   0.000000E+00   0.199087E+01   0.148067E-06   0.122276E-02  -0.420355E-06
    35   0.114081E+04   0.365621E-01   0.000000E+00   0.198162E+01   0.148070E-06   0.119279E-02  -0.694798E-06
    36   0.115825E+04   0.400940E-01   0.000000E+00   0.195779E+01   0.148016E-06   0.116386E-02  -0.970223E-06
    37   0.117578E+04   0.438427E-01   0.000000E+00   0.192067E+01   0.147910E-06   0.113596E-02  -0.122321E-05
    38   0.119362E+04   0.478555E-01   0.000000E+00   0.187350E+01   0.147756E-06   0.110904E-02  -0.143043E-05
    39   0.121178E+04   0.521335E-01   0.000000E+00   0.181735E+01   0.147557E-06   0.108307E-02  -0.156863E-05
    40   0.123002E+04   0.566720E-01   0.000000E+00   0.175256E+01   0.147317E-06   0.105805E-02  -0.161464E-05
    41   0.124850E+04   0.614737E-01   0.000000E+00   0.167917E+01   0.147039E-06   0.103392E-02  -0.155292E-05
    42   0.126698E+04   0.665519E-01   0.000000E+00   0.159695E+01   0.146727E-06   0.101068E-02  -0.139826E-05
    43   0.128561E+04   0.719221E-01   0.000000E+00   0.150558E+01   0.146380E-06   0.988274E-03  -0.117292E-05
    44   0.130425E+04   0.775852E-01   0.000000E+00   0.140565E+01   0.146003E-06   0.966677E-03  -0.899108E-06
    45   0.132326E+04   0.835523E-01   0.000000E+00   0.129782E+01   0.145595E-06   0.945858E-03  -0.598928E-06
    46   0.134256E+04   0.898309E-01   0.000000E+00   0.118036E+01   0.145160E-06   0.925784E-03  -0.294422E-06
    47   0.136202E+04   0.964002E-01   0.000000E+00   0.105195E+01   0.144699E-06   0.906424E-03  -0.756920E-08
    48   0.138154E+04   0.103239E+00   0.000000E+00   0.913962E+00   0.144215E-06   0.887749E-03   0.239706E-06
    49   0.140120E+04   0.110305E+00   0.000000E+00   0.767223E+00   0.143709E-06   0.869729E-03   0.425529E-06
    50   0.142123E+04   0.117548E+00   0.000000E+00   0.605752E+00   0.143183E-06   0.852334E-03   0.528072E-06
    51   0.144139E+04   0.124923E+00   0.000000E+00   0.423142E+00   0.142639E-06   0.835535E-03   0.532332E-06
    52   0.146192E+04   0.132542E+00   0.000000E+00   0.216881E+00   0.142078E-06   0.819308E-03   0.450457E-06
    53   0.148245E+04   0.140591E+00   0.000000E+00  -0.127205E-01   0.141502E-06   0.803626E-03   0.301336E-06
    54   0.150291E+04   0.149099E+00   0.000000E+00  -0.257382E+00   0.140910E-06   0.788464E-03   0.103808E-06
    55   0.152352E+04   0.158079E+00   0.000000E+00  -0.508709E+00   0.140304E-06   0.773798E-03  -0.123331E-06
    56   0.154451E+04   0.167413E+00   0.000000E+00  -0.765446E+00   0.139685E-06   0.759603E-03  -0.361328E-06
    57   0.156581E+04   0.176966E+00   0.000000E+00  -0.102860E+01   0.139053E-06   0.745855E-03  -0.591463E-06
    58   0.158742E+04   0.186709E+00   0.000000E+00  -0.130098E+01   0.138410E-06   0.732529E-03  -0.795053E-06
    59   0.160921E+04   0.196640E+00   0.000000E+00  -0.158542E+01   0.137756E-06   0.719603E-03  -0.953444E-06
    60   0.163116E+04   0.206774E+00   0.000000E+00  -0.188329E+01   0.137093E-06   0.707051E-03  -0.104801E-05
    61   0.165359E+04   0.217178E+00   0.000000E+00  -0.219547E+01   0.136421E-06   0.694851E-03  -0.106581E-05
    62   0.167589E+04   0.227862E+00   0.000000E+00  -0.252299E+01   0.135741E-06   0.682978E-03  -0.101652E-05
    63   0.169829E+04   0.238823E+00   0.000000E+00  -0.286660E+01   0.135054E-06   0.671410E-03  -0.915457E-06
    64   0.172107E+04   0.250109E+00   0.000000E+00  -0.322725E+01   0.134360E-06   0.660123E-03  -0.777907E-06
    65   0.174387E+04   0.261732E+00   0.000000E+00  -0.360530E+01   0.133660E-06   0.649094E-03  -0.619131E-06
    66   0.176697E+04   0.273649E+00   0.000000E+00  -0.399860E+01   0.132955E-06   0.638301E-03  -0.454365E-06
    67   0.179022E+04   0.285850E+00   0.000000E+00  -0.440393E+01   0.132245E-06   0.627720E-03  -0.298827E-06
    68   0.181392E+04   0.298354E+00   0.000000E+00  -0.481915E+01   0.131532E-06   0.617329E-03  -0.167713E-06
    69   0.183783E+04   0.311097E+00   0.000000E+00  -0.524200E+01   0.130815E-06   0.607105E-03  -0.762013E-07
    70   0.186211E+04   0.324099E+00   0.000000E+00  -0.567367E+01   0.130096E-06   0.597025E-03  -0.394529E-07
    71   0.188660E+04   0.337331E+00   0.000000E+00  -0.611629E+01   0.129375E-06   0.587074E-03  -0.681473E-07
    72   0.191130E+04   0.350779E+00   0.000000E+00  -0.657178E+01   0.128653E-06   0.577267E-03  -0.155095E-06
    73   0.193615E+04   0.364428E+00   0.000000E+00  -0.704157E+01   0.127930E-06   0.567627E-03  -0.288656E-06
    74   0.196114E+04   0.378282E+00   0.000000E+00  -0.752555E+01   0.127205E-06   0.558177E-03  -0.457202E-06
    75   0.198636E+04   0.392372E+00   0.000000E+00  -0.802306E+01   0.126480E-06   0.548939E-03  -0.649124E-06
    76   0.201173E+04   0.406711E+00   0.000000E+00  -0.853399E+01   0.125754E-06   0.539935E-03  -0.852821E-06
    77   0.203733E+04   0.421283E+00   0.000000E+00  -0.905776E+01   0.125027E-06   0.531189E-03  -0.105671E-05
    78   0.206325E+04   0.436101E+00   0.000000E+00  -0.959509E+01   0.124301E-06   0.522722E-03  -0.124921E-05
    79   0.208933E+04   0.451098E+00   0.000000E+00  -0.101415E+02   0.123574E-06   0.514558E-03  -0.141877E-05
    80   0.211573E+04   0.466266E+00   0.000000E+00  -0.106978E+02   0.122847E-06   0.506720E-03  -0.155383E-05
    81   0.214238E+04   0.481542E+00   0.000000E+00  -0.112638E+02   0.122121E-06   0.499221E-03  -0.164558E-05
    82   0.216934E+04   0.496943E+00   0.000000E+00  -0.118387E+02   0.121396E-06   0.492042E-03  -0.169619E-05
    83   0.219655E+04   0.512438E+00   0.000000E+00  -0.124222E+02   0.120671E-06   0.485157E-03  -0.171056E-05
    84   0.222407E+04   0.528019E+00   0.000000E+00  -0.130126E+02   0.119948E-06   0.478537E-03  -0.169358E-05
    85   0.225175E+04   0.543658E+00   0.000000E+00  -0.136113E+02   0.119226E-06   0.472155E-03  -0.165012E-05
