#    L    TT             EE             TE             PP             TP          
     2   0.107811E+04   0.466846E-01   0.324037E+01   0.109476E+07   0.298723E+05
     3   0.101860E+04   0.745156E-01   0.398807E+01   0.168823E+07   0.357850E+05
     4   0.959569E+03   0.820462E-01   0.405334E+01   0.221528E+07   0.386147E+05
     5   0.913419E+03   0.713411E-01   0.372139E+01   0.268141E+07   0.397767E+05
     6   0.880005E+03   0.517310E-01   0.322475E+01   0.309366E+07   0.400079E+05
     7   0.857358E+03   0.324142E-01   0.268950E+01   0.345994E+07   0.397409E+05
     8   0.842671E+03   0.185367E-01   0.217960E+01   0.378661E+07   0.391507E+05
     9   0.834093E+03   0.108614E-01   0.174873E+01   0.407928E+07   0.383103E+05
    10   0.830245E+03   0.759174E-02   0.142453E+01   0.434184E+07   0.373093E+05
    11   0.829848E+03   0.645627E-02   0.120899E+01   0.457837E+07   0.362708E+05
    12   0.832970E+03   0.592531E-02   0.109140E+01   0.479189E+07   0.352635E+05
    13   0.837873E+03   0.552941E-02   0.104942E+01   0.498492E+07   0.343257E+05
    14   0.843874E+03   0.501943E-02   0.106394E+01   0.515948E+07   0.334401E+05
    15   0.851313E+03   0.455664E-02   0.111588E+01   0.531744E+07   0.325756E+05
    16   0.860549E+03   0.438705E-02   0.118710E+01   0.546057E+07   0.317078E+05
    17   0.871335E+03   0.464625E-02   0.126255E+01   0.559016E+07   0.308394E+05
    18   0.882623E+03   0.520251E-02   0.133164E+01   0.570738E+07   0.299798E+05
    19   0.895518E+03   0.581362E-02   0.139196E+01   0.581340E+07   0.291385E+05
    20   0.908602E+03   0.632356E-02   0.144126E+01   0.590938E+07   0.283250E+05
    21   0.922030E+03   0.675606E-02   0.148326E+01   0.599639E+07   0.275468E+05
    22   0.935878E+03   0.724824E-02   0.151965E+01   0.607503E+07   0.268037E+05
    23   0.949937E+03   0.796660E-02   0.155362E+01   0.614577E+07   0.260937E+05
    24   0.964297E+03   0.902114E-02   0.158877E+01   0.620909E+07   0.254144E+05
    25   0.978974E+03   0.104298E-01   0.162778E+01   0.626550E+07   0.247639E+05
    26   0.993834E+03   0.121421E-01   0.167370E+01   0.631545E+07   0.241400E+05
    27   0.100904E+04   0.140905E-01   0.172478E+01   0.635945E+07   0.235405E+05
    28   0.102439E+04   0.162388E-01   0.177918E+01   0.639797E+07   0.229633E+05
    29   0.104005E+04   0.185780E-01   0.183444E+01   0.643149E+07   0.224062E+05
    30   0.105602E+04   0.211142E-01   0.188644E+01   0.646050E+07   0.218672E+05
    31   0.107211E+04   0.238465E-01   0.193130E+01   0.648544E+07   0.213444E+05
    32   0.108845E+04   0.267589E-01   0.196595E+01   0.650654E+07   0.208372E+05
    33   0.110512E+04   0.298233E-01   0.198730E+01   0.652401E+07   0.203454E+05
    34   0.112205E+04   0.330256E-01   0.199351E+01   0.653804E+07   0.198687E+05
    35   0.113922E+04   0.363726E-01   0.198498E+01   0.654883E+07   0.194069E+05
