#    L    TT             EE             TE             PP             TP          
     2   0.108528E+04   0.472511E-01   0.324304E+01   0.109043E+07   0.302865E+05
     3   0.102376E+04   0.750291E-01   0.399030E+01   0.168202E+07   0.362482E+05
     4   0.963308E+03   0.821306E-01   0.405086E+01   0.220755E+07   0.390924E+05
     5   0.916184E+03   0.709530E-01   0.371363E+01   0.267244E+07   0.402516E+05
     6   0.882121E+03   0.510887E-01   0.321304E+01   0.308366E+07   0.404733E+05
     7   0.859046E+03   0.317930E-01   0.267448E+01   0.344909E+07   0.401942E+05
     8   0.844059E+03   0.181037E-01   0.216260E+01   0.377504E+07   0.395903E+05
     9   0.835265E+03   0.106334E-01   0.173235E+01   0.406709E+07   0.387344E+05
    10   0.831262E+03   0.749085E-02   0.141064E+01   0.432913E+07   0.377172E+05
    11   0.830751E+03   0.639600E-02   0.119895E+01   0.456522E+07   0.366636E+05
    12   0.833793E+03   0.586444E-02   0.108527E+01   0.477834E+07   0.356431E+05
    13   0.838644E+03   0.547104E-02   0.104594E+01   0.497104E+07   0.346938E+05
    14   0.844615E+03   0.497044E-02   0.106195E+01   0.514530E+07   0.337977E+05
    15   0.852039E+03   0.451750E-02   0.111458E+01   0.530301E+07   0.329224E+05
    16   0.861267E+03   0.435326E-02   0.118606E+01   0.544592E+07   0.320428E+05
    17   0.872053E+03   0.461390E-02   0.126149E+01   0.557532E+07   0.311616E+05
    18   0.883346E+03   0.516967E-02   0.133038E+01   0.569237E+07   0.302889E+05
    19   0.896255E+03   0.578035E-02   0.139045E+01   0.579824E+07   0.294347E+05
    20   0.909359E+03   0.629191E-02   0.143952E+01   0.589410E+07   0.286089E+05
    21   0.922816E+03   0.672963E-02   0.148143E+01   0.598100E+07   0.278194E+05
    22   0.936699E+03   0.723055E-02   0.151783E+01   0.605953E+07   0.270661E+05
    23   0.950799E+03   0.796061E-02   0.155191E+01   0.613019E+07   0.263466E+05
    24   0.965207E+03   0.902932E-02   0.158723E+01   0.619345E+07   0.256588E+05
    25   0.979938E+03   0.104540E-01   0.162643E+01   0.624980E+07   0.250003E+05
    26   0.994858E+03   0.121838E-01   0.167255E+01   0.629971E+07   0.243690E+05
    27   0.101013E+04   0.141506E-01   0.172379E+01   0.634366E+07   0.237627E+05
    28   0.102555E+04   0.163175E-01   0.177829E+01   0.638215E+07   0.231790E+05
    29   0.104128E+04   0.186752E-01   0.183357E+01   0.641566E+07   0.226158E+05
    30   0.105733E+04   0.212291E-01   0.188546E+01   0.644465E+07   0.220707E+05
    31   0.107350E+04   0.239781E-01   0.193008E+01   0.646958E+07   0.215420E+05
    32   0.108993E+04   0.269062E-01   0.196435E+01   0.649068E+07   0.210290E+05
    33   0.110669E+04   0.299857E-01   0.198519E+01   0.650815E+07   0.205314E+05
    34   0.112370E+04   0.332028E-01   0.199077E+01   0.652218E+07   0.200491E+05
    35   0.114097E+04   0.365646E-01   0.198151E+01   0.653298E+07   0.195817E+05
    36   0.115841E+04   0.400969E-01   0.195766E+01   0.654073E+07   0.191291E+05
    37   0.117595E+04   0.438461E-01   0.192052E+01   0.654564E+07   0.186909E+05
    38   0.119381E+04   0.478594E-01   0.187333E+01   0.654790E+07   0.182670E+05
    39   0.121197E+04   0.521380E-01   0.181716E+01   0.654771E+07   0.178570E+05
    40   0.123022E+04   0.566770E-01   0.175234E+01   0.654526E+07   0.174608E+05
    41   0.124871E+04   0.614794E-01   0.167893E+01   0.654073E+07   0.170780E+05
    42   0.126720E+04   0.665583E-01   0.159668E+01   0.653425E+07   0.167083E+05
    43   0.128584E+04   0.719294E-01   0.150528E+01   0.652591E+07   0.163512E+05
    44   0.130449E+04   0.775934E-01   0.140531E+01   0.651582E+07   0.160064E+05
    45   0.132350E+04   0.835615E-01   0.129744E+01   0.650409E+07   0.156733E+05
    46   0.134282E+04   0.898412E-01   0.117995E+01   0.649081E+07   0.153516E+05
    47   0.136228E+04   0.964116E-01   0.105148E+01   0.647610E+07   0.150408E+05
    48   0.138181E+04   0.103252E+00   0.913450E+00   0.646004E+07   0.147406E+05
    49   0.140148E+04   0.110319E+00   0.766658E+00   0.644276E+07   0.144504E+05
    50   0.142152E+04   0.117563E+00   0.605131E+00   0.642434E+07   0.141700E+05
    51   0.144169E+04   0.124940E+00   0.422461E+00   0.640489E+07   0.138988E+05
    52   0.146223E+04   0.132561E+00   0.216135E+00   0.638447E+07   0.136365E+05
    53   0.148277E+04   0.140612E+00  -0.135356E-01   0.636311E+07   0.133827E+05
    54   0.150323E+04   0.149122E+00  -0.258271E+00   0.634088E+07   0.131370E+05
    55   0.152385E+04   0.158104E+00  -0.509676E+00   0.631782E+07   0.128991E+05
    56   0.154485E+04   0.167441E+00  -0.766497E+00   0.629398E+07   0.126686E+05
    57   0.156616E+04   0.176996E+00  -0.102974E+01   0.626941E+07   0.124451E+05
    58   0.158778E+04   0.186742E+00  -0.130222E+01   0.624415E+07   0.122283E+05
    59   0.160958E+04   0.196676E+00  -0.158675E+01   0.621826E+07   0.120177E+05
    60   0.163154E+04   0.206813E+00  -0.188473E+01   0.619179E+07   0.118131E+05
    61   0.165398E+04   0.217220E+00  -0.219701E+01   0.616479E+07   0.116140E+05
    62   0.167629E+04   0.227908E+00  -0.252465E+01   0.613728E+07   0.114200E+05
    63   0.169869E+04   0.238873E+00  -0.286839E+01   0.610932E+07   0.112309E+05
    64   0.172149E+04   0.250163E+00  -0.322916E+01   0.608093E+07   0.110462E+05
    65   0.174429E+04   0.261789E+00  -0.360736E+01   0.605215E+07   0.108656E+05
    66   0.176740E+04   0.273711E+00  -0.400080E+01   0.602302E+07   0.106886E+05
    67   0.179066E+04   0.285917E+00  -0.440628E+01   0.599357E+07   0.105150E+05
    68   0.181436E+04   0.298425E+00  -0.482166E+01   0.596385E+07   0.103444E+05
