#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.107811E+04   0.324038E+01   0.320464E-02   0.324038E+01   0.466846E-01  -0.155603E-04   0.320464E-02  -0.155603E-04   0.527745E-07
     3   0.101861E+04   0.398808E+01   0.321724E-02   0.398808E+01   0.745157E-01  -0.187548E-04   0.321724E-02  -0.187548E-04   0.643031E-07
     4   0.959577E+03   0.405336E+01   0.315132E-02   0.405336E+01   0.820464E-01  -0.187361E-04   0.315132E-02  -0.187361E-04   0.741602E-07
     5   0.913428E+03   0.372142E+01   0.305333E-02   0.372142E+01   0.713413E-01  -0.163938E-04   0.305333E-02  -0.163938E-04   0.827270E-07
     6   0.880014E+03   0.322478E+01   0.294401E-02   0.322478E+01   0.517311E-01  -0.125037E-04   0.294401E-02  -0.125037E-04   0.902166E-07
     7   0.857368E+03   0.268953E+01   0.283529E-02   0.268953E+01   0.324143E-01  -0.800811E-05   0.283529E-02  -0.800811E-05   0.968216E-07
     8   0.842682E+03   0.217961E+01   0.272797E-02   0.217961E+01   0.185368E-01  -0.389421E-05   0.272797E-02  -0.389421E-05   0.102677E-06
     9   0.834106E+03   0.174873E+01   0.262012E-02   0.174873E+01   0.108614E-01  -0.786414E-06   0.262012E-02  -0.786414E-06   0.107899E-06
    10   0.830260E+03   0.142453E+01   0.251348E-02   0.142453E+01   0.759171E-02   0.126254E-05   0.251348E-02   0.126254E-05   0.112558E-06
    11   0.829865E+03   0.120898E+01   0.241326E-02   0.120898E+01   0.645624E-02   0.259858E-05   0.241326E-02   0.259858E-05   0.116736E-06
    12   0.832991E+03   0.109139E+01   0.232186E-02   0.109139E+01   0.592529E-02   0.310133E-05   0.232186E-02   0.310133E-05   0.120489E-06
    13   0.837897E+03   0.104941E+01   0.224000E-02   0.104941E+01   0.552941E-02   0.262929E-05   0.224000E-02   0.262929E-05   0.123864E-06
    14   0.843900E+03   0.106394E+01   0.216552E-02   0.106394E+01   0.501947E-02   0.153371E-05   0.216552E-02   0.153371E-05   0.126896E-06
    15   0.851343E+03   0.111588E+01   0.209557E-02   0.111588E+01   0.455670E-02   0.289036E-06   0.209557E-02   0.289036E-06   0.129621E-06
    16   0.860583E+03   0.118711E+01   0.202781E-02   0.118711E+01   0.438714E-02  -0.715659E-06   0.202781E-02  -0.715659E-06   0.132072E-06
