#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.107810E+04   0.324037E+01   0.320464E-02   0.324037E+01   0.466846E-01  -0.155603E-04   0.320464E-02  -0.155603E-04   0.527745E-07
     3   0.101860E+04   0.398806E+01   0.321723E-02   0.398806E+01   0.745155E-01  -0.187547E-04   0.321723E-02  -0.187547E-04   0.643028E-07
     4   0.959566E+03   0.405333E+01   0.315131E-02   0.405333E+01   0.820461E-01  -0.187360E-04   0.315131E-02  -0.187360E-04   0.741597E-07
     5   0.913416E+03   0.372138E+01   0.305333E-02   0.372138E+01   0.713411E-01  -0.163937E-04   0.305333E-02  -0.163937E-04   0.827265E-07
     6   0.880001E+03   0.322474E+01   0.294401E-02   0.322474E+01   0.517309E-01  -0.125036E-04   0.294401E-02  -0.125036E-04   0.902160E-07
     7   0.857354E+03   0.268950E+01   0.283530E-02   0.268950E+01   0.324142E-01  -0.800803E-05   0.283530E-02  -0.800803E-05   0.968208E-07
     8   0.842666E+03   0.217960E+01   0.272798E-02   0.217960E+01   0.185367E-01  -0.389413E-05   0.272798E-02  -0.389413E-05   0.102676E-06
     9   0.834087E+03   0.174873E+01   0.262014E-02   0.174873E+01   0.108614E-01  -0.786334E-06   0.262014E-02  -0.786334E-06   0.107898E-06
    10   0.830239E+03   0.142453E+01   0.251350E-02   0.142453E+01   0.759175E-02   0.126262E-05   0.251350E-02   0.126262E-05   0.112557E-06
    11   0.829841E+03   0.120899E+01   0.241329E-02   0.120899E+01   0.645628E-02   0.259866E-05   0.241329E-02   0.259866E-05   0.116735E-06
    12   0.832962E+03   0.109141E+01   0.232189E-02   0.109141E+01   0.592531E-02   0.310141E-05   0.232189E-02   0.310141E-05   0.120488E-06
    13   0.837864E+03   0.104942E+01   0.224003E-02   0.104942E+01   0.552940E-02   0.262937E-05   0.224003E-02   0.262937E-05   0.123862E-06
    14   0.843863E+03   0.106394E+01   0.216555E-02   0.106394E+01   0.501941E-02   0.153379E-05   0.216555E-02   0.153379E-05   0.126894E-06
    15   0.851301E+03   0.111588E+01   0.209560E-02   0.111588E+01   0.455661E-02   0.289107E-06   0.209560E-02   0.289107E-06   0.129619E-06
    16   0.860536E+03   0.118710E+01   0.202784E-02   0.118710E+01   0.438701E-02  -0.715592E-06   0.202784E-02  -0.715592E-06   0.132070E-06
    17   0.871320E+03   0.126255E+01   0.196205E-02   0.126255E+01   0.464621E-02  -0.143268E-05   0.196205E-02  -0.143268E-05   0.134269E-06
    18   0.882606E+03   0.133164E+01   0.189855E-02   0.133164E+01   0.520246E-02  -0.189988E-05   0.189855E-02  -0.189988E-05   0.136240E-06
    19   0.895499E+03   0.139196E+01   0.183763E-02   0.139196E+01   0.581357E-02  -0.215494E-05   0.183763E-02  -0.215494E-05   0.138003E-06
    20   0.908581E+03   0.144126E+01   0.177961E-02   0.144126E+01   0.632350E-02  -0.223558E-05   0.177961E-02  -0.223558E-05   0.139581E-06
    21   0.922008E+03   0.148326E+01   0.172471E-02   0.148326E+01   0.675598E-02  -0.217763E-05   0.172471E-02  -0.217763E-05   0.140992E-06
    22   0.935854E+03   0.151965E+01   0.167282E-02   0.151965E+01   0.724815E-02  -0.200935E-05   0.167282E-02  -0.200935E-05   0.142248E-06
    23   0.949910E+03   0.155362E+01   0.162373E-02   0.155362E+01   0.796649E-02  -0.175706E-05   0.162373E-02  -0.175706E-05   0.143358E-06
    24   0.964268E+03   0.158877E+01   0.157723E-02   0.158877E+01   0.902101E-02  -0.144712E-05   0.157723E-02  -0.144712E-05   0.144331E-06
    25   0.978943E+03   0.162778E+01   0.153312E-02   0.162778E+01   0.104296E-01  -0.110587E-05   0.153312E-02  -0.110587E-05   0.145176E-06
    26   0.993801E+03   0.167371E+01   0.149120E-02   0.167371E+01   0.121419E-01  -0.759657E-06   0.149120E-02  -0.759657E-06   0.145901E-06
    27   0.100901E+04   0.172480E+01   0.145126E-02   0.172480E+01   0.140903E-01  -0.434817E-06   0.145126E-02  -0.434817E-06   0.146516E-06
    28   0.102435E+04   0.177919E+01   0.141310E-02   0.177919E+01   0.162385E-01  -0.157697E-06   0.141310E-02  -0.157697E-06   0.147030E-06
    29   0.104001E+04   0.183446E+01   0.137651E-02   0.183446E+01   0.185776E-01   0.453589E-07   0.137651E-02   0.453589E-07   0.147451E-06
    30   0.105598E+04   0.188646E+01   0.134128E-02   0.188646E+01   0.211138E-01   0.148007E-06   0.134128E-02   0.148007E-06   0.147789E-06
    31   0.107206E+04   0.193132E+01   0.130726E-02   0.193132E+01   0.238460E-01   0.132398E-06   0.130726E-02   0.132398E-06   0.148052E-06
    32   0.108840E+04   0.196598E+01   0.127437E-02   0.196598E+01   0.267583E-01   0.146636E-07   0.127437E-02   0.146636E-07   0.148243E-06
    33   0.110507E+04   0.198733E+01   0.124259E-02   0.198733E+01   0.298226E-01  -0.180570E-06   0.124259E-02  -0.180570E-06   0.148368E-06
    34   0.112199E+04   0.199355E+01   0.121190E-02   0.199355E+01   0.330248E-01  -0.428676E-06   0.121190E-02  -0.428676E-06   0.148429E-06
    35   0.113916E+04   0.198503E+01   0.118226E-02   0.198503E+01   0.363716E-01  -0.705029E-06   0.118226E-02  -0.705029E-06   0.148430E-06
    36   0.115650E+04   0.196202E+01   0.115366E-02   0.196202E+01   0.398885E-01  -0.985002E-06   0.115366E-02  -0.985002E-06   0.148376E-06
    37   0.117394E+04   0.192581E+01   0.112607E-02   0.192581E+01   0.436216E-01  -0.124397E-05   0.112607E-02  -0.124397E-05   0.148269E-06
    38   0.119169E+04   0.187963E+01   0.109946E-02   0.187963E+01   0.476178E-01  -0.145730E-05   0.109946E-02  -0.145730E-05   0.148114E-06
    39   0.120974E+04   0.182454E+01   0.107380E-02   0.182454E+01   0.518778E-01  -0.160038E-05   0.107380E-02  -0.160038E-05   0.147914E-06
    40   0.122789E+04   0.176086E+01   0.104907E-02   0.176086E+01   0.563967E-01  -0.164857E-05   0.104907E-02  -0.164857E-05   0.147673E-06
