#    L    TT             EE             TE             PP             TP          
    75   0.197817E+04   0.390464E+00  -0.794039E+01   0.576894E+07   0.917053E+04
    76   0.200333E+04   0.404738E+00  -0.844774E+01   0.573794E+07   0.902289E+04
    77   0.202872E+04   0.419245E+00  -0.896787E+01   0.570685E+07   0.887929E+04
    78   0.205441E+04   0.433999E+00  -0.950154E+01   0.567567E+07   0.874013E+04
    79   0.208027E+04   0.448933E+00  -0.100443E+02   0.564443E+07   0.860580E+04
    80   0.210644E+04   0.464037E+00  -0.105969E+02   0.561313E+07   0.847672E+04
    81   0.213285E+04   0.479252E+00  -0.111592E+02   0.558179E+07   0.835313E+04
    82   0.215958E+04   0.494592E+00  -0.117305E+02   0.555042E+07   0.823476E+04
    83   0.218655E+04   0.510027E+00  -0.123104E+02   0.551903E+07   0.812116E+04
    84   0.221382E+04   0.525550E+00  -0.128972E+02   0.548764E+07   0.801190E+04
    85   0.224125E+04   0.541132E+00  -0.134923E+02   0.545627E+07   0.790655E+04
    86   0.226892E+04   0.556778E+00  -0.140946E+02   0.542492E+07   0.780467E+04
    87   0.229703E+04   0.572453E+00  -0.147032E+02   0.539362E+07   0.770583E+04
    88   0.232515E+04   0.588163E+00  -0.153179E+02   0.536237E+07   0.760960E+04
    89   0.235363E+04   0.603886E+00  -0.159400E+02   0.533119E+07   0.751555E+04
    90   0.238234E+04   0.619576E+00  -0.165661E+02   0.530009E+07   0.742323E+04
    91   0.241118E+04   0.635221E+00  -0.171971E+02   0.526909E+07   0.733229E+04
    92   0.244032E+04   0.650807E+00  -0.178320E+02   0.523820E+07   0.724264E+04
    93   0.246975E+04   0.666331E+00  -0.184711E+02   0.520740E+07   0.715427E+04
    94   0.249925E+04   0.681757E+00  -0.191130E+02   0.517672E+07   0.706716E+04
    95   0.252904E+04   0.697089E+00  -0.197584E+02   0.514615E+07   0.698130E+04
    96   0.255883E+04   0.712315E+00  -0.204069E+02   0.511569E+07   0.689668E+04
    97   0.258907E+04   0.727425E+00  -0.210576E+02   0.508536E+07   0.681327E+04
    98   0.261953E+04   0.742412E+00  -0.217086E+02   0.505515E+07   0.673107E+04
    99   0.265006E+04   0.757244E+00  -0.223629E+02   0.502507E+07   0.665006E+04
   100   0.268090E+04   0.771924E+00  -0.230160E+02   0.499511E+07   0.657023E+04
   101   0.271188E+04   0.786514E+00  -0.236712E+02   0.496530E+07   0.649155E+04
   102   0.274339E+04   0.800869E+00  -0.243263E+02   0.493562E+07   0.641403E+04
   103   0.277483E+04   0.815065E+00  -0.249820E+02   0.490608E+07   0.633763E+04
   104   0.280650E+04   0.829108E+00  -0.256357E+02   0.487669E+07   0.626236E+04
   105   0.283832E+04   0.842924E+00  -0.262888E+02   0.484746E+07   0.618818E+04
   106   0.287037E+04   0.856592E+00  -0.269406E+02   0.481837E+07   0.611510E+04
   107   0.290236E+04   0.869967E+00  -0.275899E+02   0.478944E+07   0.604309E+04
   108   0.293473E+04   0.883125E+00  -0.282375E+02   0.476067E+07   0.597214E+04
   109   0.296725E+04   0.895995E+00  -0.288820E+02   0.473207E+07   0.590224E+04
   110   0.299986E+04   0.908582E+00  -0.295220E+02   0.470364E+07   0.583336E+04
   111   0.303264E+04   0.920961E+00  -0.301590E+02   0.467538E+07   0.576551E+04
   112   0.306557E+04   0.933057E+00  -0.307924E+02   0.464729E+07   0.569867E+04
   113   0.309874E+04   0.944870E+00  -0.314204E+02   0.461937E+07   0.563286E+04
