#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.108527E+04   0.324304E+01   0.324903E-02   0.324304E+01   0.472510E-01  -0.156485E-04   0.324903E-02  -0.156485E-04   0.525622E-07
     3   0.102375E+04   0.399029E+01   0.325881E-02   0.399029E+01   0.750289E-01  -0.188180E-04   0.325881E-02  -0.188180E-04   0.640611E-07
     4   0.963301E+03   0.405083E+01   0.319021E-02   0.405083E+01   0.821303E-01  -0.187393E-04   0.319021E-02  -0.187393E-04   0.738945E-07
     5   0.916178E+03   0.371359E+01   0.308969E-02   0.371359E+01   0.709527E-01  -0.163194E-04   0.308969E-02  -0.163194E-04   0.824418E-07
     6   0.882118E+03   0.321300E+01   0.297815E-02   0.321300E+01   0.510885E-01  -0.123589E-04   0.297815E-02  -0.123589E-04   0.899151E-07
     7   0.859045E+03   0.267444E+01   0.286752E-02   0.267444E+01   0.317928E-01  -0.782956E-05   0.286752E-02  -0.782956E-05   0.965064E-07
     8   0.844059E+03   0.216258E+01   0.275849E-02   0.216258E+01   0.181036E-01  -0.372829E-05   0.275849E-02  -0.372829E-05   0.102350E-06
     9   0.835266E+03   0.173235E+01   0.264901E-02   0.173235E+01   0.106335E-01  -0.659641E-06   0.264901E-02  -0.659641E-06   0.107562E-06
    10   0.831265E+03   0.141065E+01   0.254083E-02   0.141065E+01   0.749092E-02   0.135013E-05   0.254083E-02   0.135013E-05   0.112213E-06
    11   0.830755E+03   0.119897E+01   0.243927E-02   0.119897E+01   0.639607E-02   0.265302E-05   0.243927E-02   0.265302E-05   0.116383E-06
    12   0.833798E+03   0.108528E+01   0.234672E-02   0.108528E+01   0.586450E-02   0.311398E-05   0.234672E-02   0.311398E-05   0.120129E-06
    13   0.838651E+03   0.104595E+01   0.226387E-02   0.104595E+01   0.547107E-02   0.258022E-05   0.226387E-02   0.258022E-05   0.123498E-06
    14   0.844624E+03   0.106195E+01   0.218852E-02   0.106195E+01   0.497042E-02   0.142176E-05   0.218852E-02   0.142176E-05   0.126525E-06
    15   0.852050E+03   0.111457E+01   0.211771E-02   0.111457E+01   0.451745E-02   0.139348E-06   0.211771E-02   0.139348E-06   0.129245E-06
    16   0.861281E+03   0.118605E+01   0.204906E-02   0.118605E+01   0.435318E-02  -0.858508E-06   0.204906E-02  -0.858508E-06   0.131692E-06
    17   0.872069E+03   0.126147E+01   0.198234E-02   0.126147E+01   0.461381E-02  -0.153207E-05   0.198234E-02  -0.153207E-05   0.133888E-06
    18   0.883365E+03   0.133037E+01   0.191791E-02   0.133037E+01   0.516958E-02  -0.193381E-05   0.191791E-02  -0.193381E-05   0.135855E-06
