#    L    TT             EE             BB             TE          
    91   0.241366E+04   0.637487E+00   0.271435E-02  -0.171910E+02
    92   0.244282E+04   0.653111E+00   0.277485E-02  -0.178251E+02
    93   0.247227E+04   0.668672E+00   0.283606E-02  -0.184633E+02
    94   0.250179E+04   0.684136E+00   0.289800E-02  -0.191041E+02
    95   0.253160E+04   0.699506E+00   0.296067E-02  -0.197485E+02
    96   0.256142E+04   0.714770E+00   0.302407E-02  -0.203959E+02
    97   0.259167E+04   0.729918E+00   0.308820E-02  -0.210455E+02
    98   0.262215E+04   0.744944E+00   0.315307E-02  -0.216953E+02
    99   0.265270E+04   0.759814E+00   0.321869E-02  -0.223483E+02
   100   0.268354E+04   0.774533E+00   0.328505E-02  -0.230001E+02
   101   0.271454E+04   0.789162E+00   0.335216E-02  -0.236539E+02
   102   0.274606E+04   0.803556E+00   0.342002E-02  -0.243076E+02
   103   0.277751E+04   0.817792E+00   0.348864E-02  -0.249619E+02
   104   0.280918E+04   0.831875E+00   0.355802E-02  -0.256140E+02
   105   0.284101E+04   0.845732E+00   0.362817E-02  -0.262655E+02
   106   0.287307E+04   0.859442E+00   0.369909E-02  -0.269157E+02
   107   0.290506E+04   0.872858E+00   0.377077E-02  -0.275633E+02
   108   0.293742E+04   0.886059E+00   0.384324E-02  -0.282091E+02
   109   0.296995E+04   0.898973E+00   0.391648E-02  -0.288518E+02
   110   0.300256E+04   0.911603E+00   0.399051E-02  -0.294899E+02
   111   0.303533E+04   0.924027E+00   0.406533E-02  -0.301250E+02
   112   0.306825E+04   0.936169E+00   0.414095E-02  -0.307563E+02
   113   0.310141E+04   0.948028E+00   0.421736E-02  -0.313824E+02
   114   0.313466E+04   0.959529E+00   0.429457E-02  -0.320022E+02
   115   0.316813E+04   0.970819E+00   0.437259E-02  -0.326159E+02
   116   0.320161E+04   0.981674E+00   0.445142E-02  -0.332225E+02
   117   0.323540E+04   0.992167E+00   0.453106E-02  -0.338212E+02
   118   0.326934E+04   0.100244E+01   0.461153E-02  -0.344128E+02
   119   0.330329E+04   0.101236E+01   0.469282E-02  -0.349949E+02
   120   0.333739E+04   0.102176E+01   0.477495E-02  -0.355675E+02
