#    L    TT             EE             TE             PP             TP          
     2   0.107811E+04   0.466846E-01   0.324037E+01   0.109471E+07   0.298721E+05
     3   0.101860E+04   0.745155E-01   0.398806E+01   0.168814E+07   0.357847E+05
     4   0.959569E+03   0.820462E-01   0.405333E+01   0.221515E+07   0.386143E+05
     5   0.913419E+03   0.713411E-01   0.372139E+01   0.268124E+07   0.397761E+05
     6   0.880006E+03   0.517309E-01   0.322474E+01   0.309344E+07   0.400073E+05
     7   0.857360E+03   0.324142E-01   0.268950E+01   0.345967E+07   0.397402E+05
     8   0.842674E+03   0.185367E-01   0.217960E+01   0.378629E+07   0.391499E+05
     9   0.834096E+03   0.108614E-01   0.174873E+01   0.407892E+07   0.383094E+05
    10   0.830249E+03   0.759175E-02   0.142453E+01   0.434143E+07   0.373083E+05
    11   0.829853E+03   0.645628E-02   0.120899E+01   0.457792E+07   0.362697E+05
    12   0.832976E+03   0.592531E-02   0.109141E+01   0.479139E+07   0.352623E+05
    13   0.837880E+03   0.552941E-02   0.104942E+01   0.498437E+07   0.343244E+05
    14   0.843882E+03   0.501943E-02   0.106394E+01   0.515888E+07   0.334387E+05
    15   0.851322E+03   0.455663E-02   0.111588E+01   0.531680E+07   0.325742E+05
    16   0.860560E+03   0.438704E-02   0.118710E+01   0.545988E+07   0.317063E+05
    17   0.871347E+03   0.464625E-02   0.126255E+01   0.558942E+07   0.308377E+05
    18   0.882636E+03   0.520251E-02   0.133164E+01   0.570659E+07   0.299780E+05
    19   0.895533E+03   0.581362E-02   0.139196E+01   0.581256E+07   0.291367E+05
    20   0.908618E+03   0.632357E-02   0.144126E+01   0.590850E+07   0.283231E+05
    21   0.922048E+03   0.675606E-02   0.148326E+01   0.599547E+07   0.275448E+05
    22   0.935898E+03   0.724825E-02   0.151964E+01   0.607405E+07   0.268017E+05
    23   0.949958E+03   0.796661E-02   0.155362E+01   0.614475E+07   0.260916E+05
    24   0.964320E+03   0.902115E-02   0.158877E+01   0.620803E+07   0.254123E+05
    25   0.978999E+03   0.104298E-01   0.162777E+01   0.626438E+07   0.247617E+05
    26   0.993862E+03   0.121421E-01   0.167370E+01   0.631429E+07   0.241377E+05
    27   0.100907E+04   0.140905E-01   0.172478E+01   0.635824E+07   0.235381E+05
    28   0.102442E+04   0.162388E-01   0.177917E+01   0.639671E+07   0.229609E+05
    29   0.104008E+04   0.185780E-01   0.183444E+01   0.643019E+07   0.224038E+05
    30   0.105606E+04   0.211142E-01   0.188643E+01   0.645916E+07   0.218647E+05
    31   0.107215E+04   0.238466E-01   0.193129E+01   0.648405E+07   0.213418E+05
    32   0.108849E+04   0.267590E-01   0.196595E+01   0.650510E+07   0.208345E+05
    33   0.110517E+04   0.298233E-01   0.198729E+01   0.652253E+07   0.203427E+05
    34   0.112209E+04   0.330256E-01   0.199350E+01   0.653651E+07   0.198660E+05
    35   0.113927E+04   0.363727E-01   0.198497E+01   0.654725E+07   0.194041E+05
    36   0.115662E+04   0.398897E-01   0.196196E+01   0.655495E+07   0.189569E+05
    37   0.117406E+04   0.436230E-01   0.192574E+01   0.655980E+07   0.185241E+05
    38   0.119181E+04   0.476194E-01   0.187955E+01   0.656199E+07   0.181054E+05
    39   0.120988E+04   0.518797E-01   0.182445E+01   0.656173E+07   0.177006E+05
    40   0.122802E+04   0.563988E-01   0.176076E+01   0.655921E+07   0.173095E+05
    41   0.124640E+04   0.611793E-01   0.168853E+01   0.655461E+07   0.169317E+05
    42   0.126478E+04   0.662345E-01   0.160751E+01   0.654805E+07   0.165668E+05
    43   0.128332E+04   0.715801E-01   0.151740E+01   0.653963E+07   0.162144E+05
    44   0.130185E+04   0.772169E-01   0.141879E+01   0.652947E+07   0.158741E+05
    45   0.132075E+04   0.831562E-01   0.131234E+01   0.651765E+07   0.155453E+05
    46   0.133995E+04   0.894056E-01   0.119634E+01   0.650429E+07   0.152277E+05
    47   0.135929E+04   0.959445E-01   0.106944E+01   0.648949E+07   0.149208E+05
    48   0.137870E+04   0.102752E+00   0.933043E+00   0.647335E+07   0.146242E+05
    49   0.139824E+04   0.109785E+00   0.787971E+00   0.645598E+07   0.143373E+05
    50   0.141815E+04   0.116994E+00   0.628249E+00   0.643748E+07   0.140598E+05
    51   0.143819E+04   0.124335E+00   0.447471E+00   0.641794E+07   0.137912E+05
    52   0.145860E+04   0.131919E+00   0.243117E+00   0.639743E+07   0.135313E+05
    53   0.147900E+04   0.139932E+00   0.154907E-01   0.637598E+07   0.132796E+05
    54   0.149932E+04   0.148402E+00  -0.227138E+00   0.635366E+07   0.130358E+05
    55   0.151980E+04   0.157345E+00  -0.476383E+00   0.633051E+07   0.127997E+05
    56   0.154065E+04   0.166640E+00  -0.731000E+00   0.630658E+07   0.125710E+05
    57   0.156181E+04   0.176153E+00  -0.992004E+00   0.628192E+07   0.123492E+05
    58   0.158328E+04   0.185854E+00  -0.126221E+01   0.625658E+07   0.121342E+05
    59   0.160492E+04   0.195743E+00  -0.154445E+01   0.623060E+07   0.119255E+05
    60   0.162672E+04   0.205833E+00  -0.184014E+01   0.620404E+07   0.117229E+05
    61   0.164900E+04   0.216192E+00  -0.215012E+01   0.617694E+07   0.115260E+05
    62   0.167115E+04   0.226831E+00  -0.247544E+01   0.614935E+07   0.113345E+05
    63   0.169339E+04   0.237745E+00  -0.281683E+01   0.612129E+07   0.111479E+05
    64   0.171601E+04   0.248983E+00  -0.317522E+01   0.609281E+07   0.109659E+05
    65   0.173865E+04   0.260556E+00  -0.355097E+01   0.606395E+07   0.107879E+05
    66   0.176158E+04   0.272423E+00  -0.394189E+01   0.603473E+07   0.106137E+05
    67   0.178467E+04   0.284573E+00  -0.434478E+01   0.600520E+07   0.104427E+05
    68   0.180820E+04   0.297025E+00  -0.475745E+01   0.597538E+07   0.102746E+05
    69   0.183194E+04   0.309716E+00  -0.517766E+01   0.594533E+07   0.101089E+05
    70   0.185604E+04   0.322664E+00  -0.560657E+01   0.591508E+07   0.994535E+04
    71   0.188036E+04   0.335842E+00  -0.604629E+01   0.588465E+07   0.978354E+04
    72   0.190488E+04   0.349236E+00  -0.649878E+01   0.585407E+07   0.962377E+04
    73   0.192954E+04   0.362829E+00  -0.696546E+01   0.582334E+07   0.946643E+04
    74   0.195435E+04   0.376629E+00  -0.744626E+01   0.579248E+07   0.931194E+04
    75   0.197938E+04   0.390664E+00  -0.794051E+01   0.576151E+07   0.916070E+04
    76   0.200456E+04   0.404948E+00  -0.844814E+01   0.573043E+07   0.901309E+04
    77   0.202997E+04   0.419466E+00  -0.896858E+01   0.569926E+07   0.886954E+04
    78   0.205569E+04   0.434231E+00  -0.950256E+01   0.566801E+07   0.873042E+04
    79   0.208157E+04   0.449176E+00  -0.100456E+02   0.563669E+07   0.859616E+04
    80   0.210776E+04   0.464292E+00  -0.105985E+02   0.560531E+07   0.846714E+04
    81   0.213420E+04   0.479518E+00  -0.111613E+02   0.557390E+07   0.834362E+04
    82   0.216095E+04   0.494870E+00  -0.117329E+02   0.554245E+07   0.822532E+04
    83   0.218794E+04   0.510318E+00  -0.123131E+02   0.551099E+07   0.811180E+04
    84   0.221524E+04   0.525854E+00  -0.129004E+02   0.547954E+07   0.800263E+04
    85   0.224271E+04   0.541448E+00  -0.134958E+02   0.544809E+07   0.789736E+04
    86   0.227040E+04   0.557108E+00  -0.140986E+02   0.541668E+07   0.779556E+04
    87   0.229854E+04   0.572796E+00  -0.147076E+02   0.538530E+07   0.769680E+04
    88   0.232668E+04   0.588520E+00  -0.153228E+02   0.535398E+07   0.760065E+04
    89   0.235520E+04   0.604257E+00  -0.159452E+02   0.532274E+07   0.750666E+04
    90   0.238393E+04   0.619962E+00  -0.165719E+02   0.529157E+07   0.741441E+04
    91   0.241281E+04   0.635622E+00  -0.172033E+02   0.526051E+07   0.732353E+04
    92   0.244197E+04   0.651223E+00  -0.178388E+02   0.522954E+07   0.723393E+04
    93   0.247143E+04   0.666762E+00  -0.184784E+02   0.519869E+07   0.714561E+04
    94   0.250097E+04   0.682204E+00  -0.191208E+02   0.516794E+07   0.705854E+04
    95   0.253079E+04   0.697552E+00  -0.197668E+02   0.513730E+07   0.697272E+04
    96   0.256062E+04   0.712795E+00  -0.204158E+02   0.510679E+07   0.688812E+04
    97   0.259089E+04   0.727921E+00  -0.210672E+02   0.507639E+07   0.680474E+04
    98   0.262138E+04   0.742926E+00  -0.217187E+02   0.504612E+07   0.672257E+04
    99   0.265195E+04   0.757776E+00  -0.223736E+02   0.501597E+07   0.664158E+04
   100   0.268282E+04   0.772473E+00  -0.230274E+02   0.498596E+07   0.656176E+04
   101   0.271384E+04   0.787081E+00  -0.236832E+02   0.495608E+07   0.648311E+04
   102   0.274538E+04   0.801454E+00  -0.243389E+02   0.492635E+07   0.640560E+04
   103   0.277686E+04   0.815670E+00  -0.249954E+02   0.489675E+07   0.632922E+04
