#    L    TT             EE             BB             TE          
     2   0.107811E+04   0.466864E-01   0.184106E-05   0.324037E+01
     3   0.101861E+04   0.745192E-01   0.368271E-05   0.398806E+01
     4   0.959578E+03   0.820523E-01   0.613913E-05   0.405333E+01
     5   0.913433E+03   0.713503E-01   0.921109E-05   0.372138E+01
     6   0.880026E+03   0.517438E-01   0.128995E-04   0.322474E+01
     7   0.857387E+03   0.324314E-01   0.172055E-04   0.268950E+01
     8   0.842708E+03   0.185589E-01   0.221304E-04   0.217960E+01
     9   0.834139E+03   0.108891E-01   0.276756E-04   0.174872E+01
    10   0.830302E+03   0.762559E-02   0.338425E-04   0.142452E+01
    11   0.829916E+03   0.649691E-02   0.406330E-04   0.120898E+01
    12   0.833050E+03   0.597335E-02   0.480489E-04   0.109139E+01
    13   0.837967E+03   0.558548E-02   0.560919E-04   0.104939E+01
    14   0.843981E+03   0.508417E-02   0.647641E-04   0.106391E+01
    15   0.851436E+03   0.463066E-02   0.740676E-04   0.111583E+01
    16   0.860687E+03   0.447100E-02   0.840045E-04   0.118704E+01
    17   0.871490E+03   0.474076E-02   0.945768E-04   0.126247E+01
    18   0.882794E+03   0.530821E-02   0.105787E-03   0.133154E+01
    19   0.895708E+03   0.593115E-02   0.117637E-03   0.139184E+01
    20   0.908810E+03   0.645355E-02   0.130128E-03   0.144112E+01
    21   0.922258E+03   0.689914E-02   0.143264E-03   0.148309E+01
    22   0.936126E+03   0.740506E-02   0.157046E-03   0.151945E+01
    23   0.950205E+03   0.813779E-02   0.171476E-03   0.155339E+01
    24   0.964586E+03   0.920734E-02   0.186556E-03   0.158850E+01
    25   0.979285E+03   0.106316E-01   0.202287E-03   0.162746E+01
    26   0.994168E+03   0.123602E-01   0.218672E-03   0.167335E+01
    27   0.100940E+04   0.143255E-01   0.235713E-03   0.172438E+01
    28   0.102477E+04   0.164913E-01   0.253410E-03   0.177872E+01
    29   0.104045E+04   0.188487E-01   0.271765E-03   0.183392E+01
    30   0.105645E+04   0.214037E-01   0.290779E-03   0.188586E+01
    31   0.107256E+04   0.241554E-01   0.310453E-03   0.193065E+01
    32   0.108893E+04   0.270879E-01   0.330788E-03   0.196524E+01
    33   0.110562E+04   0.301729E-01   0.351785E-03   0.198651E+01
    34   0.112258E+04   0.333964E-01   0.373444E-03   0.199264E+01
    35   0.113977E+04   0.367653E-01   0.395765E-03   0.198403E+01
    36   0.115715E+04   0.403048E-01   0.418750E-03   0.196093E+01
    37   0.117461E+04   0.440611E-01   0.442397E-03   0.192462E+01
    38   0.119239E+04   0.480810E-01   0.466708E-03   0.187834E+01
    39   0.121048E+04   0.523655E-01   0.491680E-03   0.182314E+01
    40   0.122865E+04   0.569094E-01   0.517315E-03   0.175935E+01
    41   0.124705E+04   0.617152E-01   0.543612E-03   0.168702E+01
    42   0.126546E+04   0.667962E-01   0.570569E-03   0.160590E+01
    43   0.128402E+04   0.721681E-01   0.598187E-03   0.151569E+01
    44   0.130258E+04   0.778318E-01   0.626464E-03   0.141698E+01
    45   0.132150E+04   0.837985E-01   0.655399E-03   0.131042E+01
    46   0.134073E+04   0.900757E-01   0.684991E-03   0.119431E+01
    47   0.136009E+04   0.966429E-01   0.715239E-03   0.106731E+01
    48   0.137953E+04   0.103479E+00   0.746142E-03   0.930813E+00
    49   0.139910E+04   0.110542E+00   0.777699E-03   0.785642E+00
    50   0.141903E+04   0.117780E+00   0.809908E-03   0.625825E+00
    51   0.143910E+04   0.125151E+00   0.842768E-03   0.444956E+00
    52   0.145953E+04   0.132766E+00   0.876278E-03   0.240515E+00
    53   0.147996E+04   0.140809E+00   0.910438E-03   0.128077E-01
    54   0.150031E+04   0.149311E+00   0.945244E-03  -0.229896E+00
    55   0.152081E+04   0.158285E+00   0.980697E-03  -0.479207E+00
    56   0.154169E+04   0.167611E+00   0.101680E-02  -0.733882E+00
    57   0.156288E+04   0.177157E+00   0.105354E-02  -0.994934E+00
    58   0.158437E+04   0.186890E+00   0.109093E-02  -0.126518E+01
    59   0.160604E+04   0.196812E+00   0.112896E-02  -0.154745E+01
    60   0.162787E+04   0.206935E+00   0.116763E-02  -0.184315E+01
    61   0.165017E+04   0.217327E+00   0.120695E-02  -0.215313E+01
    62   0.167235E+04   0.227999E+00   0.124690E-02  -0.247843E+01
    63   0.169462E+04   0.238946E+00   0.128750E-02  -0.281979E+01
    64   0.171727E+04   0.250218E+00   0.132874E-02  -0.317813E+01
    65   0.173993E+04   0.261825E+00   0.137063E-02  -0.355380E+01
    66   0.176289E+04   0.273726E+00   0.141315E-02  -0.394464E+01
    67   0.178601E+04   0.285910E+00   0.145632E-02  -0.434741E+01
    68   0.180956E+04   0.298396E+00   0.150014E-02  -0.475995E+01
    69   0.183333E+04   0.311120E+00   0.154459E-02  -0.518000E+01
    70   0.185746E+04   0.324102E+00   0.158970E-02  -0.560873E+01
    71   0.188180E+04   0.337315E+00   0.163545E-02  -0.604824E+01
    72   0.190635E+04   0.350742E+00   0.168186E-02  -0.650049E+01
    73   0.193104E+04   0.364370E+00   0.172891E-02  -0.696691E+01
    74   0.195587E+04   0.378204E+00   0.177662E-02  -0.744741E+01
    75   0.198092E+04   0.392273E+00   0.182498E-02  -0.794133E+01
    76   0.200613E+04   0.406591E+00   0.187400E-02  -0.844860E+01
    77   0.203156E+04   0.421142E+00   0.192368E-02  -0.896864E+01
    78   0.205730E+04   0.435941E+00   0.197402E-02  -0.950218E+01
    79   0.208321E+04   0.450919E+00   0.202503E-02  -0.100448E+02
    80   0.210942E+04   0.466068E+00   0.207671E-02  -0.105972E+02
    81   0.213588E+04   0.481328E+00   0.212906E-02  -0.111594E+02
    82   0.216266E+04   0.496713E+00   0.218208E-02  -0.117304E+02
    83   0.218967E+04   0.512194E+00   0.223579E-02  -0.123100E+02
    84   0.221699E+04   0.527763E+00   0.229017E-02  -0.128966E+02
    85   0.224447E+04   0.543390E+00   0.234524E-02  -0.134913E+02
    86   0.227218E+04   0.559082E+00   0.240099E-02  -0.140933E+02
    87   0.230034E+04   0.574803E+00   0.245744E-02  -0.147015E+02
    88   0.232850E+04   0.590559E+00   0.251458E-02  -0.153158E+02
    89   0.235703E+04   0.606328E+00   0.257242E-02  -0.159374E+02
    90   0.238577E+04   0.622065E+00   0.263097E-02  -0.165631E+02
    91   0.241466E+04   0.637757E+00   0.269021E-02  -0.171934E+02
    92   0.244384E+04   0.653390E+00   0.275017E-02  -0.178278E+02
    93   0.247331E+04   0.668961E+00   0.281085E-02  -0.184663E+02
    94   0.250286E+04   0.684434E+00   0.287224E-02  -0.191076E+02
    95   0.253269E+04   0.699814E+00   0.293435E-02  -0.197523E+02
    96   0.256252E+04   0.715089E+00   0.299719E-02  -0.204000E+02
    97   0.259280E+04   0.730247E+00   0.306075E-02  -0.210500E+02
    98   0.262329E+04   0.745283E+00   0.312505E-02  -0.217002E+02
    99   0.265387E+04   0.760165E+00   0.319009E-02  -0.223536E+02
   100   0.268473E+04   0.774894E+00   0.325586E-02  -0.230059E+02
   101   0.271575E+04   0.789534E+00   0.332238E-02  -0.236601E+02
   102   0.274730E+04   0.803940E+00   0.338964E-02  -0.243142E+02
   103   0.277877E+04   0.818188E+00   0.345766E-02  -0.249689E+02
   104   0.281047E+04   0.832282E+00   0.352643E-02  -0.256215E+02
   105   0.284232E+04   0.846151E+00   0.359596E-02  -0.262735E+02
   106   0.287440E+04   0.859873E+00   0.366625E-02  -0.269242E+02
   107   0.290642E+04   0.873301E+00   0.373731E-02  -0.275723E+02
   108   0.293881E+04   0.886514E+00   0.380914E-02  -0.282186E+02
   109   0.297136E+04   0.899441E+00   0.388174E-02  -0.288618E+02
   110   0.300400E+04   0.912084E+00   0.395512E-02  -0.295004E+02
   111   0.303679E+04   0.924521E+00   0.402928E-02  -0.301360E+02
   112   0.306975E+04   0.936676E+00   0.410424E-02  -0.307679E+02
   113   0.310294E+04   0.948549E+00   0.417998E-02  -0.313945E+02
   114   0.313621E+04   0.960063E+00   0.425652E-02  -0.320149E+02
   115   0.316971E+04   0.971367E+00   0.433386E-02  -0.326291E+02
   116   0.320322E+04   0.982235E+00   0.441200E-02  -0.332363E+02
   117   0.323704E+04   0.992741E+00   0.449095E-02  -0.338356E+02
   118   0.327101E+04   0.100303E+01   0.457072E-02  -0.344278E+02
   119   0.330499E+04   0.101296E+01   0.465131E-02  -0.350106E+02
   120   0.333912E+04   0.102237E+01   0.473273E-02  -0.355837E+02
   121   0.337326E+04   0.103157E+01   0.481497E-02  -0.361473E+02
   122   0.340748E+04   0.104024E+01   0.489805E-02  -0.367005E+02
   123   0.344177E+04   0.104848E+01   0.498198E-02  -0.372432E+02
   124   0.347615E+04   0.105634E+01   0.506676E-02  -0.377723E+02
   125   0.351053E+04   0.106375E+01   0.515239E-02  -0.382901E+02
   126   0.354499E+04   0.107080E+01   0.523888E-02  -0.387956E+02
   127   0.357944E+04   0.107731E+01   0.532624E-02  -0.392882E+02
   128   0.361391E+04   0.108346E+01   0.541447E-02  -0.397670E+02
   129   0.364844E+04   0.108907E+01   0.550359E-02  -0.402311E+02
   130   0.368298E+04   0.109416E+01   0.559360E-02  -0.406798E+02
   131   0.371752E+04   0.109888E+01   0.568450E-02  -0.411145E+02
   132   0.375213E+04   0.110306E+01   0.577631E-02  -0.415322E+02
   133   0.378667E+04   0.110679E+01   0.586903E-02  -0.419351E+02
   134   0.382121E+04   0.111006E+01   0.596267E-02  -0.423189E+02
   135   0.385576E+04   0.111281E+01   0.605724E-02  -0.426865E+02
   136   0.389016E+04   0.111502E+01   0.615274E-02  -0.430343E+02
   137   0.392456E+04   0.111679E+01   0.624918E-02  -0.433644E+02
   138   0.395888E+04   0.111802E+01   0.634658E-02  -0.436754E+02
   139   0.399299E+04   0.111888E+01   0.644493E-02  -0.439666E+02
   140   0.402718E+04   0.111913E+01   0.654425E-02  -0.442388E+02
   141   0.406115E+04   0.111886E+01   0.664455E-02  -0.444896E+02
   142   0.409513E+04   0.111813E+01   0.674583E-02  -0.447200E+02
   143   0.412903E+04   0.111695E+01   0.684810E-02  -0.449299E+02
   144   0.416272E+04   0.111524E+01   0.695137E-02  -0.451186E+02
   145   0.419626E+04   0.111315E+01   0.705564E-02  -0.452854E+02
   146   0.422989E+04   0.111046E+01   0.716093E-02  -0.454303E+02
   147   0.426315E+04   0.110739E+01   0.726723E-02  -0.455517E+02
   148   0.429627E+04   0.110379E+01   0.737457E-02  -0.456514E+02
   149   0.432932E+04   0.109974E+01   0.748293E-02  -0.457277E+02
   150   0.436208E+04   0.109531E+01   0.759234E-02  -0.457784E+02
   151   0.439471E+04   0.109042E+01   0.770279E-02  -0.458066E+02
   152   0.442704E+04   0.108501E+01   0.781430E-02  -0.458107E+02
   153   0.445923E+04   0.107922E+01   0.792686E-02  -0.457886E+02
   154   0.449120E+04   0.107306E+01   0.804049E-02  -0.457424E+02
   155   0.452295E+04   0.106651E+01   0.815518E-02  -0.456714E+02
   156   0.455432E+04   0.105960E+01   0.827094E-02  -0.455755E+02
   157   0.458563E+04   0.105230E+01   0.838778E-02  -0.454533E+02
   158   0.461663E+04   0.104471E+01   0.850570E-02  -0.453055E+02
   159   0.464734E+04   0.103667E+01   0.862469E-02  -0.451321E+02
   160   0.467781E+04   0.102834E+01   0.874477E-02  -0.449316E+02
   161   0.470806E+04   0.101978E+01   0.886594E-02  -0.447055E+02
   162   0.473801E+04   0.101085E+01   0.898819E-02  -0.444538E+02
   163   0.476779E+04   0.100162E+01   0.911153E-02  -0.441749E+02
   164   0.479712E+04   0.992177E+00   0.923595E-02  -0.438703E+02
   165   0.482629E+04   0.982438E+00   0.936146E-02  -0.435379E+02
   166   0.485515E+04   0.972554E+00   0.948806E-02  -0.431790E+02
   167   0.488377E+04   0.962304E+00   0.961575E-02  -0.427945E+02
   168   0.491193E+04   0.952059E+00   0.974451E-02  -0.423820E+02
   169   0.493977E+04   0.941523E+00   0.987436E-02  -0.419416E+02
   170   0.496730E+04   0.930920E+00   0.100053E-01  -0.414747E+02
   171   0.499436E+04   0.920251E+00   0.101373E-01  -0.409792E+02
   172   0.502103E+04   0.909441E+00   0.102704E-01  -0.404564E+02
   173   0.504723E+04   0.898493E+00   0.104045E-01  -0.399064E+02
   174   0.507311E+04   0.887703E+00   0.105397E-01  -0.393291E+02
   175   0.509859E+04   0.876775E+00   0.106759E-01  -0.387239E+02
