#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.304997E-02   0.187720E+08   0.187688E+08   0.129874E+03  -0.505229E+05   0.000000E+00   0.187715E+08   0.187715E+08   0.187715E+08  -0.446168E+00   0.984138E+07   0.984084E+07   0.587773E+02
   0.370939E-02   0.184605E+08   0.184569E+08  -0.122839E+05  -0.335881E+05   0.000000E+00   0.184599E+08   0.184599E+08   0.184599E+08  -0.438762E+00   0.967801E+07   0.967748E+07   0.479376E+02
   0.451137E-02   0.180763E+08   0.180721E+08  -0.144515E+05  -0.222342E+05   0.000000E+00   0.180757E+08   0.180757E+08   0.180757E+08  -0.429628E+00   0.947653E+07   0.947600E+07   0.390867E+02
   0.548674E-02   0.176085E+08   0.176032E+08  -0.118309E+05  -0.146422E+05   0.000000E+00   0.176076E+08   0.176076E+08   0.176076E+08  -0.418503E+00   0.923114E+07   0.923062E+07   0.320156E+02
   0.667298E-02   0.170457E+08   0.170391E+08  -0.104232E+05  -0.958243E+04   0.000000E+00   0.170447E+08   0.170447E+08   0.170447E+08  -0.405122E+00   0.893598E+07   0.893546E+07   0.261221E+02
   0.811570E-02   0.163767E+08   0.163682E+08  -0.552695E+04  -0.622393E+04   0.000000E+00   0.163754E+08   0.163754E+08   0.163754E+08  -0.389215E+00   0.858511E+07   0.858459E+07   0.214165E+02
   0.987034E-02   0.155923E+08   0.155810E+08   0.192784E+04  -0.400609E+04   0.000000E+00   0.155905E+08   0.155905E+08   0.155905E+08  -0.370559E+00   0.817362E+07   0.817310E+07   0.177019E+02
   0.120043E-01   0.146782E+08   0.146632E+08  -0.219612E+04  -0.254949E+04   0.000000E+00   0.146759E+08   0.146759E+08   0.146759E+08  -0.348820E+00   0.769412E+07   0.769359E+07   0.147310E+02
   0.145997E-01   0.136324E+08   0.136124E+08   0.349610E+03  -0.160071E+04   0.000000E+00   0.136293E+08   0.136293E+08   0.136293E+08  -0.323945E+00   0.714544E+07   0.714490E+07   0.123991E+02
   0.177562E-01   0.124414E+08   0.124151E+08  -0.105196E+04  -0.987548E+03   0.000000E+00   0.124373E+08   0.124373E+08   0.124373E+08  -0.295613E+00   0.652051E+07   0.651994E+07   0.105259E+02
   0.215952E-01   0.111184E+08   0.110848E+08  -0.855537E+02  -0.596575E+03   0.000000E+00   0.111132E+08   0.111132E+08   0.111132E+08  -0.264140E+00   0.582631E+07   0.582573E+07   0.896039E+01
   0.259142E-01   0.978745E+07   0.974718E+07   0.332385E+02  -0.364643E+03   0.000000E+00   0.978122E+07   0.978122E+07   0.978122E+07  -0.232482E+00   0.512802E+07   0.512743E+07   0.762569E+01
   0.302332E-01   0.862880E+07   0.858414E+07  -0.787761E+02  -0.236152E+03   0.000000E+00   0.862189E+07   0.862189E+07   0.862189E+07  -0.204927E+00   0.452023E+07   0.451964E+07   0.649057E+01
   0.345522E-01   0.764408E+07   0.759777E+07  -0.246937E+02  -0.160151E+03   0.000000E+00   0.763692E+07   0.763692E+07   0.763692E+07  -0.181516E+00   0.400384E+07   0.400327E+07   0.545426E+01
   0.388713E-01   0.682819E+07   0.678295E+07  -0.192992E+02  -0.113024E+03   0.000000E+00   0.682119E+07   0.682119E+07   0.682119E+07  -0.162127E+00   0.357618E+07   0.357565E+07   0.449239E+01
   0.431903E-01   0.616750E+07   0.612568E+07  -0.191938E+02  -0.826891E+02   0.000000E+00   0.616103E+07   0.616103E+07   0.616103E+07  -0.146437E+00   0.323007E+07   0.322960E+07   0.361411E+01
   0.475093E-01   0.563904E+07   0.560226E+07   0.124607E+03  -0.624843E+02   0.000000E+00   0.563335E+07   0.563335E+07   0.563335E+07  -0.133895E+00   0.295342E+07   0.295301E+07   0.283943E+01
   0.518284E-01   0.522262E+07   0.519168E+07   0.969840E+02  -0.486306E+02   0.000000E+00   0.521784E+07   0.521784E+07   0.521784E+07  -0.124019E+00   0.273557E+07   0.273523E+07   0.218772E+01
   0.561474E-01   0.488325E+07   0.485809E+07   0.772789E+02  -0.387479E+02   0.000000E+00   0.487936E+07   0.487936E+07   0.487936E+07  -0.115974E+00   0.255811E+07   0.255783E+07   0.166867E+01
   0.604664E-01   0.459667E+07   0.457656E+07   0.627321E+02  -0.314527E+02   0.000000E+00   0.459356E+07   0.459356E+07   0.459356E+07  -0.109181E+00   0.240827E+07   0.240804E+07   0.128202E+01
   0.647855E-01   0.433958E+07   0.432328E+07   0.515961E+02  -0.258685E+02   0.000000E+00   0.433706E+07   0.433706E+07   0.433706E+07  -0.103084E+00   0.227379E+07   0.227359E+07   0.101629E+01
