#           k/h    P           
   0.104501E-04   0.495834E+02
   0.127097E-04   0.599387E+02
   0.154578E-04   0.724566E+02
   0.188001E-04   0.875887E+02
   0.228652E-04   0.105881E+03
   0.278091E-04   0.127993E+03
   0.338221E-04   0.154723E+03
   0.411352E-04   0.187034E+03
   0.500296E-04   0.226090E+03
   0.608472E-04   0.273301E+03
   0.740037E-04   0.330364E+03
   0.900050E-04   0.399334E+03
   0.109466E-03   0.482687E+03
   0.133135E-03   0.583412E+03
   0.161922E-03   0.705108E+03
   0.196934E-03   0.852105E+03
   0.239515E-03   0.102960E+04
   0.291304E-03   0.124381E+04
   0.354290E-03   0.150214E+04
   0.430896E-03   0.181335E+04
   0.524066E-03   0.218775E+04
   0.637381E-03   0.263734E+04
   0.775197E-03   0.317593E+04
   0.942812E-03   0.381918E+04
   0.114667E-02   0.458445E+04
   0.139461E-02   0.549040E+04
   0.169615E-02   0.655609E+04
   0.206290E-02   0.779960E+04
   0.250895E-02   0.923586E+04
   0.305144E-02   0.108736E+05
   0.371123E-02   0.127115E+05
   0.451368E-02   0.147328E+05
   0.548964E-02   0.168987E+05
   0.667663E-02   0.191416E+05
   0.812027E-02   0.213566E+05
   0.987606E-02   0.233994E+05
   0.120115E-01   0.250621E+05
   0.146087E-01   0.261253E+05
   0.177674E-01   0.262929E+05
   0.216091E-01   0.253681E+05
   0.259309E-01   0.234381E+05
   0.302527E-01   0.211333E+05
   0.345746E-01   0.188583E+05
   0.388964E-01   0.168509E+05
   0.432182E-01   0.152122E+05
   0.475400E-01   0.139370E+05
   0.518618E-01   0.129975E+05
   0.561837E-01   0.122721E+05
   0.605055E-01   0.116773E+05
   0.648273E-01   0.111213E+05
   0.691491E-01   0.105417E+05
   0.734709E-01   0.990469E+04
   0.777928E-01   0.921112E+04
   0.821146E-01   0.848533E+04
   0.864364E-01   0.776704E+04
   0.907582E-01   0.709387E+04
   0.961207E-01   0.636619E+04
   0.101483E+00   0.579037E+04
   0.106846E+00   0.536992E+04
   0.112208E+00   0.507491E+04
   0.117571E+00   0.485700E+04
   0.122933E+00   0.466808E+04
   0.128296E+00   0.447033E+04
   0.133658E+00   0.424108E+04
   0.139021E+00   0.397682E+04
   0.144383E+00   0.369117E+04
   0.149746E+00   0.340588E+04
   0.155108E+00   0.314239E+04
   0.160471E+00   0.291744E+04
   0.165833E+00   0.273935E+04
   0.171196E+00   0.260546E+04
   0.176558E+00   0.250440E+04
   0.181921E+00   0.242175E+04
   0.187283E+00   0.234424E+04
   0.192646E+00   0.226130E+04
   0.198008E+00   0.216679E+04
   0.203371E+00   0.206063E+04
   0.208733E+00   0.194811E+04
   0.214096E+00   0.183670E+04
   0.219458E+00   0.173324E+04
   0.224821E+00   0.164256E+04
   0.230183E+00   0.156673E+04
   0.235546E+00   0.150490E+04
   0.240908E+00   0.145403E+04
   0.246271E+00   0.140991E+04
   0.251633E+00   0.136807E+04
   0.256996E+00   0.132484E+04
   0.262358E+00   0.127830E+04
   0.267721E+00   0.122864E+04
   0.273083E+00   0.117750E+04
   0.278446E+00   0.112692E+04
   0.283808E+00   0.107891E+04
   0.289171E+00   0.103515E+04
   0.294533E+00   0.996577E+03
   0.299895E+00   0.963032E+03
   0.305258E+00   0.933502E+03
   0.310620E+00   0.906639E+03
   0.315983E+00   0.881125E+03
   0.321345E+00   0.855846E+03
   0.326708E+00   0.830068E+03
   0.332070E+00   0.803634E+03
   0.337433E+00   0.776930E+03
   0.342795E+00   0.750612E+03
   0.348158E+00   0.725334E+03
   0.353520E+00   0.701607E+03
   0.358883E+00   0.679732E+03
   0.364245E+00   0.659734E+03
   0.369608E+00   0.641368E+03
   0.374970E+00   0.624229E+03
   0.380333E+00   0.607897E+03
   0.385695E+00   0.592013E+03
   0.391058E+00   0.576309E+03
   0.396420E+00   0.560655E+03
   0.401783E+00   0.545102E+03
   0.407145E+00   0.529839E+03
   0.412508E+00   0.515071E+03
   0.417870E+00   0.500938E+03
   0.423233E+00   0.487524E+03
   0.428595E+00   0.474874E+03
   0.433958E+00   0.462966E+03
   0.439320E+00   0.451678E+03
   0.444683E+00   0.440846E+03
   0.450045E+00   0.430348E+03
   0.455408E+00   0.420115E+03
   0.460770E+00   0.410095E+03
   0.466133E+00   0.400250E+03
   0.471495E+00   0.390599E+03
   0.476858E+00   0.381213E+03
   0.482220E+00   0.372154E+03
   0.487583E+00   0.363444E+03
   0.492945E+00   0.355078E+03
   0.498308E+00   0.347055E+03
   0.503670E+00   0.339361E+03
   0.509033E+00   0.331952E+03
   0.514395E+00   0.324771E+03
   0.519758E+00   0.317781E+03
   0.525120E+00   0.310967E+03
   0.530483E+00   0.304320E+03
   0.535845E+00   0.297830E+03
   0.541208E+00   0.291498E+03
   0.546570E+00   0.285345E+03
   0.551933E+00   0.279387E+03
   0.557295E+00   0.273622E+03
   0.562658E+00   0.268039E+03
   0.568020E+00   0.262633E+03
   0.573383E+00   0.257399E+03
   0.578745E+00   0.252321E+03
   0.584108E+00   0.247378E+03
   0.589470E+00   0.242557E+03
   0.594833E+00   0.237857E+03
   0.600195E+00   0.233276E+03
   0.605558E+00   0.228808E+03
   0.610920E+00   0.224449E+03
   0.616283E+00   0.220203E+03
   0.621645E+00   0.216078E+03
   0.627008E+00   0.212068E+03
   0.674474E+00   0.180773E+03
   0.725535E+00   0.153854E+03
   0.780460E+00   0.130768E+03
   0.839544E+00   0.111005E+03
   0.903101E+00   0.941065E+02
   0.971469E+00   0.796856E+02
   0.104501E+01   0.673956E+02
   0.126811E+01   0.429898E+02
   0.158368E+01   0.254215E+02
   0.197777E+01   0.149017E+02
   0.246994E+01   0.866586E+01
