#    L    TT             EE             BB             TE          
    91   0.241365E+04   0.637489E+00   0.271647E-02  -0.171910E+02
    92   0.244282E+04   0.653113E+00   0.277701E-02  -0.178251E+02
    93   0.247227E+04   0.668674E+00   0.283828E-02  -0.184633E+02
    94   0.250179E+04   0.684138E+00   0.290027E-02  -0.191041E+02
    95   0.253160E+04   0.699508E+00   0.296298E-02  -0.197485E+02
    96   0.256142E+04   0.714772E+00   0.302643E-02  -0.203959E+02
    97   0.259167E+04   0.729920E+00   0.309061E-02  -0.210455E+02
    98   0.262215E+04   0.744946E+00   0.315554E-02  -0.216953E+02
    99   0.265269E+04   0.759817E+00   0.322120E-02  -0.223483E+02
   100   0.268354E+04   0.774535E+00   0.328761E-02  -0.230001E+02
   101   0.271454E+04   0.789164E+00   0.335477E-02  -0.236539E+02
   102   0.274606E+04   0.803558E+00   0.342269E-02  -0.243076E+02
   103   0.277751E+04   0.817795E+00   0.349136E-02  -0.249619E+02
   104   0.280918E+04   0.831877E+00   0.356080E-02  -0.256140E+02
   105   0.284101E+04   0.845735E+00   0.363100E-02  -0.262655E+02
   106   0.287306E+04   0.859444E+00   0.370197E-02  -0.269157E+02
   107   0.290505E+04   0.872861E+00   0.377371E-02  -0.275633E+02
   108   0.293742E+04   0.886061E+00   0.384623E-02  -0.282091E+02
   109   0.296995E+04   0.898975E+00   0.391953E-02  -0.288518E+02
   110   0.300256E+04   0.911606E+00   0.399361E-02  -0.294899E+02
   111   0.303533E+04   0.924030E+00   0.406849E-02  -0.301250E+02
   112   0.306825E+04   0.936172E+00   0.414415E-02  -0.307563E+02
   113   0.310141E+04   0.948031E+00   0.422062E-02  -0.313823E+02
   114   0.313465E+04   0.959532E+00   0.429789E-02  -0.320022E+02
   115   0.316813E+04   0.970822E+00   0.437596E-02  -0.326158E+02
   116   0.320161E+04   0.981677E+00   0.445485E-02  -0.332225E+02
   117   0.323540E+04   0.992170E+00   0.453455E-02  -0.338212E+02
   118   0.326934E+04   0.100245E+01   0.461508E-02  -0.344128E+02
   119   0.330328E+04   0.101236E+01   0.469643E-02  -0.349949E+02
   120   0.333739E+04   0.102176E+01   0.477861E-02  -0.355675E+02
   121   0.337149E+04   0.103094E+01   0.486163E-02  -0.361305E+02
   122   0.340568E+04   0.103960E+01   0.494550E-02  -0.366830E+02
   123   0.343994E+04   0.104782E+01   0.503021E-02  -0.372251E+02
   124   0.347429E+04   0.105567E+01   0.511578E-02  -0.377536E+02
   125   0.350863E+04   0.106307E+01   0.520222E-02  -0.382707E+02
   126   0.354305E+04   0.107010E+01   0.528952E-02  -0.387756E+02
   127   0.357748E+04   0.107661E+01   0.537769E-02  -0.392676E+02
   128   0.361191E+04   0.108274E+01   0.546675E-02  -0.397457E+02
   129   0.364641E+04   0.108834E+01   0.555670E-02  -0.402092E+02
   130   0.368091E+04   0.109342E+01   0.564754E-02  -0.406572E+02
   131   0.371541E+04   0.109812E+01   0.573929E-02  -0.410912E+02
   132   0.374999E+04   0.110228E+01   0.583195E-02  -0.415083E+02
   133   0.378449E+04   0.110600E+01   0.592552E-02  -0.419106E+02
   134   0.381900E+04   0.110926E+01   0.602003E-02  -0.422937E+02
   135   0.385350E+04   0.111200E+01   0.611546E-02  -0.426607E+02
   136   0.388786E+04   0.111420E+01   0.621184E-02  -0.430078E+02
   137   0.392222E+04   0.111596E+01   0.630917E-02  -0.433372E+02
   138   0.395651E+04   0.111718E+01   0.640746E-02  -0.436476E+02
   139   0.399058E+04   0.111803E+01   0.650671E-02  -0.439381E+02
   140   0.402473E+04   0.111827E+01   0.660694E-02  -0.442096E+02
   141   0.405866E+04   0.111799E+01   0.670815E-02  -0.444599E+02
   142   0.409259E+04   0.111725E+01   0.681034E-02  -0.446896E+02
   143   0.412646E+04   0.111606E+01   0.691354E-02  -0.448989E+02
   144   0.416011E+04   0.111434E+01   0.701774E-02  -0.450869E+02
   145   0.419361E+04   0.111224E+01   0.712295E-02  -0.452531E+02
   146   0.422719E+04   0.110954E+01   0.722919E-02  -0.453973E+02
   147   0.426041E+04   0.110646E+01   0.733645E-02  -0.455182E+02
   148   0.429349E+04   0.110285E+01   0.744474E-02  -0.456172E+02
   149   0.432650E+04   0.109879E+01   0.755408E-02  -0.456928E+02
   150   0.435922E+04   0.109436E+01   0.766446E-02  -0.457430E+02
   151   0.439179E+04   0.108947E+01   0.777590E-02  -0.457706E+02
   152   0.442408E+04   0.108405E+01   0.788839E-02  -0.457741E+02
   153   0.445623E+04   0.107825E+01   0.800195E-02  -0.457514E+02
   154   0.448815E+04   0.107208E+01   0.811657E-02  -0.457046E+02
   155   0.451986E+04   0.106553E+01   0.823227E-02  -0.456330E+02
   156   0.455119E+04   0.105861E+01   0.834905E-02  -0.455365E+02
   157   0.458245E+04   0.105132E+01   0.846691E-02  -0.454138E+02
   158   0.461341E+04   0.104372E+01   0.858586E-02  -0.452655E+02
   159   0.464407E+04   0.103568E+01   0.870589E-02  -0.450915E+02
   160   0.467450E+04   0.102734E+01   0.882701E-02  -0.448905E+02
   161   0.470470E+04   0.101878E+01   0.894922E-02  -0.446639E+02
   162   0.473460E+04   0.100985E+01   0.907253E-02  -0.444117E+02
   163   0.476434E+04   0.100063E+01   0.919693E-02  -0.441323E+02
   164   0.479362E+04   0.991181E+00   0.932242E-02  -0.438273E+02
   165   0.482274E+04   0.981443E+00   0.944901E-02  -0.434944E+02
   166   0.485155E+04   0.971561E+00   0.957668E-02  -0.431351E+02
   167   0.488012E+04   0.961313E+00   0.970545E-02  -0.427501E+02
   168   0.490824E+04   0.951071E+00   0.983531E-02  -0.423373E+02
   169   0.493603E+04   0.940540E+00   0.996625E-02  -0.418965E+02
   170   0.496351E+04   0.929941E+00   0.100983E-01  -0.414293E+02
   171   0.499053E+04   0.919277E+00   0.102314E-01  -0.409333E+02
   172   0.501715E+04   0.908474E+00   0.103656E-01  -0.404102E+02
   173   0.504330E+04   0.897532E+00   0.105008E-01  -0.398599E+02
   174   0.506913E+04   0.886750E+00   0.106371E-01  -0.392824E+02
   175   0.509456E+04   0.875830E+00   0.107745E-01  -0.386769E+02
   176   0.511945E+04   0.864997E+00   0.109130E-01  -0.380434E+02
   177   0.514394E+04   0.854177E+00   0.110525E-01  -0.373834E+02
   178   0.516795E+04   0.843593E+00   0.111930E-01  -0.366955E+02
   179   0.519150E+04   0.832948E+00   0.113346E-01  -0.359796E+02
   180   0.521472E+04   0.822465E+00   0.114771E-01  -0.352372E+02
   181   0.523740E+04   0.812146E+00   0.116208E-01  -0.344684E+02
   182   0.525961E+04   0.802064E+00   0.117654E-01  -0.336717E+02
   183   0.528128E+04   0.792147E+00   0.119110E-01  -0.328485E+02
   184   0.530255E+04   0.782467E+00   0.120576E-01  -0.319982E+02
   185   0.532336E+04   0.773176E+00   0.122052E-01  -0.311230E+02
   186   0.534333E+04   0.764130E+00   0.123538E-01  -0.302198E+02
   187   0.536313E+04   0.755474E+00   0.125034E-01  -0.292903E+02
   188   0.538239E+04   0.747191E+00   0.126539E-01  -0.283358E+02
   189   0.540104E+04   0.739319E+00   0.128053E-01  -0.273550E+02
   190   0.541952E+04   0.731911E+00   0.129577E-01  -0.263500E+02
   191   0.543709E+04   0.724989E+00   0.131111E-01  -0.253179E+02
   192   0.545428E+04   0.718576E+00   0.132653E-01  -0.242610E+02
   193   0.547086E+04   0.712716E+00   0.134204E-01  -0.231807E+02
   194   0.548705E+04   0.707441E+00   0.135765E-01  -0.220748E+02
   195   0.550263E+04   0.702786E+00   0.137334E-01  -0.209455E+02
   196   0.551760E+04   0.698791E+00   0.138912E-01  -0.197921E+02
   197   0.553212E+04   0.695498E+00   0.140498E-01  -0.186162E+02
   198   0.554610E+04   0.692932E+00   0.142093E-01  -0.174169E+02
   199   0.555955E+04   0.691129E+00   0.143697E-01  -0.161950E+02
   200   0.557247E+04   0.690120E+00   0.145309E-01  -0.149513E+02
   201   0.558478E+04   0.689963E+00   0.146929E-01  -0.136850E+02
   202   0.559657E+04   0.690668E+00   0.148556E-01  -0.123977E+02
   203   0.560775E+04   0.692293E+00   0.150192E-01  -0.110886E+02
   204   0.561825E+04   0.694862E+00   0.151836E-01  -0.976070E+01
   205   0.562822E+04   0.698419E+00   0.153487E-01  -0.841177E+01
   206   0.563752E+04   0.703003E+00   0.155146E-01  -0.704312E+01
   207   0.564628E+04   0.708635E+00   0.156812E-01  -0.565519E+01
   208   0.565429E+04   0.715369E+00   0.158486E-01  -0.424854E+01
   209   0.566170E+04   0.723227E+00   0.160166E-01  -0.282354E+01
   210   0.566850E+04   0.732261E+00   0.161854E-01  -0.138110E+01
   211   0.567470E+04   0.742502E+00   0.163548E-01   0.786979E-01
   212   0.568014E+04   0.753979E+00   0.165250E-01   0.155490E+01
   213   0.568506E+04   0.766737E+00   0.166957E-01   0.304755E+01
   214   0.568930E+04   0.780770E+00   0.168672E-01   0.455541E+01
   215   0.569293E+04   0.796271E+00   0.170392E-01   0.607773E+01
   216   0.569589E+04   0.813054E+00   0.172119E-01   0.761501E+01
   217   0.569832E+04   0.831277E+00   0.173852E-01   0.916523E+01
   218   0.570007E+04   0.850938E+00   0.175590E-01   0.107286E+02
   219   0.570121E+04   0.872038E+00   0.177334E-01   0.123061E+02
   220   0.570175E+04   0.894727E+00   0.179084E-01   0.138932E+02
   221   0.570169E+04   0.918930E+00   0.180839E-01   0.154921E+02
   222   0.570103E+04   0.944796E+00   0.182599E-01   0.171014E+02
   223   0.569961E+04   0.972251E+00   0.184364E-01   0.187218E+02
   224   0.569774E+04   0.100130E+01   0.186134E-01   0.203495E+02
   225   0.569519E+04   0.103208E+01   0.187908E-01   0.219875E+02
   226   0.569204E+04   0.106460E+01   0.189687E-01   0.236321E+02
   227   0.568821E+04   0.109886E+01   0.191470E-01   0.252847E+02
   228   0.568385E+04   0.113486E+01   0.193257E-01   0.269439E+02
   229   0.567889E+04   0.117267E+01   0.195048E-01   0.286081E+02
   230   0.567325E+04   0.121229E+01   0.196842E-01   0.302781E+02
   231   0.566694E+04   0.125380E+01   0.198640E-01   0.319531E+02
   232   0.566009E+04   0.129713E+01   0.200441E-01   0.336316E+02
   233   0.565264E+04   0.134249E+01   0.202245E-01   0.353122E+02
   234   0.564445E+04   0.138974E+01   0.204051E-01   0.369955E+02
   235   0.563572E+04   0.143896E+01   0.205860E-01   0.386800E+02
   236   0.562631E+04   0.149013E+01   0.207672E-01   0.403658E+02
   237   0.561631E+04   0.154335E+01   0.209485E-01   0.420514E+02
   238   0.560570E+04   0.159867E+01   0.211300E-01   0.437367E+02
   239   0.559456E+04   0.165596E+01   0.213117E-01   0.454210E+02
   240   0.558268E+04   0.171529E+01   0.214935E-01   0.471020E+02
   241   0.557033E+04   0.177680E+01   0.216754E-01   0.487805E+02
   242   0.555739E+04   0.184036E+01   0.218574E-01   0.504557E+02
   243   0.554384E+04   0.190609E+01   0.220395E-01   0.521261E+02
   244   0.552970E+04   0.197394E+01   0.222215E-01   0.537925E+02
   245   0.551495E+04   0.204398E+01   0.224036E-01   0.554519E+02
   246   0.549967E+04   0.211621E+01   0.225857E-01   0.571057E+02
   247   0.548386E+04   0.219054E+01   0.227678E-01   0.587517E+02
   248   0.546746E+04   0.226736E+01   0.229498E-01   0.603900E+02
   249   0.545060E+04   0.234615E+01   0.231317E-01   0.620197E+02
   250   0.543313E+04   0.242734E+01   0.233135E-01   0.636393E+02
   251   0.541522E+04   0.251065E+01   0.234951E-01   0.652497E+02
   252   0.539663E+04   0.259630E+01   0.236767E-01   0.668492E+02
   253   0.537773E+04   0.268405E+01   0.238580E-01   0.684364E+02
   254   0.535824E+04   0.277421E+01   0.240391E-01   0.700114E+02
   255   0.533821E+04   0.286649E+01   0.242200E-01   0.715740E+02
   256   0.531774E+04   0.296124E+01   0.244007E-01   0.731243E+02
   257   0.529681E+04   0.305802E+01   0.245811E-01   0.746542E+02
   258   0.527536E+04   0.315721E+01   0.247612E-01   0.761761E+02
   259   0.525346E+04   0.325865E+01   0.249410E-01   0.776754E+02
   260   0.523118E+04   0.336234E+01   0.251205E-01   0.791668E+02
   261   0.520837E+04   0.346821E+01   0.252996E-01   0.806280E+02
   262   0.518504E+04   0.357648E+01   0.254783E-01   0.820813E+02
   263   0.516156E+04   0.368692E+01   0.256567E-01   0.835193E+02
   264   0.513748E+04   0.379962E+01   0.258347E-01   0.849345E+02
   265   0.511288E+04   0.391448E+01   0.260122E-01   0.863196E+02
   266   0.508797E+04   0.403175E+01   0.261893E-01   0.876967E+02
   267   0.506254E+04   0.415103E+01   0.263660E-01   0.890437E+02
   268   0.503674E+04   0.427271E+01   0.265421E-01   0.903753E+02
   269   0.501041E+04   0.439648E+01   0.267178E-01   0.916841E+02
   270   0.498386E+04   0.452243E+01   0.268930E-01   0.929702E+02
   271   0.495686E+04   0.465046E+01   0.270677E-01   0.942335E+02
   272   0.492963E+04   0.478089E+01   0.272418E-01   0.954665E+02
   273   0.490195E+04   0.491311E+01   0.274154E-01   0.966842E+02
   274   0.487398E+04   0.504772E+01   0.275884E-01   0.978643E+02
   275   0.484563E+04   0.518419E+01   0.277609E-01   0.990290E+02
   276   0.481706E+04   0.532275E+01   0.279328E-01   0.100156E+03
   277   0.478804E+04   0.546341E+01   0.281041E-01   0.101268E+03
   278   0.475879E+04   0.560607E+01   0.282748E-01   0.102342E+03
   279   0.472925E+04   0.575068E+01   0.284449E-01   0.103385E+03
   280   0.469941E+04   0.589722E+01   0.286143E-01   0.104414E+03
   281   0.466942E+04   0.604577E+01   0.287831E-01   0.105405E+03
   282   0.463898E+04   0.619603E+01   0.289513E-01   0.106365E+03
   283   0.460839E+04   0.634823E+01   0.291189E-01   0.107295E+03
   284   0.457758E+04   0.650229E+01   0.292857E-01   0.108195E+03
   285   0.454655E+04   0.665820E+01   0.294520E-01   0.109065E+03
   286   0.451522E+04   0.681583E+01   0.296175E-01   0.109897E+03
   287   0.448366E+04   0.697517E+01   0.297824E-01   0.110706E+03
   288   0.445196E+04   0.713621E+01   0.299465E-01   0.111478E+03
   289   0.442003E+04   0.729889E+01   0.301100E-01   0.112219E+03
   290   0.438796E+04   0.746305E+01   0.302728E-01   0.112930E+03
   291   0.435574E+04   0.762944E+01   0.304349E-01   0.113596E+03
   292   0.432307E+04   0.779694E+01   0.305963E-01   0.114239E+03
   293   0.429055E+04   0.796518E+01   0.307569E-01   0.114837E+03
   294   0.425774E+04   0.813565E+01   0.309168E-01   0.115413E+03
   295   0.422500E+04   0.830685E+01   0.310760E-01   0.115943E+03
   296   0.419196E+04   0.848028E+01   0.312345E-01   0.116442E+03
   297   0.415886E+04   0.865370E+01   0.313922E-01   0.116912E+03
   298   0.412553E+04   0.882934E+01   0.315492E-01   0.117336E+03
   299   0.409220E+04   0.900647E+01   0.317055E-01   0.117723E+03
   300   0.405872E+04   0.918359E+01   0.318610E-01   0.118072E+03
   301   0.402518E+04   0.936219E+01   0.320157E-01   0.118391E+03
   302   0.399163E+04   0.954152E+01   0.321697E-01   0.118679E+03
   303   0.395801E+04   0.972232E+01   0.323229E-01   0.118922E+03
   304   0.392433E+04   0.990460E+01   0.324754E-01   0.119121E+03
   305   0.389064E+04   0.100869E+02   0.326271E-01   0.119289E+03
   306   0.385688E+04   0.102699E+02   0.327781E-01   0.119419E+03
   307   0.382312E+04   0.104536E+02   0.329283E-01   0.119504E+03
   308   0.378937E+04   0.106395E+02   0.330777E-01   0.119567E+03
   309   0.375569E+04   0.108247E+02   0.332263E-01   0.119577E+03
   310   0.372195E+04   0.110098E+02   0.333742E-01   0.119557E+03
   311   0.368828E+04   0.111972E+02   0.335214E-01   0.119492E+03
   312   0.365469E+04   0.113838E+02   0.336677E-01   0.119397E+03
   313   0.362110E+04   0.115711E+02   0.338133E-01   0.119257E+03
   314   0.358759E+04   0.117591E+02   0.339581E-01   0.119086E+03
   315   0.355416E+04   0.119463E+02   0.341022E-01   0.118871E+03
   316   0.352080E+04   0.121343E+02   0.342455E-01   0.118618E+03
