#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.133149E+04   0.159003E+01   0.957285E-03   0.159003E+01   0.744730E-01  -0.937640E-06   0.957285E-03  -0.937640E-06   0.146695E-06
    44   0.135090E+04   0.148105E+01   0.936700E-03   0.148105E+01   0.803292E-01  -0.786892E-06   0.936700E-03  -0.786892E-06   0.146319E-06
    45   0.137068E+04   0.136363E+01   0.916897E-03   0.136363E+01   0.865043E-01  -0.630068E-06   0.916897E-03  -0.630068E-06   0.145913E-06
    46   0.139076E+04   0.123630E+01   0.897820E-03   0.123630E+01   0.930057E-01  -0.475118E-06   0.897820E-03  -0.475118E-06   0.145481E-06
    47   0.141100E+04   0.109799E+01   0.879417E-03   0.109799E+01   0.998126E-01  -0.329993E-06   0.879417E-03  -0.329993E-06   0.145022E-06
    48   0.143132E+04   0.950332E+00   0.861635E-03   0.950332E+00   0.106904E+00  -0.202645E-06   0.861635E-03  -0.202645E-06   0.144540E-06
    49   0.145179E+04   0.794397E+00   0.844420E-03   0.794397E+00   0.114238E+00  -0.101025E-06   0.844420E-03  -0.101025E-06   0.144036E-06
    50   0.147264E+04   0.624461E+00   0.827719E-03   0.624461E+00   0.121763E+00  -0.330830E-07   0.827719E-03  -0.330830E-07   0.143512E-06
    51   0.149363E+04   0.434292E+00   0.811485E-03   0.434292E+00   0.129435E+00  -0.428505E-08   0.811485E-03  -0.428505E-08   0.142970E-06
    52   0.151500E+04   0.221249E+00   0.795706E-03   0.221249E+00   0.137366E+00  -0.101538E-07   0.795706E-03  -0.101538E-07   0.142411E-06
    53   0.153638E+04  -0.145629E-01   0.780375E-03  -0.145629E-01   0.145740E+00  -0.437266E-07   0.780375E-03  -0.437266E-07   0.141836E-06
    54   0.155769E+04  -0.265070E+00   0.765484E-03  -0.265070E+00   0.154584E+00  -0.980404E-07   0.765484E-03  -0.980404E-07   0.141246E-06
    55   0.157916E+04  -0.522083E+00   0.751027E-03  -0.522083E+00   0.163913E+00  -0.166133E-06   0.751027E-03  -0.166133E-06   0.140642E-06
    56   0.160102E+04  -0.784553E+00   0.736999E-03  -0.784553E+00   0.173607E+00  -0.241040E-06   0.736999E-03  -0.241040E-06   0.140024E-06
    57   0.162319E+04  -0.105369E+01   0.723392E-03  -0.105369E+01   0.183530E+00  -0.315801E-06   0.723392E-03  -0.315801E-06   0.139395E-06
    58   0.164567E+04  -0.133252E+01   0.710200E-03  -0.133252E+01   0.193652E+00  -0.383451E-06   0.710200E-03  -0.383451E-06   0.138753E-06
    59   0.166832E+04  -0.162406E+01   0.697417E-03  -0.162406E+01   0.203970E+00  -0.437029E-06   0.697417E-03  -0.437029E-06   0.138101E-06
    60   0.169115E+04  -0.192991E+01   0.685035E-03  -0.192991E+01   0.214499E+00  -0.469570E-06   0.685035E-03  -0.469570E-06   0.137440E-06
    61   0.171444E+04  -0.225110E+01   0.673046E-03  -0.225110E+01   0.225306E+00  -0.476200E-06   0.673046E-03  -0.476200E-06   0.136769E-06
    62   0.173761E+04  -0.258867E+01   0.661429E-03  -0.258867E+01   0.236399E+00  -0.460383E-06   0.661429E-03  -0.460383E-06   0.136091E-06
