#    L    TT             EE             BB             TE          
     2   0.107696E+04   0.466585E-01   0.183527E-05   0.323326E+01
     3   0.101757E+04   0.744901E-01   0.367111E-05   0.398132E+01
     4   0.958655E+03   0.820340E-01   0.611980E-05   0.404799E+01
     5   0.912592E+03   0.713465E-01   0.918210E-05   0.371753E+01
     6   0.879245E+03   0.517505E-01   0.128589E-04   0.322203E+01
     7   0.856650E+03   0.324413E-01   0.171514E-04   0.268764E+01
     8   0.842004E+03   0.185666E-01   0.220608E-04   0.217833E+01
     9   0.833461E+03   0.108931E-01   0.275886E-04   0.174779E+01
    10   0.829644E+03   0.762694E-02   0.337363E-04   0.142376E+01
    11   0.829274E+03   0.649729E-02   0.405055E-04   0.120827E+01
    12   0.832424E+03   0.597367E-02   0.478981E-04   0.109068E+01
    13   0.837356E+03   0.558584E-02   0.559161E-04   0.104869E+01
    14   0.843386E+03   0.508453E-02   0.645613E-04   0.106323E+01
    15   0.850858E+03   0.463100E-02   0.738358E-04   0.111515E+01
    16   0.860127E+03   0.447132E-02   0.837417E-04   0.118634E+01
    17   0.870946E+03   0.474105E-02   0.942812E-04   0.126172E+01
    18   0.882269E+03   0.530843E-02   0.105456E-03   0.133072E+01
    19   0.895201E+03   0.593126E-02   0.117269E-03   0.139093E+01
    20   0.908323E+03   0.645347E-02   0.129722E-03   0.144011E+01
    21   0.921790E+03   0.689878E-02   0.142817E-03   0.148198E+01
    22   0.935678E+03   0.740435E-02   0.156557E-03   0.151823E+01
    23   0.949778E+03   0.813666E-02   0.170942E-03   0.155207E+01
    24   0.964181E+03   0.920574E-02   0.185975E-03   0.158708E+01
    25   0.978902E+03   0.106295E-01   0.201659E-03   0.162594E+01
    26   0.993807E+03   0.123575E-01   0.217993E-03   0.167171E+01
    27   0.100906E+04   0.143223E-01   0.234981E-03   0.172264E+01
    28   0.102446E+04   0.164876E-01   0.252624E-03   0.177687E+01
    29   0.104016E+04   0.188445E-01   0.270922E-03   0.183196E+01
    30   0.105618E+04   0.213990E-01   0.289878E-03   0.188379E+01
