#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104501E-04   0.198309E+08   0.198309E+08   0.264274E+08   0.264270E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198387E+08  -0.471825E+00   0.103990E+08   0.103990E+08   0.136423E+01
   0.127095E-04   0.198309E+08   0.198309E+08   0.264207E+08   0.264202E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198386E+08  -0.471824E+00   0.103990E+08   0.103990E+08   0.165902E+01
   0.154573E-04   0.198309E+08   0.198309E+08   0.264109E+08   0.264102E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198386E+08  -0.471824E+00   0.103990E+08   0.103990E+08   0.201744E+01
   0.187992E-04   0.198308E+08   0.198308E+08   0.263963E+08   0.263953E+08   0.000000E+00   0.198308E+08   0.198308E+08   0.198386E+08  -0.471823E+00   0.103989E+08   0.103989E+08   0.245312E+01
   0.228637E-04   0.198308E+08   0.198308E+08   0.263749E+08   0.263734E+08   0.000000E+00   0.198308E+08   0.198308E+08   0.198385E+08  -0.471822E+00   0.103989E+08   0.103989E+08   0.298261E+01
   0.278068E-04   0.198307E+08   0.198307E+08   0.263431E+08   0.263409E+08   0.000000E+00   0.198307E+08   0.198307E+08   0.198385E+08  -0.471820E+00   0.103989E+08   0.103989E+08   0.362586E+01
   0.338188E-04   0.198306E+08   0.198306E+08   0.262962E+08   0.262929E+08   0.000000E+00   0.198306E+08   0.198306E+08   0.198384E+08  -0.471817E+00   0.103988E+08   0.103988E+08   0.440693E+01
   0.411305E-04   0.198305E+08   0.198305E+08   0.262270E+08   0.262221E+08   0.000000E+00   0.198305E+08   0.198305E+08   0.198382E+08  -0.471813E+00   0.103988E+08   0.103988E+08   0.535458E+01
   0.500230E-04   0.198303E+08   0.198303E+08   0.261249E+08   0.261177E+08   0.000000E+00   0.198303E+08   0.198303E+08   0.198380E+08  -0.471807E+00   0.103987E+08   0.103987E+08   0.650302E+01
   0.608381E-04   0.198300E+08   0.198300E+08   0.259745E+08   0.259640E+08   0.000000E+00   0.198300E+08   0.198300E+08   0.198376E+08  -0.471798E+00   0.103985E+08   0.103985E+08   0.789243E+01
   0.739915E-04   0.198296E+08   0.198296E+08   0.257536E+08   0.257381E+08   0.000000E+00   0.198296E+08   0.198296E+08   0.198371E+08  -0.471784E+00   0.103983E+08   0.103983E+08   0.956910E+01
   0.899887E-04   0.198289E+08   0.198289E+08   0.254300E+08   0.254073E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198364E+08  -0.471765E+00   0.103979E+08   0.103979E+08   0.115848E+02
   0.109444E-03   0.198280E+08   0.198279E+08   0.249582E+08   0.249252E+08   0.000000E+00   0.198280E+08   0.198280E+08   0.198353E+08  -0.471736E+00   0.103974E+08   0.103974E+08   0.139946E+02
   0.133107E-03   0.198266E+08   0.198265E+08   0.242750E+08   0.242273E+08   0.000000E+00   0.198266E+08   0.198266E+08   0.198337E+08  -0.471694E+00   0.103967E+08   0.103967E+08   0.168514E+02
   0.161885E-03   0.198245E+08   0.198244E+08   0.232962E+08   0.232278E+08   0.000000E+00   0.198245E+08   0.198245E+08   0.198313E+08  -0.471632E+00   0.103956E+08   0.103956E+08   0.201959E+02
   0.196885E-03   0.198214E+08   0.198214E+08   0.219149E+08   0.218187E+08   0.000000E+00   0.198214E+08   0.198214E+08   0.198279E+08  -0.471541E+00   0.103939E+08   0.103939E+08   0.240376E+02
   0.239452E-03   0.198170E+08   0.198169E+08   0.200105E+08   0.198781E+08   0.000000E+00   0.198170E+08   0.198170E+08   0.198228E+08  -0.471409E+00   0.103916E+08   0.103915E+08   0.283237E+02
   0.291222E-03   0.198105E+08   0.198103E+08   0.174742E+08   0.172986E+08   0.000000E+00   0.198104E+08   0.198104E+08   0.198155E+08  -0.471219E+00   0.103881E+08   0.103881E+08   0.328930E+02
   0.354185E-03   0.198010E+08   0.198007E+08   0.142699E+08   0.140497E+08   0.000000E+00   0.198010E+08   0.198010E+08   0.198051E+08  -0.470948E+00   0.103830E+08   0.103830E+08   0.374168E+02
   0.430761E-03   0.197874E+08   0.197870E+08   0.105374E+08   0.102842E+08   0.000000E+00   0.197873E+08   0.197873E+08   0.197904E+08  -0.470567E+00   0.103758E+08   0.103757E+08   0.413516E+02
   0.523892E-03   0.197679E+08   0.197674E+08   0.671131E+07   0.645834E+07   0.000000E+00   0.197679E+08   0.197679E+08   0.197698E+08  -0.470041E+00   0.103654E+08   0.103653E+08   0.439603E+02
   0.637159E-03   0.197406E+08   0.197400E+08   0.352704E+07   0.332986E+07   0.000000E+00   0.197405E+08   0.197405E+08   0.197416E+08  -0.469328E+00   0.103508E+08   0.103508E+08   0.444994E+02
   0.774915E-03   0.197029E+08   0.197020E+08   0.167337E+07   0.158427E+07   0.000000E+00   0.197027E+08   0.197027E+08   0.197032E+08  -0.468379E+00   0.103307E+08   0.103306E+08   0.426188E+02
   0.942454E-03   0.196515E+08   0.196505E+08   0.106914E+07   0.108380E+07   0.000000E+00   0.196513E+08   0.196513E+08   0.196517E+08  -0.467126E+00   0.103035E+08   0.103034E+08   0.387277E+02
   0.114621E-02   0.195827E+08   0.195815E+08   0.726199E+06   0.768143E+06   0.000000E+00   0.195825E+08   0.195825E+08   0.195827E+08  -0.465474E+00   0.102671E+08   0.102670E+08   0.337178E+02
   0.139403E-02   0.194916E+08   0.194903E+08   0.259908E+06   0.283414E+06   0.000000E+00   0.194914E+08   0.194914E+08   0.194915E+08  -0.463297E+00   0.102192E+08   0.102190E+08   0.281565E+02
   0.169542E-02   0.193725E+08   0.193711E+08   0.159728E+06  -0.168798E+06   0.000000E+00   0.193723E+08   0.193723E+08   0.193723E+08  -0.460456E+00   0.101566E+08   0.101565E+08   0.226123E+02
   0.206198E-02   0.192184E+08   0.192169E+08   0.331896E+04  -0.113190E+06   0.000000E+00   0.192181E+08   0.192181E+08   0.192181E+08  -0.456789E+00   0.100757E+08   0.100756E+08   0.180399E+02
   0.250778E-02   0.190212E+08   0.190195E+08   0.302359E+04  -0.757298E+05   0.000000E+00   0.190209E+08   0.190209E+08   0.190209E+08  -0.452098E+00   0.997220E+07   0.997209E+07   0.146158E+02
   0.304997E-02   0.187718E+08   0.187698E+08   0.130084E+03  -0.505229E+05   0.000000E+00   0.187715E+08   0.187715E+08   0.187715E+08  -0.446167E+00   0.984138E+07   0.984126E+07   0.120126E+02
   0.370939E-02   0.184603E+08   0.184578E+08  -0.122837E+05  -0.335881E+05   0.000000E+00   0.184599E+08   0.184599E+08   0.184599E+08  -0.438761E+00   0.967801E+07   0.967790E+07   0.977741E+01
   0.451137E-02   0.180761E+08   0.180730E+08  -0.144516E+05  -0.222342E+05   0.000000E+00   0.180757E+08   0.180757E+08   0.180756E+08  -0.429627E+00   0.947652E+07   0.947642E+07   0.795132E+01
   0.548674E-02   0.176082E+08   0.176042E+08  -0.118309E+05  -0.146422E+05   0.000000E+00   0.176076E+08   0.176076E+08   0.176076E+08  -0.418502E+00   0.923113E+07   0.923103E+07   0.648497E+01
   0.667298E-02   0.170454E+08   0.170400E+08  -0.104233E+05  -0.958241E+04   0.000000E+00   0.170446E+08   0.170446E+08   0.170446E+08  -0.405120E+00   0.893596E+07   0.893585E+07   0.526741E+01
   0.811570E-02   0.163765E+08   0.163691E+08  -0.552695E+04  -0.622389E+04   0.000000E+00   0.163753E+08   0.163753E+08   0.163753E+08  -0.389213E+00   0.858507E+07   0.858496E+07   0.429073E+01
   0.987034E-02   0.155919E+08   0.155819E+08   0.192779E+04  -0.400605E+04   0.000000E+00   0.155904E+08   0.155904E+08   0.155904E+08  -0.370556E+00   0.817354E+07   0.817344E+07   0.351482E+01
   0.120043E-01   0.146778E+08   0.146641E+08  -0.219611E+04  -0.254944E+04   0.000000E+00   0.146756E+08   0.146756E+08   0.146756E+08  -0.348814E+00   0.769398E+07   0.769388E+07   0.289244E+01
   0.145997E-01   0.136317E+08   0.136132E+08   0.349712E+03  -0.160066E+04   0.000000E+00   0.136289E+08   0.136289E+08   0.136289E+08  -0.323934E+00   0.714520E+07   0.714509E+07   0.240079E+01
   0.177562E-01   0.124403E+08   0.124156E+08  -0.105194E+04  -0.987484E+03   0.000000E+00   0.124365E+08   0.124365E+08   0.124365E+08  -0.295594E+00   0.652008E+07   0.651998E+07   0.200569E+01
   0.215952E-01   0.111167E+08   0.110849E+08  -0.855075E+02  -0.596503E+03   0.000000E+00   0.111118E+08   0.111118E+08   0.111118E+08  -0.264108E+00   0.582560E+07   0.582549E+07   0.167869E+01
   0.259142E-01   0.978498E+07   0.974661E+07   0.333883E+02  -0.364562E+03   0.000000E+00   0.977904E+07   0.977904E+07   0.977904E+07  -0.232430E+00   0.512688E+07   0.512677E+07   0.140750E+01
   0.302332E-01   0.862532E+07   0.858260E+07  -0.788360E+02  -0.236065E+03   0.000000E+00   0.861871E+07   0.861871E+07   0.861871E+07  -0.204851E+00   0.451856E+07   0.451845E+07   0.118551E+01
   0.345522E-01   0.763946E+07   0.759506E+07  -0.246435E+02  -0.160061E+03   0.000000E+00   0.763260E+07   0.763260E+07   0.763260E+07  -0.181413E+00   0.400157E+07   0.400147E+07   0.989935E+00
   0.388713E-01   0.682235E+07   0.677890E+07  -0.191570E+02  -0.112932E+03   0.000000E+00   0.681563E+07   0.681563E+07   0.681563E+07  -0.161995E+00   0.357326E+07   0.357317E+07   0.813341E+00
   0.431903E-01   0.616044E+07   0.612020E+07  -0.191889E+02  -0.825976E+02   0.000000E+00   0.615421E+07   0.615421E+07   0.615421E+07  -0.146275E+00   0.322650E+07   0.322641E+07   0.655154E+00
   0.475093E-01   0.563079E+07   0.559536E+07   0.124450E+03  -0.623952E+02   0.000000E+00   0.562531E+07   0.562531E+07   0.562531E+07  -0.133704E+00   0.294920E+07   0.294913E+07   0.517310E+00
   0.518284E-01   0.521331E+07   0.518347E+07   0.968287E+02  -0.485454E+02   0.000000E+00   0.520869E+07   0.520869E+07   0.520869E+07  -0.123801E+00   0.273078E+07   0.273071E+07   0.402132E+00
