#    L    TT             EE             BB             TE          
     2   0.107696E+04   0.466585E-01   0.184093E-05   0.323326E+01
     3   0.101757E+04   0.744901E-01   0.368245E-05   0.398132E+01
     4   0.958653E+03   0.820340E-01   0.613869E-05   0.404799E+01
     5   0.912590E+03   0.713465E-01   0.921043E-05   0.371753E+01
     6   0.879241E+03   0.517505E-01   0.128986E-04   0.322203E+01
     7   0.856645E+03   0.324413E-01   0.172043E-04   0.268764E+01
     8   0.841998E+03   0.185667E-01   0.221288E-04   0.217833E+01
     9   0.833453E+03   0.108931E-01   0.276735E-04   0.174779E+01
    10   0.829635E+03   0.762704E-02   0.338401E-04   0.142377E+01
    11   0.829264E+03   0.649741E-02   0.406301E-04   0.120827E+01
    12   0.832411E+03   0.597382E-02   0.480453E-04   0.109068E+01
    13   0.837341E+03   0.558601E-02   0.560877E-04   0.104869E+01
    14   0.843370E+03   0.508471E-02   0.647593E-04   0.106323E+01
    15   0.850838E+03   0.463121E-02   0.740620E-04   0.111515E+01
    16   0.860105E+03   0.447155E-02   0.839981E-04   0.118634E+01
    17   0.870922E+03   0.474131E-02   0.945695E-04   0.126172E+01
    18   0.882242E+03   0.530872E-02   0.105779E-03   0.133072E+01
    19   0.895171E+03   0.593157E-02   0.117627E-03   0.139093E+01
    20   0.908289E+03   0.645382E-02   0.130118E-03   0.144011E+01
    21   0.921754E+03   0.689916E-02   0.143252E-03   0.148198E+01
    22   0.935638E+03   0.740475E-02   0.157033E-03   0.151824E+01
    23   0.949735E+03   0.813709E-02   0.171462E-03   0.155208E+01
    24   0.964134E+03   0.920619E-02   0.186540E-03   0.158708E+01
    25   0.978850E+03   0.106300E-01   0.202270E-03   0.162594E+01
    26   0.993752E+03   0.123580E-01   0.218654E-03   0.167172E+01
    27   0.100900E+04   0.143228E-01   0.235693E-03   0.172265E+01
    28   0.102439E+04   0.164881E-01   0.253388E-03   0.177688E+01
    29   0.104009E+04   0.188450E-01   0.271741E-03   0.183198E+01
    30   0.105611E+04   0.213995E-01   0.290753E-03   0.188381E+01
    31   0.107224E+04   0.241508E-01   0.310425E-03   0.192850E+01
    32   0.108863E+04   0.270828E-01   0.330758E-03   0.196298E+01
    33   0.110535E+04   0.301674E-01   0.351752E-03   0.198415E+01
    34   0.112232E+04   0.333905E-01   0.373409E-03   0.199018E+01
    35   0.113954E+04   0.367590E-01   0.395728E-03   0.198147E+01
    36   0.115693E+04   0.402981E-01   0.418710E-03   0.195826E+01
    37   0.117442E+04   0.440540E-01   0.442354E-03   0.192185E+01
    38   0.119222E+04   0.480735E-01   0.466661E-03   0.187546E+01
