#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104501E-04   0.198309E+08   0.198309E+08   0.264274E+08   0.264270E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198387E+08  -0.471825E+00   0.103990E+08   0.103990E+08   0.139310E+01
   0.127095E-04   0.198309E+08   0.198309E+08   0.264207E+08   0.264202E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198386E+08  -0.471824E+00   0.103990E+08   0.103990E+08   0.169414E+01
   0.154573E-04   0.198309E+08   0.198309E+08   0.264109E+08   0.264102E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198386E+08  -0.471824E+00   0.103990E+08   0.103990E+08   0.206013E+01
   0.187992E-04   0.198308E+08   0.198308E+08   0.263963E+08   0.263953E+08   0.000000E+00   0.198308E+08   0.198308E+08   0.198386E+08  -0.471823E+00   0.103989E+08   0.103989E+08   0.250504E+01
   0.228637E-04   0.198308E+08   0.198308E+08   0.263749E+08   0.263734E+08   0.000000E+00   0.198308E+08   0.198308E+08   0.198385E+08  -0.471822E+00   0.103989E+08   0.103989E+08   0.304573E+01
   0.278068E-04   0.198307E+08   0.198307E+08   0.263431E+08   0.263409E+08   0.000000E+00   0.198307E+08   0.198307E+08   0.198385E+08  -0.471820E+00   0.103989E+08   0.103989E+08   0.370260E+01
   0.338188E-04   0.198306E+08   0.198306E+08   0.262962E+08   0.262929E+08   0.000000E+00   0.198306E+08   0.198306E+08   0.198384E+08  -0.471817E+00   0.103988E+08   0.103988E+08   0.450020E+01
   0.411305E-04   0.198305E+08   0.198305E+08   0.262270E+08   0.262221E+08   0.000000E+00   0.198305E+08   0.198305E+08   0.198382E+08  -0.471813E+00   0.103988E+08   0.103988E+08   0.546791E+01
   0.500230E-04   0.198303E+08   0.198303E+08   0.261249E+08   0.261177E+08   0.000000E+00   0.198303E+08   0.198303E+08   0.198380E+08  -0.471807E+00   0.103987E+08   0.103987E+08   0.664066E+01
   0.608381E-04   0.198300E+08   0.198300E+08   0.259745E+08   0.259640E+08   0.000000E+00   0.198300E+08   0.198300E+08   0.198376E+08  -0.471798E+00   0.103985E+08   0.103985E+08   0.805948E+01
   0.739915E-04   0.198296E+08   0.198296E+08   0.257536E+08   0.257381E+08   0.000000E+00   0.198296E+08   0.198296E+08   0.198371E+08  -0.471784E+00   0.103983E+08   0.103983E+08   0.977165E+01
   0.899887E-04   0.198289E+08   0.198289E+08   0.254300E+08   0.254073E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198364E+08  -0.471765E+00   0.103979E+08   0.103979E+08   0.118300E+02
   0.109444E-03   0.198280E+08   0.198279E+08   0.249582E+08   0.249252E+08   0.000000E+00   0.198280E+08   0.198280E+08   0.198353E+08  -0.471736E+00   0.103974E+08   0.103974E+08   0.142908E+02
   0.133107E-03   0.198266E+08   0.198265E+08   0.242750E+08   0.242273E+08   0.000000E+00   0.198266E+08   0.198266E+08   0.198337E+08  -0.471694E+00   0.103967E+08   0.103967E+08   0.172082E+02
   0.161885E-03   0.198245E+08   0.198244E+08   0.232962E+08   0.232278E+08   0.000000E+00   0.198245E+08   0.198245E+08   0.198313E+08  -0.471632E+00   0.103956E+08   0.103956E+08   0.206236E+02
   0.196885E-03   0.198214E+08   0.198214E+08   0.219149E+08   0.218187E+08   0.000000E+00   0.198214E+08   0.198214E+08   0.198279E+08  -0.471541E+00   0.103939E+08   0.103939E+08   0.245468E+02
   0.239452E-03   0.198170E+08   0.198169E+08   0.200105E+08   0.198781E+08   0.000000E+00   0.198170E+08   0.198170E+08   0.198228E+08  -0.471409E+00   0.103916E+08   0.103915E+08   0.289239E+02
   0.291222E-03   0.198105E+08   0.198103E+08   0.174742E+08   0.172986E+08   0.000000E+00   0.198104E+08   0.198104E+08   0.198155E+08  -0.471219E+00   0.103881E+08   0.103881E+08   0.335902E+02
   0.354185E-03   0.198010E+08   0.198007E+08   0.142699E+08   0.140497E+08   0.000000E+00   0.198010E+08   0.198010E+08   0.198051E+08  -0.470948E+00   0.103830E+08   0.103830E+08   0.382099E+02
   0.430761E-03   0.197874E+08   0.197870E+08   0.105374E+08   0.102842E+08   0.000000E+00   0.197873E+08   0.197873E+08   0.197904E+08  -0.470567E+00   0.103758E+08   0.103757E+08   0.422277E+02
   0.523892E-03   0.197679E+08   0.197674E+08   0.671131E+07   0.645834E+07   0.000000E+00   0.197679E+08   0.197679E+08   0.197698E+08  -0.470041E+00   0.103654E+08   0.103653E+08   0.448895E+02
   0.637159E-03   0.197406E+08   0.197400E+08   0.352704E+07   0.332986E+07   0.000000E+00   0.197405E+08   0.197405E+08   0.197416E+08  -0.469328E+00   0.103508E+08   0.103508E+08   0.454341E+02
   0.774915E-03   0.197029E+08   0.197020E+08   0.167337E+07   0.158427E+07   0.000000E+00   0.197027E+08   0.197027E+08   0.197032E+08  -0.468379E+00   0.103307E+08   0.103306E+08   0.435022E+02
   0.942454E-03   0.196515E+08   0.196504E+08   0.106914E+07   0.108380E+07   0.000000E+00   0.196513E+08   0.196513E+08   0.196517E+08  -0.467126E+00   0.103035E+08   0.103034E+08   0.395125E+02
   0.114621E-02   0.195827E+08   0.195814E+08   0.726199E+06   0.768143E+06   0.000000E+00   0.195825E+08   0.195825E+08   0.195827E+08  -0.465474E+00   0.102671E+08   0.102670E+08   0.343841E+02
   0.139403E-02   0.194916E+08   0.194903E+08   0.259908E+06   0.283414E+06   0.000000E+00   0.194914E+08   0.194914E+08   0.194915E+08  -0.463297E+00   0.102192E+08   0.102190E+08   0.287062E+02
   0.169542E-02   0.193725E+08   0.193711E+08   0.159728E+06  -0.168798E+06   0.000000E+00   0.193723E+08   0.193723E+08   0.193723E+08  -0.460456E+00   0.101566E+08   0.101565E+08   0.230544E+02
   0.206198E-02   0.192184E+08   0.192169E+08   0.331899E+04  -0.113190E+06   0.000000E+00   0.192181E+08   0.192181E+08   0.192181E+08  -0.456789E+00   0.100757E+08   0.100756E+08   0.183944E+02
   0.250778E-02   0.190212E+08   0.190195E+08   0.302360E+04  -0.757298E+05   0.000000E+00   0.190209E+08   0.190209E+08   0.190209E+08  -0.452098E+00   0.997220E+07   0.997208E+07   0.149038E+02
   0.304997E-02   0.187718E+08   0.187697E+08   0.130077E+03  -0.505229E+05   0.000000E+00   0.187715E+08   0.187715E+08   0.187715E+08  -0.446167E+00   0.984138E+07   0.984126E+07   0.122481E+02
   0.370939E-02   0.184603E+08   0.184578E+08  -0.122837E+05  -0.335881E+05   0.000000E+00   0.184599E+08   0.184599E+08   0.184599E+08  -0.438761E+00   0.967801E+07   0.967790E+07   0.996841E+01
   0.451137E-02   0.180761E+08   0.180730E+08  -0.144516E+05  -0.222342E+05   0.000000E+00   0.180757E+08   0.180757E+08   0.180756E+08  -0.429627E+00   0.947652E+07   0.947641E+07   0.810605E+01
   0.548674E-02   0.176083E+08   0.176042E+08  -0.118309E+05  -0.146422E+05   0.000000E+00   0.176076E+08   0.176076E+08   0.176076E+08  -0.418503E+00   0.923113E+07   0.923102E+07   0.661021E+01
   0.667298E-02   0.170455E+08   0.170400E+08  -0.104233E+05  -0.958241E+04   0.000000E+00   0.170446E+08   0.170446E+08   0.170446E+08  -0.405120E+00   0.893596E+07   0.893585E+07   0.536829E+01
   0.811570E-02   0.163765E+08   0.163691E+08  -0.552695E+04  -0.622390E+04   0.000000E+00   0.163753E+08   0.163753E+08   0.163753E+08  -0.389213E+00   0.858507E+07   0.858496E+07   0.437192E+01
   0.987034E-02   0.155919E+08   0.155819E+08   0.192779E+04  -0.400605E+04   0.000000E+00   0.155904E+08   0.155904E+08   0.155904E+08  -0.370556E+00   0.817354E+07   0.817344E+07   0.358019E+01
   0.120043E-01   0.146778E+08   0.146641E+08  -0.219611E+04  -0.254944E+04   0.000000E+00   0.146757E+08   0.146757E+08   0.146757E+08  -0.348814E+00   0.769399E+07   0.769388E+07   0.294504E+01
   0.145997E-01   0.136318E+08   0.136132E+08   0.349708E+03  -0.160066E+04   0.000000E+00   0.136289E+08   0.136289E+08   0.136289E+08  -0.323934E+00   0.714520E+07   0.714510E+07   0.244319E+01
   0.177562E-01   0.124404E+08   0.124156E+08  -0.105194E+04  -0.987486E+03   0.000000E+00   0.124365E+08   0.124365E+08   0.124365E+08  -0.295594E+00   0.652010E+07   0.651999E+07   0.203989E+01
   0.215952E-01   0.111168E+08   0.110850E+08  -0.855085E+02  -0.596504E+03   0.000000E+00   0.111118E+08   0.111118E+08   0.111118E+08  -0.264109E+00   0.582562E+07   0.582551E+07   0.170621E+01
   0.259142E-01   0.978504E+07   0.974664E+07   0.333836E+02  -0.364564E+03   0.000000E+00   0.977910E+07   0.977910E+07   0.977910E+07  -0.232432E+00   0.512691E+07   0.512680E+07   0.142972E+01
   0.302332E-01   0.862541E+07   0.858265E+07  -0.788338E+02  -0.236068E+03   0.000000E+00   0.861879E+07   0.861879E+07   0.861879E+07  -0.204853E+00   0.451860E+07   0.451849E+07   0.120371E+01
   0.345522E-01   0.763958E+07   0.759513E+07  -0.246450E+02  -0.160063E+03   0.000000E+00   0.763270E+07   0.763270E+07   0.763270E+07  -0.181416E+00   0.400163E+07   0.400152E+07   0.100486E+01
   0.388713E-01   0.682249E+07   0.677901E+07  -0.191621E+02  -0.112934E+03   0.000000E+00   0.681576E+07   0.681576E+07   0.681576E+07  -0.161998E+00   0.357333E+07   0.357323E+07   0.825497E+00
   0.431903E-01   0.616060E+07   0.612034E+07  -0.191889E+02  -0.825997E+02   0.000000E+00   0.615437E+07   0.615437E+07   0.615437E+07  -0.146278E+00   0.322658E+07   0.322649E+07   0.664951E+00
