#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.305144E-02   0.187708E+08   0.187685E+08   0.244341E+04  -0.504726E+05   0.000000E+00   0.187705E+08   0.187705E+08   0.187705E+08  -0.446144E+00   0.984087E+07   0.984076E+07   0.127674E+02
   0.371123E-02   0.184591E+08   0.184564E+08  -0.169476E+05  -0.335531E+05   0.000000E+00   0.184587E+08   0.184587E+08   0.184587E+08  -0.438733E+00   0.967739E+07   0.967727E+07   0.104626E+02
   0.451368E-02   0.180747E+08   0.180713E+08  -0.135771E+05  -0.222100E+05   0.000000E+00   0.180742E+08   0.180742E+08   0.180742E+08  -0.429593E+00   0.947578E+07   0.947567E+07   0.846726E+01
   0.548964E-02   0.176066E+08   0.176022E+08  -0.120867E+05  -0.146255E+05   0.000000E+00   0.176059E+08   0.176059E+08   0.176059E+08  -0.418461E+00   0.923024E+07   0.923013E+07   0.690977E+01
   0.667663E-02   0.170434E+08   0.170378E+08  -0.102704E+05  -0.957095E+04   0.000000E+00   0.170425E+08   0.170425E+08   0.170425E+08  -0.405071E+00   0.893489E+07   0.893478E+07   0.560361E+01
   0.812027E-02   0.163740E+08   0.163665E+08  -0.635927E+04  -0.621607E+04   0.000000E+00   0.163729E+08   0.163729E+08   0.163729E+08  -0.389154E+00   0.858380E+07   0.858369E+07   0.454782E+01
   0.987606E-02   0.155891E+08   0.155789E+08   0.170218E+04  -0.400074E+04   0.000000E+00   0.155875E+08   0.155875E+08   0.155875E+08  -0.370487E+00   0.817204E+07   0.817193E+07   0.370644E+01
   0.120115E-01   0.146744E+08   0.146606E+08  -0.212508E+04  -0.254586E+04   0.000000E+00   0.146723E+08   0.146723E+08   0.146723E+08  -0.348733E+00   0.769222E+07   0.769211E+07   0.303158E+01
   0.146087E-01   0.136278E+08   0.136091E+08   0.353336E+03  -0.159826E+04   0.000000E+00   0.136249E+08   0.136249E+08   0.136249E+08  -0.323839E+00   0.714313E+07   0.714302E+07   0.249633E+01
   0.177674E-01   0.124357E+08   0.124110E+08  -0.115653E+04  -0.985891E+03   0.000000E+00   0.124319E+08   0.124319E+08   0.124319E+08  -0.295483E+00   0.651766E+07   0.651755E+07   0.206492E+01
   0.216091E-01   0.111113E+08   0.110796E+08  -0.564650E+02  -0.595455E+03   0.000000E+00   0.111064E+08   0.111064E+08   0.111064E+08  -0.263980E+00   0.582279E+07   0.582268E+07   0.171064E+01
