#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.128310E+04   0.151412E+01   0.980053E-03   0.151412E+01   0.715670E-01  -0.119178E-05   0.980053E-03  -0.119178E-05   0.146703E-06
    44   0.130165E+04   0.141541E+01   0.958733E-03   0.141541E+01   0.772028E-01  -0.906786E-06   0.958733E-03  -0.906786E-06   0.146324E-06
    45   0.132057E+04   0.130886E+01   0.938184E-03   0.130886E+01   0.831412E-01  -0.594043E-06   0.938184E-03  -0.594043E-06   0.145915E-06
    46   0.133978E+04   0.119276E+01   0.918370E-03   0.119276E+01   0.893895E-01  -0.276527E-06   0.918370E-03  -0.276527E-06   0.145478E-06
    47   0.135914E+04   0.106576E+01   0.899259E-03   0.106576E+01   0.959273E-01   0.227837E-07   0.899259E-03   0.227837E-07   0.145016E-06
    48   0.137856E+04   0.929278E+00   0.880818E-03   0.929278E+00   0.102734E+00   0.280911E-06   0.880818E-03   0.280911E-06   0.144530E-06
    49   0.139812E+04   0.784118E+00   0.863013E-03   0.784118E+00   0.109766E+00   0.474876E-06   0.863013E-03   0.474876E-06   0.144022E-06
    50   0.141804E+04   0.624310E+00   0.845810E-03   0.624310E+00   0.116974E+00   0.581701E-06   0.845810E-03   0.581701E-06   0.143495E-06
    51   0.143810E+04   0.443451E+00   0.829179E-03   0.443451E+00   0.124314E+00   0.585508E-06   0.829179E-03   0.585508E-06   0.142949E-06
    52   0.145852E+04   0.239018E+00   0.813096E-03   0.239018E+00   0.131897E+00   0.498829E-06   0.813096E-03   0.498829E-06   0.142387E-06
    53   0.147894E+04   0.113157E-01   0.797542E-03   0.113157E-01   0.139909E+00   0.341293E-06   0.797542E-03   0.341293E-06   0.141809E-06
    54   0.149928E+04  -0.231387E+00   0.782495E-03  -0.231387E+00   0.148378E+00   0.132531E-06   0.782495E-03   0.132531E-06   0.141215E-06
    55   0.151977E+04  -0.480705E+00   0.767936E-03  -0.480705E+00   0.157319E+00  -0.107824E-06   0.767936E-03  -0.107824E-06   0.140608E-06
    56   0.154064E+04  -0.735392E+00   0.753843E-03  -0.735392E+00   0.166613E+00  -0.360143E-06   0.753843E-03  -0.360143E-06   0.139987E-06
    57   0.156181E+04  -0.996468E+00   0.740197E-03  -0.996468E+00   0.176125E+00  -0.604794E-06   0.740197E-03  -0.604794E-06   0.139354E-06
    58   0.158330E+04  -0.126674E+01   0.726977E-03  -0.126674E+01   0.185825E+00  -0.822146E-06   0.726977E-03  -0.822146E-06   0.138709E-06
    59   0.160495E+04  -0.154906E+01   0.714163E-03  -0.154906E+01   0.195713E+00  -0.992569E-06   0.714163E-03  -0.992569E-06   0.138054E-06
    60   0.162677E+04  -0.184482E+01   0.701734E-03  -0.184482E+01   0.205802E+00  -0.109643E-05   0.701734E-03  -0.109643E-05   0.137389E-06
    61   0.164906E+04  -0.215488E+01   0.689668E-03  -0.215488E+01   0.216160E+00  -0.111998E-05   0.689668E-03  -0.111998E-05   0.136715E-06
    62   0.167123E+04  -0.248028E+01   0.677941E-03  -0.248028E+01   0.226798E+00  -0.107298E-05   0.677941E-03  -0.107298E-05   0.136034E-06
    63   0.169348E+04  -0.282174E+01   0.666528E-03  -0.282174E+01   0.237711E+00  -0.971099E-06   0.666528E-03  -0.971099E-06   0.135345E-06
    64   0.171612E+04  -0.318021E+01   0.655402E-03  -0.318021E+01   0.248948E+00  -0.829969E-06   0.655402E-03  -0.829969E-06   0.134649E-06
    65   0.173877E+04  -0.355603E+01   0.644538E-03  -0.355603E+01   0.260519E+00  -0.665246E-06   0.644538E-03  -0.665246E-06   0.133948E-06
    66   0.176172E+04  -0.394703E+01   0.633910E-03  -0.394703E+01   0.272386E+00  -0.492580E-06   0.633910E-03  -0.492580E-06   0.133242E-06
    67   0.178482E+04  -0.435000E+01   0.623492E-03  -0.435000E+01   0.284535E+00  -0.327619E-06   0.623492E-03  -0.327619E-06   0.132531E-06
    68   0.180837E+04  -0.476274E+01   0.613260E-03  -0.476274E+01   0.296986E+00  -0.186014E-06   0.613260E-03  -0.186014E-06   0.131816E-06
    69   0.183213E+04  -0.518302E+01   0.603187E-03  -0.518302E+01   0.309675E+00  -0.834146E-07   0.603187E-03  -0.834146E-07   0.131098E-06
    70   0.185624E+04  -0.561200E+01   0.593247E-03  -0.561200E+01   0.322622E+00  -0.354700E-07   0.593247E-03  -0.354700E-07   0.130377E-06
    71   0.188057E+04  -0.605179E+01   0.583423E-03  -0.605179E+01   0.335799E+00  -0.533296E-07   0.583423E-03  -0.533296E-07   0.129655E-06
    72   0.190511E+04  -0.650434E+01   0.573730E-03  -0.650434E+01   0.349192E+00  -0.130141E-06   0.573730E-03  -0.130141E-06   0.128932E-06
    73   0.192978E+04  -0.697108E+01   0.564192E-03  -0.697108E+01   0.362785E+00  -0.254550E-06   0.564192E-03  -0.254550E-06   0.128207E-06
    74   0.195460E+04  -0.745194E+01   0.554832E-03  -0.745194E+01   0.376584E+00  -0.415205E-06   0.554832E-03  -0.415205E-06   0.127481E-06
    75   0.197965E+04  -0.794625E+01   0.545673E-03  -0.794625E+01   0.390618E+00  -0.600752E-06   0.545673E-03  -0.600752E-06   0.126754E-06
    76   0.200484E+04  -0.845394E+01   0.536739E-03  -0.845394E+01   0.404901E+00  -0.799837E-06   0.536739E-03  -0.799837E-06   0.126027E-06
    77   0.203026E+04  -0.897444E+01   0.528054E-03  -0.897444E+01   0.419418E+00  -0.100111E-05   0.528054E-03  -0.100111E-05   0.125299E-06
    78   0.205600E+04  -0.950847E+01   0.519641E-03  -0.950847E+01   0.434183E+00  -0.119321E-05   0.519641E-03  -0.119321E-05   0.124571E-06
