#    L    TT             EE             BB             TE          
     2   0.107045E+04   0.346608E-01   0.192004E-05   0.280145E+01
     3   0.101324E+04   0.473866E-01   0.384064E-05   0.322999E+01
     4   0.957874E+03   0.443838E-01   0.640232E-05   0.310231E+01
     5   0.915975E+03   0.324684E-01   0.960579E-05   0.270113E+01
     6   0.886913E+03   0.198129E-01   0.134520E-04   0.223429E+01
     7   0.868231E+03   0.109087E-01   0.179420E-04   0.179836E+01
     8   0.856849E+03   0.627678E-02   0.230770E-04   0.143113E+01
     9   0.851171E+03   0.440239E-02   0.288584E-04   0.116177E+01
    10   0.849706E+03   0.365552E-02   0.352877E-04   0.994721E+00
    11   0.851189E+03   0.326348E-02   0.423666E-04   0.915216E+00
    12   0.855842E+03   0.286480E-02   0.500968E-04   0.902135E+00
    13   0.862075E+03   0.280524E-02   0.584801E-04   0.927215E+00
    14   0.869248E+03   0.283295E-02   0.675186E-04   0.978623E+00
    15   0.877719E+03   0.290195E-02   0.772141E-04   0.104777E+01
    16   0.887867E+03   0.309452E-02   0.875688E-04   0.112581E+01
    17   0.899470E+03   0.355638E-02   0.985847E-04   0.120177E+01
    18   0.911509E+03   0.420937E-02   0.110264E-03   0.126792E+01
    19   0.925120E+03   0.486490E-02   0.122609E-03   0.132468E+01
    20   0.938912E+03   0.542052E-02   0.135621E-03   0.137265E+01
    21   0.953065E+03   0.594332E-02   0.149303E-03   0.141778E+01
    22   0.967656E+03   0.657282E-02   0.163657E-03   0.146161E+01
    23   0.982476E+03   0.746764E-02   0.178684E-03   0.150659E+01
    24   0.997615E+03   0.872995E-02   0.194387E-03   0.155554E+01
    25   0.101308E+04   0.103698E-01   0.210768E-03   0.161041E+01
    26   0.102875E+04   0.123289E-01   0.227827E-03   0.167351E+01
    27   0.104478E+04   0.145319E-01   0.245568E-03   0.174231E+01
    28   0.106096E+04   0.169346E-01   0.263990E-03   0.181423E+01
    29   0.107745E+04   0.195203E-01   0.283097E-03   0.188606E+01
    30   0.109427E+04   0.222872E-01   0.302888E-03   0.195293E+01
    31   0.111120E+04   0.252285E-01   0.323365E-03   0.201035E+01
    32   0.112840E+04   0.283303E-01   0.344529E-03   0.205519E+01
    33   0.114594E+04   0.315686E-01   0.366381E-03   0.208444E+01
    34   0.116373E+04   0.349335E-01   0.388921E-03   0.209636E+01
    35   0.118177E+04   0.384358E-01   0.412151E-03   0.209143E+01
    36   0.120000E+04   0.421051E-01   0.436069E-03   0.206998E+01
    37   0.121832E+04   0.459916E-01   0.460677E-03   0.203339E+01
    38   0.123696E+04   0.501462E-01   0.485974E-03   0.198497E+01
    39   0.125592E+04   0.545740E-01   0.511960E-03   0.192587E+01
    40   0.127497E+04   0.592739E-01   0.538635E-03   0.185650E+01
    41   0.129425E+04   0.642519E-01   0.565999E-03   0.177701E+01
    42   0.131354E+04   0.695218E-01   0.594051E-03   0.168739E+01
    43   0.133300E+04   0.750993E-01   0.622790E-03   0.158757E+01
    44   0.135246E+04   0.809852E-01   0.652216E-03   0.147840E+01
    45   0.137230E+04   0.871907E-01   0.682328E-03   0.136079E+01
    46   0.139245E+04   0.937232E-01   0.713124E-03   0.123327E+01
    47   0.141275E+04   0.100562E+00   0.744605E-03   0.109475E+01
    48   0.143313E+04   0.107686E+00   0.776768E-03   0.946881E+00
    49   0.145367E+04   0.115053E+00   0.809613E-03   0.790729E+00
    50   0.147458E+04   0.122611E+00   0.843139E-03   0.620573E+00
    51   0.149564E+04   0.130318E+00   0.877344E-03   0.430179E+00
    52   0.151708E+04   0.138284E+00   0.912227E-03   0.216906E+00
    53   0.153852E+04   0.146693E+00   0.947788E-03  -0.191379E-01
    54   0.155990E+04   0.155574E+00   0.984025E-03  -0.269880E+00
    55   0.158144E+04   0.164941E+00   0.102094E-02  -0.527130E+00
    56   0.160336E+04   0.174672E+00   0.105852E-02  -0.789840E+00
    57   0.162560E+04   0.184633E+00   0.109678E-02  -0.105922E+01
    58   0.164816E+04   0.194794E+00   0.113572E-02  -0.133829E+01
    59   0.167088E+04   0.205152E+00   0.117532E-02  -0.163006E+01
    60   0.169378E+04   0.215721E+00   0.121560E-02  -0.193616E+01
    61   0.171714E+04   0.226568E+00   0.125654E-02  -0.225758E+01
    62   0.174038E+04   0.237703E+00   0.129816E-02  -0.259539E+01
    63   0.176372E+04   0.249122E+00   0.134045E-02  -0.295027E+01
    64   0.178744E+04   0.260875E+00   0.138341E-02  -0.332316E+01
    65   0.181118E+04   0.272973E+00   0.142704E-02  -0.371436E+01
    66   0.183522E+04   0.285374E+00   0.147134E-02  -0.412169E+01
    67   0.185942E+04   0.298070E+00   0.151632E-02  -0.454189E+01
    68   0.188406E+04   0.311077E+00   0.156196E-02  -0.497277E+01
    69   0.190893E+04   0.324334E+00   0.160828E-02  -0.541204E+01
    70   0.193416E+04   0.337858E+00   0.165528E-02  -0.586086E+01
    71   0.195962E+04   0.351625E+00   0.170295E-02  -0.632128E+01
    72   0.198529E+04   0.365618E+00   0.175129E-02  -0.679518E+01
    73   0.201111E+04   0.379823E+00   0.180032E-02  -0.728386E+01
    74   0.203709E+04   0.394245E+00   0.185003E-02  -0.778715E+01
    75   0.206329E+04   0.408914E+00   0.190042E-02  -0.830428E+01
    76   0.208966E+04   0.423843E+00   0.195149E-02  -0.883506E+01
    77   0.211628E+04   0.439017E+00   0.200325E-02  -0.937880E+01
    78   0.214320E+04   0.454450E+00   0.205570E-02  -0.993615E+01
    79   0.217031E+04   0.470075E+00   0.210885E-02  -0.105025E+02
    80   0.219774E+04   0.485882E+00   0.216269E-02  -0.110786E+02
    81   0.222543E+04   0.501810E+00   0.221722E-02  -0.116643E+02
    82   0.225344E+04   0.517875E+00   0.227246E-02  -0.122586E+02
    83   0.228170E+04   0.534043E+00   0.232841E-02  -0.128615E+02
    84   0.231029E+04   0.550306E+00   0.238506E-02  -0.134714E+02
    85   0.233904E+04   0.566633E+00   0.244242E-02  -0.140895E+02
