#    L    TT             EE             TE             PP             TP          
    75   0.197963E+04   0.390605E+00  -0.794584E+01   0.576051E+07   0.915973E+04
    76   0.200482E+04   0.404888E+00  -0.845352E+01   0.572942E+07   0.901209E+04
    77   0.203024E+04   0.419404E+00  -0.897398E+01   0.569824E+07   0.886849E+04
    78   0.205597E+04   0.434168E+00  -0.950799E+01   0.566698E+07   0.872933E+04
    79   0.208187E+04   0.449112E+00  -0.100511E+02   0.563565E+07   0.859501E+04
    80   0.210807E+04   0.464227E+00  -0.106040E+02   0.560427E+07   0.846593E+04
    81   0.213452E+04   0.479452E+00  -0.111668E+02   0.557284E+07   0.834236E+04
    82   0.216129E+04   0.494804E+00  -0.117384E+02   0.554139E+07   0.822400E+04
    83   0.218829E+04   0.510251E+00  -0.123188E+02   0.550992E+07   0.811041E+04
    84   0.221561E+04   0.525786E+00  -0.129060E+02   0.547846E+07   0.800117E+04
    85   0.224308E+04   0.541381E+00  -0.135015E+02   0.544701E+07   0.789583E+04
    86   0.227078E+04   0.557040E+00  -0.141043E+02   0.541558E+07   0.779397E+04
    87   0.229894E+04   0.572729E+00  -0.147134E+02   0.538420E+07   0.769516E+04
    88   0.232709E+04   0.588453E+00  -0.153286E+02   0.535287E+07   0.759895E+04
    89   0.235562E+04   0.604190E+00  -0.159511E+02   0.532162E+07   0.750491E+04
    90   0.238436E+04   0.619895E+00  -0.165778E+02   0.529045E+07   0.741262E+04
    91   0.241325E+04   0.635556E+00  -0.172093E+02   0.525937E+07   0.732170E+04
    92   0.244243E+04   0.651158E+00  -0.178448E+02   0.522840E+07   0.723207E+04
    93   0.247190E+04   0.666697E+00  -0.184844E+02   0.519754E+07   0.714373E+04
    94   0.250144E+04   0.682140E+00  -0.191269E+02   0.516678E+07   0.705664E+04
    95   0.253128E+04   0.697490E+00  -0.197729E+02   0.513614E+07   0.697081E+04
    96   0.256111E+04   0.712734E+00  -0.204220E+02   0.510562E+07   0.688620E+04
    97   0.259139E+04   0.727861E+00  -0.210734E+02   0.507521E+07   0.680282E+04
    98   0.262190E+04   0.742867E+00  -0.217250E+02   0.504493E+07   0.672065E+04
    99   0.265248E+04   0.757718E+00  -0.223799E+02   0.501478E+07   0.663966E+04
   100   0.268335E+04   0.772418E+00  -0.230338E+02   0.498476E+07   0.655985E+04
   101   0.271438E+04   0.787027E+00  -0.236896E+02   0.495488E+07   0.648121E+04
   102   0.274594E+04   0.801402E+00  -0.243454E+02   0.492514E+07   0.640371E+04
   103   0.277742E+04   0.815620E+00  -0.250019E+02   0.489554E+07   0.632734E+04
   104   0.280914E+04   0.829683E+00  -0.256563E+02   0.486609E+07   0.625209E+04
   105   0.284101E+04   0.843521E+00  -0.263101E+02   0.483678E+07   0.617795E+04
   106   0.287310E+04   0.857211E+00  -0.269628E+02   0.480764E+07   0.610489E+04
   107   0.290514E+04   0.870608E+00  -0.276129E+02   0.477865E+07   0.603291E+04
   108   0.293756E+04   0.883789E+00  -0.282613E+02   0.474982E+07   0.596199E+04
   109   0.297013E+04   0.896683E+00  -0.289066E+02   0.472116E+07   0.589212E+04
   110   0.300279E+04   0.909293E+00  -0.295474E+02   0.469266E+07   0.582328E+04
   111   0.303561E+04   0.921696E+00  -0.301853E+02   0.466434E+07   0.575545E+04
   112   0.306860E+04   0.933817E+00  -0.308195E+02   0.463620E+07   0.568865E+04
   113   0.310181E+04   0.945655E+00  -0.314485E+02   0.460823E+07   0.562287E+04
   114   0.313512E+04   0.957133E+00  -0.320713E+02   0.458043E+07   0.555811E+04
   115   0.316865E+04   0.968400E+00  -0.326881E+02   0.455281E+07   0.549438E+04
   116   0.320220E+04   0.979231E+00  -0.332979E+02   0.452536E+07   0.543168E+04
   117   0.323605E+04   0.989698E+00  -0.338999E+02   0.449809E+07   0.537002E+04
   118   0.327006E+04   0.999950E+00  -0.344948E+02   0.447100E+07   0.530938E+04
   119   0.330408E+04   0.100984E+01  -0.350803E+02   0.444409E+07   0.524979E+04
   120   0.333826E+04   0.101921E+01  -0.356563E+02   0.441736E+07   0.519123E+04
   121   0.337244E+04   0.102835E+01  -0.362228E+02   0.439080E+07   0.513372E+04
   122   0.340671E+04   0.103699E+01  -0.367789E+02   0.436443E+07   0.507725E+04
   123   0.344106E+04   0.104517E+01  -0.373246E+02   0.433824E+07   0.502183E+04
   124   0.347548E+04   0.105298E+01  -0.378568E+02   0.431223E+07   0.496745E+04
   125   0.350992E+04   0.106035E+01  -0.383777E+02   0.428640E+07   0.491413E+04
   126   0.354443E+04   0.106734E+01  -0.388865E+02   0.426075E+07   0.486187E+04
   127   0.357894E+04   0.107380E+01  -0.393823E+02   0.423529E+07   0.481066E+04
   128   0.361346E+04   0.107989E+01  -0.398644E+02   0.421001E+07   0.476051E+04
   129   0.364806E+04   0.108545E+01  -0.403319E+02   0.418492E+07   0.471143E+04
   130   0.368266E+04   0.109047E+01  -0.407840E+02   0.416001E+07   0.466341E+04
   131   0.371727E+04   0.109512E+01  -0.412221E+02   0.413529E+07   0.461645E+04
   132   0.375195E+04   0.109924E+01  -0.416434E+02   0.411075E+07   0.457052E+04
   133   0.378656E+04   0.110289E+01  -0.420499E+02   0.408640E+07   0.452556E+04
   134   0.382118E+04   0.110610E+01  -0.424373E+02   0.406223E+07   0.448155E+04
   135   0.385580E+04   0.110877E+01  -0.428085E+02   0.403824E+07   0.443844E+04
   136   0.389027E+04   0.111091E+01  -0.431600E+02   0.401443E+07   0.439618E+04
   137   0.392475E+04   0.111259E+01  -0.434938E+02   0.399080E+07   0.435473E+04
   138   0.395916E+04   0.111374E+01  -0.438086E+02   0.396736E+07   0.431406E+04
   139   0.399336E+04   0.111450E+01  -0.441036E+02   0.394409E+07   0.427411E+04
   140   0.402763E+04   0.111466E+01  -0.443795E+02   0.392099E+07   0.423485E+04
   141   0.406169E+04   0.111429E+01  -0.446342E+02   0.389808E+07   0.419623E+04
   142   0.409575E+04   0.111346E+01  -0.448685E+02   0.387534E+07   0.415821E+04
   143   0.412975E+04   0.111218E+01  -0.450822E+02   0.385277E+07   0.412075E+04
   144   0.416354E+04   0.111036E+01  -0.452748E+02   0.383037E+07   0.408380E+04
   145   0.419718E+04   0.110815E+01  -0.454455E+02   0.380815E+07   0.404733E+04
   146   0.423091E+04   0.110534E+01  -0.455943E+02   0.378610E+07   0.401129E+04
   147   0.426427E+04   0.110215E+01  -0.457197E+02   0.376422E+07   0.397563E+04
   148   0.429750E+04   0.109842E+01  -0.458232E+02   0.374251E+07   0.394033E+04
   149   0.433066E+04   0.109423E+01  -0.459034E+02   0.372096E+07   0.390532E+04
   150   0.436354E+04   0.108966E+01  -0.459581E+02   0.369958E+07   0.387058E+04
   151   0.439627E+04   0.108463E+01  -0.459901E+02   0.367837E+07   0.383606E+04
   152   0.442872E+04   0.107907E+01  -0.459982E+02   0.365732E+07   0.380177E+04
   153   0.446103E+04   0.107312E+01  -0.459799E+02   0.363644E+07   0.376770E+04
   154   0.449312E+04   0.106679E+01  -0.459375E+02   0.361572E+07   0.373388E+04
   155   0.452500E+04   0.106008E+01  -0.458703E+02   0.359516E+07   0.370030E+04
   156   0.455650E+04   0.105298E+01  -0.457782E+02   0.357477E+07   0.366697E+04
   157   0.458794E+04   0.104551E+01  -0.456598E+02   0.355453E+07   0.363389E+04
   158   0.461907E+04   0.103773E+01  -0.455157E+02   0.353445E+07   0.360108E+04
   159   0.464991E+04   0.102950E+01  -0.453459E+02   0.351453E+07   0.356854E+04
   160   0.468053E+04   0.102096E+01  -0.451491E+02   0.349477E+07   0.353628E+04
   161   0.471092E+04   0.101219E+01  -0.449265E+02   0.347517E+07   0.350430E+04
