#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.151893E+04   0.157285E+00   0.000000E+00  -0.479209E+00   0.140738E-06   0.768508E-03  -0.113391E-06
    56   0.153977E+04   0.166575E+00   0.000000E+00  -0.733770E+00   0.140119E-06   0.754419E-03  -0.365225E-06
    57   0.156091E+04   0.176084E+00   0.000000E+00  -0.994710E+00   0.139487E-06   0.740776E-03  -0.608948E-06
    58   0.158237E+04   0.185780E+00   0.000000E+00  -0.126484E+01   0.138845E-06   0.727558E-03  -0.825045E-06
    59   0.160399E+04   0.195664E+00   0.000000E+00  -0.154701E+01   0.138191E-06   0.714746E-03  -0.994031E-06
    60   0.162579E+04   0.205749E+00   0.000000E+00  -0.184261E+01   0.137528E-06   0.702319E-03  -0.109645E-05
    61   0.164805E+04   0.216103E+00   0.000000E+00  -0.215250E+01   0.136857E-06   0.690256E-03  -0.111873E-05
    62   0.167018E+04   0.226736E+00   0.000000E+00  -0.247772E+01   0.136177E-06   0.678532E-03  -0.107074E-05
    63   0.169241E+04   0.237644E+00   0.000000E+00  -0.281899E+01   0.135490E-06   0.667120E-03  -0.968183E-06
    64   0.171501E+04   0.248875E+00   0.000000E+00  -0.317727E+01   0.134796E-06   0.655996E-03  -0.826720E-06
    65   0.173763E+04   0.260441E+00   0.000000E+00  -0.355288E+01   0.134097E-06   0.645132E-03  -0.661999E-06
    66   0.176055E+04   0.272302E+00   0.000000E+00  -0.394367E+01   0.133392E-06   0.634504E-03  -0.489642E-06
    67   0.178362E+04   0.284445E+00   0.000000E+00  -0.434640E+01   0.132683E-06   0.624086E-03  -0.325248E-06
    68   0.180713E+04   0.296889E+00   0.000000E+00  -0.475890E+01   0.131969E-06   0.613852E-03  -0.184394E-06
    69   0.183085E+04   0.309571E+00   0.000000E+00  -0.517893E+01   0.131253E-06   0.603776E-03  -0.826417E-07
    70   0.185494E+04   0.322511E+00   0.000000E+00  -0.560765E+01   0.130534E-06   0.593835E-03  -0.355319E-07
    71   0.187923E+04   0.335680E+00   0.000000E+00  -0.604716E+01   0.129814E-06   0.584009E-03  -0.541060E-07
    72   0.190373E+04   0.349065E+00   0.000000E+00  -0.649942E+01   0.129092E-06   0.574315E-03  -0.131460E-06
    73   0.192838E+04   0.362649E+00   0.000000E+00  -0.696586E+01   0.128369E-06   0.564776E-03  -0.256221E-06
    74   0.195316E+04   0.376439E+00   0.000000E+00  -0.744640E+01   0.127645E-06   0.555416E-03  -0.417027E-06
    75   0.197817E+04   0.390464E+00   0.000000E+00  -0.794039E+01   0.126920E-06   0.546257E-03  -0.602533E-06
    76   0.200333E+04   0.404738E+00   0.000000E+00  -0.844774E+01   0.126194E-06   0.537323E-03  -0.801406E-06
    77   0.202872E+04   0.419245E+00   0.000000E+00  -0.896787E+01   0.125468E-06   0.528638E-03  -0.100233E-05
    78   0.205441E+04   0.433999E+00   0.000000E+00  -0.950154E+01   0.124741E-06   0.520224E-03  -0.119399E-05
    79   0.208027E+04   0.448933E+00   0.000000E+00  -0.100443E+02   0.124015E-06   0.512106E-03  -0.136509E-05
    80   0.210644E+04   0.464037E+00   0.000000E+00  -0.105969E+02   0.123289E-06   0.504306E-03  -0.150434E-05
    81   0.213285E+04   0.479252E+00   0.000000E+00  -0.111592E+02   0.122563E-06   0.496840E-03  -0.160307E-05
    82   0.215958E+04   0.494592E+00   0.000000E+00  -0.117305E+02   0.121838E-06   0.489690E-03  -0.166303E-05
    83   0.218655E+04   0.510027E+00   0.000000E+00  -0.123104E+02   0.121114E-06   0.482830E-03  -0.168857E-05
    84   0.221382E+04   0.525550E+00   0.000000E+00  -0.128972E+02   0.120391E-06   0.476232E-03  -0.168402E-05
    85   0.224125E+04   0.541132E+00   0.000000E+00  -0.134923E+02   0.119669E-06   0.469873E-03  -0.165373E-05
    86   0.226892E+04   0.556778E+00   0.000000E+00  -0.140946E+02   0.118950E-06   0.463724E-03  -0.160204E-05
    87   0.229703E+04   0.572453E+00   0.000000E+00  -0.147032E+02   0.118232E-06   0.457761E-03  -0.153327E-05
    88   0.232515E+04   0.588163E+00   0.000000E+00  -0.153179E+02   0.117517E-06   0.451957E-03  -0.145174E-05
    89   0.235363E+04   0.603886E+00   0.000000E+00  -0.159400E+02   0.116804E-06   0.446286E-03  -0.136180E-05
    90   0.238234E+04   0.619576E+00   0.000000E+00  -0.165661E+02   0.116094E-06   0.440723E-03  -0.126774E-05
    91   0.241118E+04   0.635221E+00   0.000000E+00  -0.171971E+02   0.115387E-06   0.435245E-03  -0.117326E-05
    92   0.244032E+04   0.650807E+00   0.000000E+00  -0.178320E+02   0.114683E-06   0.429847E-03  -0.107952E-05
    93   0.246975E+04   0.666331E+00   0.000000E+00  -0.184711E+02   0.113983E-06   0.424528E-03  -0.987017E-06
    94   0.249925E+04   0.681757E+00   0.000000E+00  -0.191130E+02   0.113285E-06   0.419288E-03  -0.896288E-06
    95   0.252904E+04   0.697089E+00   0.000000E+00  -0.197584E+02   0.112591E-06   0.414126E-03  -0.807847E-06
    96   0.255883E+04   0.712315E+00   0.000000E+00  -0.204069E+02   0.111901E-06   0.409039E-03  -0.722213E-06
    97   0.258907E+04   0.727425E+00   0.000000E+00  -0.210576E+02   0.111214E-06   0.404028E-03  -0.639906E-06
    98   0.261953E+04   0.742412E+00   0.000000E+00  -0.217086E+02   0.110530E-06   0.399091E-03  -0.561444E-06
    99   0.265006E+04   0.757244E+00   0.000000E+00  -0.223629E+02   0.109850E-06   0.394227E-03  -0.487346E-06
   100   0.268090E+04   0.771924E+00   0.000000E+00  -0.230160E+02   0.109173E-06   0.389436E-03  -0.418130E-06
   101   0.271188E+04   0.786514E+00   0.000000E+00  -0.236712E+02   0.108500E-06   0.384716E-03  -0.354314E-06
   102   0.274339E+04   0.800869E+00   0.000000E+00  -0.243263E+02   0.107831E-06   0.380067E-03  -0.296415E-06
