#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.107044E+04   0.280145E+01   0.317843E-02   0.280145E+01   0.346589E-01  -0.134478E-04   0.317843E-02  -0.134478E-04   0.526774E-07
     3   0.101323E+04   0.322999E+01   0.318339E-02   0.322999E+01   0.473828E-01  -0.149207E-04   0.318339E-02  -0.149207E-04   0.641925E-07
     4   0.957860E+03   0.310231E+01   0.310991E-02   0.310231E+01   0.443774E-01  -0.134548E-04   0.310991E-02  -0.134548E-04   0.740389E-07
     5   0.915954E+03   0.270113E+01   0.300604E-02   0.270113E+01   0.324588E-01  -0.102521E-04   0.300604E-02  -0.102521E-04   0.825969E-07
     6   0.886883E+03   0.223429E+01   0.289341E-02   0.223429E+01   0.197994E-01  -0.629293E-05   0.289341E-02  -0.629293E-05   0.900795E-07
     7   0.868192E+03   0.179837E+01   0.278373E-02   0.179837E+01   0.108908E-01  -0.254614E-05   0.278373E-02  -0.254614E-05   0.966788E-07
     8   0.856800E+03   0.143114E+01   0.267710E-02   0.143114E+01   0.625370E-02   0.158070E-06   0.267710E-02   0.158070E-06   0.102530E-06
     9   0.851110E+03   0.116178E+01   0.257122E-02   0.116178E+01   0.437353E-02   0.149043E-05   0.257122E-02   0.149043E-05   0.107748E-06
    10   0.849632E+03   0.994733E+00   0.246750E-02   0.994733E+00   0.362023E-02   0.174173E-05   0.246750E-02   0.174173E-05   0.112404E-06
    11   0.851100E+03   0.915232E+00   0.237079E-02   0.915232E+00   0.322112E-02   0.155810E-05   0.237079E-02   0.155810E-05   0.116579E-06
    12   0.855737E+03   0.902157E+00   0.228271E-02   0.902157E+00   0.281470E-02   0.107790E-05   0.228271E-02   0.107790E-05   0.120330E-06
    13   0.861953E+03   0.927245E+00   0.220330E-02   0.927245E+00   0.274676E-02   0.330004E-06   0.220330E-02   0.330004E-06   0.123703E-06
    14   0.869108E+03   0.978661E+00   0.213043E-02   0.978661E+00   0.276543E-02  -0.487012E-06   0.213043E-02  -0.487012E-06   0.126734E-06
    15   0.877560E+03   0.104782E+01   0.206143E-02   0.104782E+01   0.282473E-02  -0.113213E-05   0.206143E-02  -0.113213E-05   0.129458E-06
    16   0.887687E+03   0.112587E+01   0.199415E-02   0.112587E+01   0.300695E-02  -0.142153E-05   0.199415E-02  -0.142153E-05   0.131908E-06
    17   0.899269E+03   0.120185E+01   0.192850E-02   0.120185E+01   0.345780E-02  -0.140023E-05   0.192850E-02  -0.140023E-05   0.134107E-06
    18   0.911286E+03   0.126802E+01   0.186494E-02   0.126802E+01   0.409912E-02  -0.117042E-05   0.186494E-02  -0.117042E-05   0.136078E-06
    19   0.924873E+03   0.132481E+01   0.180390E-02   0.132481E+01   0.474231E-02  -0.834320E-06   0.180390E-02  -0.834320E-06   0.137841E-06
    20   0.938640E+03   0.137280E+01   0.174581E-02   0.137280E+01   0.528493E-02  -0.494134E-06   0.174581E-02  -0.494134E-06   0.139419E-06
    21   0.952768E+03   0.141796E+01   0.169100E-02   0.141796E+01   0.579406E-02  -0.233299E-06   0.169100E-02  -0.233299E-06   0.140830E-06
    22   0.967333E+03   0.146182E+01   0.163936E-02   0.146182E+01   0.640922E-02  -0.601701E-07   0.163936E-02  -0.601701E-07   0.142087E-06
    23   0.982126E+03   0.150684E+01   0.159065E-02   0.150684E+01   0.728903E-02   0.356661E-07   0.159065E-02   0.356661E-07   0.143197E-06
    24   0.997237E+03   0.155584E+01   0.154463E-02   0.155584E+01   0.853567E-02   0.646247E-07   0.154463E-02   0.646247E-07   0.144171E-06
    25   0.101268E+04   0.161075E+01   0.150109E-02   0.161075E+01   0.101592E-01   0.371201E-07   0.150109E-02   0.371201E-07   0.145016E-06
    26   0.102832E+04   0.167390E+01   0.145978E-02   0.167390E+01   0.121013E-01  -0.364330E-07   0.145978E-02  -0.364330E-07   0.145742E-06
    27   0.104431E+04   0.174276E+01   0.142047E-02   0.174276E+01   0.142866E-01  -0.145620E-06   0.142047E-02  -0.145620E-06   0.146358E-06
    28   0.106046E+04   0.181473E+01   0.138294E-02   0.181473E+01   0.166709E-01  -0.280027E-06   0.138294E-02  -0.280027E-06   0.146872E-06
    29   0.107692E+04   0.188664E+01   0.134695E-02   0.188664E+01   0.192376E-01  -0.429238E-06   0.134695E-02  -0.429238E-06   0.147295E-06
    30   0.109371E+04   0.195357E+01   0.131226E-02   0.195357E+01   0.219847E-01  -0.582840E-06   0.131226E-02  -0.582840E-06   0.147633E-06
    31   0.111061E+04   0.201107E+01   0.127870E-02   0.201107E+01   0.249057E-01  -0.731623E-06   0.127870E-02  -0.731623E-06   0.147896E-06
    32   0.112777E+04   0.205599E+01   0.124620E-02   0.205599E+01   0.279864E-01  -0.871195E-06   0.124620E-02  -0.871195E-06   0.148089E-06
