#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.107045E+04   0.346589E-01   0.000000E+00   0.280145E+01   0.526745E-07   0.317840E-02  -0.134478E-04
     3   0.101323E+04   0.473828E-01   0.000000E+00   0.322999E+01   0.641884E-07   0.318334E-02  -0.149207E-04
     4   0.957864E+03   0.443774E-01   0.000000E+00   0.310231E+01   0.740335E-07   0.310985E-02  -0.134548E-04
     5   0.915960E+03   0.324588E-01   0.000000E+00   0.270114E+01   0.825904E-07   0.300597E-02  -0.102521E-04
     6   0.886892E+03   0.197995E-01   0.000000E+00   0.223429E+01   0.900717E-07   0.289333E-02  -0.629294E-05
     7   0.868203E+03   0.108908E-01   0.000000E+00   0.179837E+01   0.966698E-07   0.278364E-02  -0.254615E-05
     8   0.856813E+03   0.625370E-02   0.000000E+00   0.143114E+01   0.102520E-06   0.267700E-02   0.158059E-06
     9   0.851126E+03   0.437353E-02   0.000000E+00   0.116178E+01   0.107736E-06   0.257111E-02   0.149041E-05
    10   0.849651E+03   0.362024E-02   0.000000E+00   0.994731E+00   0.112391E-06   0.246738E-02   0.174171E-05
    11   0.851123E+03   0.322112E-02   0.000000E+00   0.915231E+00   0.116566E-06   0.237069E-02   0.155924E-05
    12   0.855765E+03   0.281472E-02   0.000000E+00   0.902156E+00   0.120315E-06   0.228258E-02   0.107788E-05
    13   0.861985E+03   0.274678E-02   0.000000E+00   0.927245E+00   0.123687E-06   0.220324E-02   0.325714E-06
    14   0.869144E+03   0.276545E-02   0.000000E+00   0.978662E+00   0.126717E-06   0.213036E-02  -0.492076E-06
    15   0.877602E+03   0.282477E-02   0.000000E+00   0.104782E+01   0.129440E-06   0.206127E-02  -0.113214E-05
    16   0.887734E+03   0.300700E-02   0.000000E+00   0.112587E+01   0.131889E-06   0.199397E-02  -0.141393E-05
    17   0.899322E+03   0.345785E-02   0.000000E+00   0.120185E+01   0.134087E-06   0.192833E-02  -0.138764E-05
    18   0.911345E+03   0.409919E-02   0.000000E+00   0.126801E+01   0.136056E-06   0.186475E-02  -0.115791E-05
    19   0.924939E+03   0.474240E-02   0.000000E+00   0.132480E+01   0.137817E-06   0.180368E-02  -0.826737E-06
    20   0.938713E+03   0.528505E-02   0.000000E+00   0.137279E+01   0.139394E-06   0.174562E-02  -0.494139E-06
    21   0.952848E+03   0.579420E-02   0.000000E+00   0.141796E+01   0.140807E-06   0.169093E-02  -0.240504E-06
    22   0.967420E+03   0.640940E-02   0.000000E+00   0.146181E+01   0.142065E-06   0.163945E-02  -0.729825E-07
    23   0.982221E+03   0.728926E-02   0.000000E+00   0.150682E+01   0.143177E-06   0.159089E-02   0.192085E-07
    24   0.997339E+03   0.853595E-02   0.000000E+00   0.155582E+01   0.144151E-06   0.154498E-02   0.465891E-07
    25   0.101279E+04   0.101595E-01   0.000000E+00   0.161073E+01   0.144995E-06   0.150146E-02   0.194712E-07
    26   0.102844E+04   0.121017E-01   0.000000E+00   0.167388E+01   0.145719E-06   0.146011E-02  -0.520012E-07
    27   0.104444E+04   0.142871E-01   0.000000E+00   0.174273E+01   0.146332E-06   0.142069E-02  -0.157821E-06
    28   0.106060E+04   0.166716E-01   0.000000E+00   0.181470E+01   0.146843E-06   0.138301E-02  -0.288092E-06
    29   0.107707E+04   0.192384E-01   0.000000E+00   0.188659E+01   0.147262E-06   0.134685E-02  -0.433013E-06
    30   0.109386E+04   0.219857E-01   0.000000E+00   0.195352E+01   0.147597E-06   0.131202E-02  -0.582857E-06
    31   0.111077E+04   0.249068E-01   0.000000E+00   0.201101E+01   0.147859E-06   0.127836E-02  -0.729000E-06
    32   0.112795E+04   0.279878E-01   0.000000E+00   0.205592E+01   0.148050E-06   0.124582E-02  -0.867007E-06
    33   0.114546E+04   0.312046E-01   0.000000E+00   0.208525E+01   0.148174E-06   0.121437E-02  -0.993495E-06
    34   0.116323E+04   0.345474E-01   0.000000E+00   0.209725E+01   0.148236E-06   0.118399E-02  -0.110509E-05
    35   0.118125E+04   0.380270E-01   0.000000E+00   0.209240E+01   0.148238E-06   0.115467E-02  -0.119843E-05
    36   0.119945E+04   0.416730E-01   0.000000E+00   0.207105E+01   0.148183E-06   0.112639E-02  -0.127015E-05
    37   0.121775E+04   0.455355E-01   0.000000E+00   0.203455E+01   0.148077E-06   0.109914E-02  -0.131691E-05
    38   0.123636E+04   0.496656E-01   0.000000E+00   0.198623E+01   0.147921E-06   0.107292E-02  -0.133535E-05
    39   0.125530E+04   0.540682E-01   0.000000E+00   0.192722E+01   0.147721E-06   0.104770E-02  -0.132214E-05
    40   0.127432E+04   0.587424E-01   0.000000E+00   0.185795E+01   0.147480E-06   0.102348E-02  -0.127395E-05
    41   0.129358E+04   0.636941E-01   0.000000E+00   0.177857E+01   0.147202E-06   0.100025E-02  -0.118935E-05
    42   0.131285E+04   0.689372E-01   0.000000E+00   0.168905E+01   0.146888E-06   0.977957E-03  -0.107453E-05
    43   0.133227E+04   0.744874E-01   0.000000E+00   0.158934E+01   0.146541E-06   0.956544E-03  -0.937600E-06
    44   0.135171E+04   0.803454E-01   0.000000E+00   0.148028E+01   0.146162E-06   0.935960E-03  -0.786598E-06
    45   0.137153E+04   0.865224E-01   0.000000E+00   0.136277E+01   0.145754E-06   0.916151E-03  -0.629553E-06
    46   0.139165E+04   0.930259E-01   0.000000E+00   0.123536E+01   0.145317E-06   0.897063E-03  -0.474468E-06
    47   0.141192E+04   0.998352E-01   0.000000E+00   0.109694E+01   0.144856E-06   0.878645E-03  -0.329324E-06
    48   0.143228E+04   0.106929E+00   0.000000E+00   0.949176E+00   0.144370E-06   0.860845E-03  -0.202082E-06
    49   0.145279E+04   0.114266E+00   0.000000E+00   0.793125E+00   0.143863E-06   0.843611E-03  -0.100688E-06
