#    L    TT             EE             BB             TE          
     2   0.107695E+04   0.466585E-01   0.183830E-05   0.323326E+01
     3   0.101757E+04   0.744901E-01   0.367717E-05   0.398132E+01
     4   0.958651E+03   0.820339E-01   0.612990E-05   0.404799E+01
     5   0.912587E+03   0.713465E-01   0.919725E-05   0.371753E+01
     6   0.879238E+03   0.517505E-01   0.128801E-04   0.322202E+01
     7   0.856642E+03   0.324413E-01   0.171797E-04   0.268763E+01
     8   0.841994E+03   0.185667E-01   0.220972E-04   0.217832E+01
     9   0.833449E+03   0.108931E-01   0.276340E-04   0.174779E+01
    10   0.829630E+03   0.762700E-02   0.337917E-04   0.142377E+01
    11   0.829258E+03   0.649736E-02   0.405721E-04   0.120827E+01
    12   0.832405E+03   0.597375E-02   0.479768E-04   0.109068E+01
    13   0.837333E+03   0.558592E-02   0.560078E-04   0.104869E+01
    14   0.843361E+03   0.508461E-02   0.646671E-04   0.106323E+01
    15   0.850828E+03   0.463109E-02   0.739567E-04   0.111515E+01
    16   0.860093E+03   0.447141E-02   0.838787E-04   0.118634E+01
    17   0.870909E+03   0.474115E-02   0.944352E-04   0.126172E+01
    18   0.882228E+03   0.530854E-02   0.105628E-03   0.133071E+01
    19   0.895155E+03   0.593137E-02   0.117461E-03   0.139093E+01
    20   0.908272E+03   0.645359E-02   0.129934E-03   0.144011E+01
    21   0.921735E+03   0.689890E-02   0.143050E-03   0.148198E+01
    22   0.935617E+03   0.740447E-02   0.156811E-03   0.151824E+01
    23   0.949712E+03   0.813677E-02   0.171220E-03   0.155208E+01
    24   0.964109E+03   0.920583E-02   0.186277E-03   0.158709E+01
    25   0.978824E+03   0.106296E-01   0.201986E-03   0.162595E+01
    26   0.993723E+03   0.123576E-01   0.218346E-03   0.167173E+01
    27   0.100897E+04   0.143223E-01   0.235362E-03   0.172266E+01
    28   0.102436E+04   0.164875E-01   0.253032E-03   0.177689E+01
    29   0.104006E+04   0.188444E-01   0.271360E-03   0.183200E+01
    30   0.105607E+04   0.213988E-01   0.290346E-03   0.188383E+01
    31   0.107220E+04   0.241500E-01   0.309991E-03   0.192852E+01
    32   0.108859E+04   0.270819E-01   0.330296E-03   0.196300E+01
    33   0.110530E+04   0.301664E-01   0.351262E-03   0.198418E+01
    34   0.112227E+04   0.333894E-01   0.372889E-03   0.199021E+01
    35   0.113949E+04   0.367578E-01   0.395178E-03   0.198150E+01
    36   0.115688E+04   0.402968E-01   0.418128E-03   0.195830E+01
    37   0.117436E+04   0.440525E-01   0.441741E-03   0.192190E+01
    38   0.119216E+04   0.480719E-01   0.466015E-03   0.187551E+01
    39   0.121027E+04   0.523557E-01   0.490951E-03   0.182021E+01
    40   0.122846E+04   0.568989E-01   0.516548E-03   0.175632E+01
    41   0.124688E+04   0.617040E-01   0.542806E-03   0.168389E+01
    42   0.126531E+04   0.667842E-01   0.569724E-03   0.160267E+01
    43   0.128388E+04   0.721552E-01   0.597300E-03   0.151235E+01
    44   0.130246E+04   0.778180E-01   0.625535E-03   0.141353E+01
    45   0.132141E+04   0.837838E-01   0.654427E-03   0.130687E+01
    46   0.134065E+04   0.900602E-01   0.683976E-03   0.119066E+01
    47   0.136004E+04   0.966264E-01   0.714179E-03   0.106355E+01
    48   0.137949E+04   0.103462E+00   0.745036E-03   0.926954E+00
    49   0.139908E+04   0.110524E+00   0.776546E-03   0.781685E+00
    50   0.141904E+04   0.117761E+00   0.808707E-03   0.621773E+00
    51   0.143913E+04   0.125131E+00   0.841519E-03   0.440810E+00
    52   0.145958E+04   0.132745E+00   0.874979E-03   0.236280E+00
    53   0.148003E+04   0.140788E+00   0.909087E-03   0.848410E-02
    54   0.150040E+04   0.149288E+00   0.943842E-03  -0.234306E+00
    55   0.152092E+04   0.158262E+00   0.979242E-03  -0.483704E+00
    56   0.154182E+04   0.167587E+00   0.101529E-02  -0.738465E+00
    57   0.156302E+04   0.177132E+00   0.105197E-02  -0.999604E+00
    58   0.158454E+04   0.186865E+00   0.108931E-02  -0.126994E+01
    59   0.160623E+04   0.196785E+00   0.112728E-02  -0.155230E+01
    60   0.162808E+04   0.206908E+00   0.116589E-02  -0.184809E+01
    61   0.165040E+04   0.217300E+00   0.120515E-02  -0.215816E+01
    62   0.167260E+04   0.227971E+00   0.124505E-02  -0.248356E+01
    63   0.169489E+04   0.238918E+00   0.128558E-02  -0.282502E+01
    64   0.171756E+04   0.250189E+00   0.132676E-02  -0.318346E+01
    65   0.174024E+04   0.261795E+00   0.136858E-02  -0.355924E+01
    66   0.176323E+04   0.273695E+00   0.141104E-02  -0.395017E+01
    67   0.178636E+04   0.285879E+00   0.145415E-02  -0.435305E+01
    68   0.180993E+04   0.298364E+00   0.149789E-02  -0.476569E+01
    69   0.183372E+04   0.311089E+00   0.154228E-02  -0.518584E+01
    70   0.185787E+04   0.324070E+00   0.158732E-02  -0.561467E+01
    71   0.188223E+04   0.337282E+00   0.163300E-02  -0.605428E+01
    72   0.190680E+04   0.350710E+00   0.167933E-02  -0.650663E+01
    73   0.193151E+04   0.364337E+00   0.172632E-02  -0.697314E+01
    74   0.195636E+04   0.378171E+00   0.177395E-02  -0.745373E+01
    75   0.198144E+04   0.392240E+00   0.182224E-02  -0.794775E+01
    76   0.200666E+04   0.406558E+00   0.187118E-02  -0.845512E+01
    77   0.203212E+04   0.421110E+00   0.192079E-02  -0.897525E+01
    78   0.205788E+04   0.435909E+00   0.197105E-02  -0.950890E+01
    79   0.208380E+04   0.450889E+00   0.202198E-02  -0.100516E+02
    80   0.211004E+04   0.466039E+00   0.207358E-02  -0.106041E+02
    81   0.213652E+04   0.481300E+00   0.212584E-02  -0.111664E+02
    82   0.216331E+04   0.496686E+00   0.217878E-02  -0.117375E+02
    83   0.219034E+04   0.512169E+00   0.223240E-02  -0.123173E+02
    84   0.221768E+04   0.527740E+00   0.228670E-02  -0.129040E+02
    85   0.224518E+04   0.543369E+00   0.234168E-02  -0.134988E+02
    86   0.227291E+04   0.559064E+00   0.239734E-02  -0.141009E+02
    87   0.230108E+04   0.574788E+00   0.245370E-02  -0.147093E+02
    88   0.232926E+04   0.590547E+00   0.251075E-02  -0.153237E+02
    89   0.235781E+04   0.606319E+00   0.256850E-02  -0.159455E+02
    90   0.238658E+04   0.622059E+00   0.262695E-02  -0.165713E+02
    91   0.241548E+04   0.637755E+00   0.268611E-02  -0.172018E+02
    92   0.244468E+04   0.653392E+00   0.274597E-02  -0.178364E+02
    93   0.247417E+04   0.668966E+00   0.280655E-02  -0.184750E+02
    94   0.250373E+04   0.684444E+00   0.286784E-02  -0.191164E+02
    95   0.253358E+04   0.699829E+00   0.292985E-02  -0.197614E+02
    96   0.256343E+04   0.715108E+00   0.299259E-02  -0.204093E+02
    97   0.259373E+04   0.730271E+00   0.305605E-02  -0.210594E+02
    98   0.262424E+04   0.745313E+00   0.312024E-02  -0.217098E+02
    99   0.265483E+04   0.760199E+00   0.318517E-02  -0.223633E+02
   100   0.268572E+04   0.774934E+00   0.325084E-02  -0.230158E+02
   101   0.271675E+04   0.789580E+00   0.331725E-02  -0.236702E+02
   102   0.274831E+04   0.803991E+00   0.338440E-02  -0.243245E+02
   103   0.277980E+04   0.818245E+00   0.345231E-02  -0.249794E+02
   104   0.281152E+04   0.832346E+00   0.352097E-02  -0.256322E+02
   105   0.284339E+04   0.846221E+00   0.359038E-02  -0.262844E+02
   106   0.287549E+04   0.859949E+00   0.366056E-02  -0.269353E+02
   107   0.290752E+04   0.873385E+00   0.373150E-02  -0.275836E+02
   108   0.293993E+04   0.886605E+00   0.380321E-02  -0.282301E+02
   109   0.297250E+04   0.899538E+00   0.387569E-02  -0.288735E+02
   110   0.300515E+04   0.912189E+00   0.394895E-02  -0.295124E+02
   111   0.303796E+04   0.924633E+00   0.402300E-02  -0.301482E+02
   112   0.307094E+04   0.936796E+00   0.409782E-02  -0.307803E+02
   113   0.310414E+04   0.948676E+00   0.417344E-02  -0.314071E+02
   114   0.313743E+04   0.960199E+00   0.424985E-02  -0.320278E+02
   115   0.317095E+04   0.971510E+00   0.432706E-02  -0.326423E+02
   116   0.320447E+04   0.982387E+00   0.440507E-02  -0.332497E+02
   117   0.323831E+04   0.992902E+00   0.448390E-02  -0.338493E+02
   118   0.327229E+04   0.100320E+01   0.456353E-02  -0.344418E+02
   119   0.330629E+04   0.101314E+01   0.464399E-02  -0.350248E+02
   120   0.334044E+04   0.102256E+01   0.472526E-02  -0.355982E+02
   121   0.337459E+04   0.103176E+01   0.480737E-02  -0.361621E+02
   122   0.340883E+04   0.104045E+01   0.489032E-02  -0.367155E+02
   123   0.344314E+04   0.104869E+01   0.497410E-02  -0.372585E+02
   124   0.347753E+04   0.105656E+01   0.505873E-02  -0.377879E+02
   125   0.351193E+04   0.106399E+01   0.514422E-02  -0.383060E+02
   126   0.354640E+04   0.107104E+01   0.523056E-02  -0.388119E+02
