#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.112152E+00   0.225320E+07   0.223991E+07   0.894001E+01  -0.448075E+01   0.000000E+00   0.225114E+07   0.225114E+07   0.225114E+07  -0.535057E-01   0.118022E+07   0.118006E+07   0.477065E+00
   0.117515E+00   0.215505E+07   0.214392E+07   0.778903E+01  -0.390369E+01   0.000000E+00   0.215333E+07   0.215333E+07   0.215333E+07  -0.511808E-01   0.112893E+07   0.112879E+07   0.392723E+00
   0.122878E+00   0.206763E+07   0.205843E+07   0.683590E+01  -0.342586E+01   0.000000E+00   0.206621E+07   0.206621E+07   0.206621E+07  -0.491101E-01   0.108325E+07   0.108313E+07   0.324639E+00
   0.128241E+00   0.198206E+07   0.197423E+07   0.601691E+01  -0.301534E+01   0.000000E+00   0.198085E+07   0.198085E+07   0.198085E+07  -0.470813E-01   0.103850E+07   0.103840E+07   0.277090E+00
   0.133604E+00   0.189284E+07   0.188571E+07   0.529419E+01  -0.265313E+01   0.000000E+00   0.189174E+07   0.189174E+07   0.189174E+07  -0.449632E-01   0.991783E+06   0.991683E+06   0.249351E+00
   0.138967E+00   0.179857E+07   0.179149E+07   0.464956E+01  -0.233012E+01   0.000000E+00   0.179747E+07   0.179747E+07   0.179747E+07  -0.427227E-01   0.942363E+06   0.942264E+06   0.236886E+00
   0.144330E+00   0.170156E+07   0.169411E+07   0.407760E+01  -0.204354E+01   0.000000E+00   0.170040E+07   0.170040E+07   0.170040E+07  -0.404156E-01   0.891474E+06   0.891373E+06   0.233225E+00
   0.149694E+00   0.160611E+07   0.159815E+07   0.357764E+01  -0.179304E+01   0.000000E+00   0.160488E+07   0.160488E+07   0.160488E+07  -0.381452E-01   0.841396E+06   0.841292E+06   0.231865E+00
   0.155057E+00   0.151686E+07   0.150848E+07   0.314879E+01  -0.157817E+01   0.000000E+00   0.151556E+07   0.151556E+07   0.151556E+07  -0.360222E-01   0.794570E+06   0.794464E+06   0.227775E+00
   0.160420E+00   0.143776E+07   0.142924E+07   0.278817E+01  -0.139745E+01   0.000000E+00   0.143644E+07   0.143644E+07   0.143644E+07  -0.341417E-01   0.753090E+06   0.752985E+06   0.218253E+00
   0.165783E+00   0.137113E+07   0.136284E+07   0.248965E+01  -0.124784E+01   0.000000E+00   0.136985E+07   0.136985E+07   0.136985E+07  -0.325589E-01   0.718176E+06   0.718075E+06   0.203016E+00
   0.171146E+00   0.131665E+07   0.130891E+07   0.224331E+01  -0.112435E+01   0.000000E+00   0.131545E+07   0.131545E+07   0.131545E+07  -0.312659E-01   0.689655E+06   0.689561E+06   0.183654E+00
   0.176509E+00   0.127160E+07   0.126462E+07   0.203705E+01  -0.102095E+01   0.000000E+00   0.127052E+07   0.127052E+07   0.127052E+07  -0.301979E-01   0.666098E+06   0.666012E+06   0.162768E+00
   0.181872E+00   0.123232E+07   0.122614E+07   0.185959E+01  -0.931979E+00   0.000000E+00   0.123136E+07   0.123136E+07   0.123136E+07  -0.292673E-01   0.645570E+06   0.645492E+06   0.143084E+00
   0.187235E+00   0.119538E+07   0.118991E+07   0.170213E+01  -0.853043E+00   0.000000E+00   0.119453E+07   0.119453E+07   0.119453E+07  -0.283919E-01   0.626261E+06   0.626190E+06   0.126727E+00
   0.192598E+00   0.115805E+07   0.115307E+07   0.155849E+01  -0.781046E+00   0.000000E+00   0.115728E+07   0.115728E+07   0.115728E+07  -0.275064E-01   0.606727E+06   0.606660E+06   0.114780E+00
   0.197961E+00   0.111862E+07   0.111390E+07   0.142499E+01  -0.714139E+00   0.000000E+00   0.111789E+07   0.111789E+07   0.111789E+07  -0.265703E-01   0.586079E+06   0.586015E+06   0.107207E+00
   0.203324E+00   0.107689E+07   0.107221E+07   0.130038E+01  -0.651697E+00   0.000000E+00   0.107616E+07   0.107616E+07   0.107616E+07  -0.255785E-01   0.564203E+06   0.564140E+06   0.103075E+00
   0.208687E+00   0.103400E+07   0.102922E+07   0.118518E+01  -0.593972E+00   0.000000E+00   0.103326E+07   0.103326E+07   0.103326E+07  -0.245588E-01   0.541710E+06   0.541647E+06   0.100961E+00
   0.214050E+00   0.991779E+06   0.986850E+06   0.108046E+01  -0.541503E+00   0.000000E+00   0.991016E+06   0.991016E+06   0.991016E+06  -0.235547E-01   0.519563E+06   0.519499E+06   0.993833E-01
   0.219414E+00   0.951999E+06   0.946961E+06   0.986982E+00  -0.494663E+00   0.000000E+00   0.951220E+06   0.951220E+06   0.951220E+06  -0.226088E-01   0.498699E+06   0.498635E+06   0.971562E-01
   0.224777E+00   0.915989E+06   0.910944E+06   0.904836E+00  -0.453498E+00   0.000000E+00   0.915208E+06   0.915208E+06   0.915208E+06  -0.217529E-01   0.479819E+06   0.479756E+06   0.936108E-01
   0.230140E+00   0.884400E+06   0.879474E+06   0.833380E+00  -0.417685E+00   0.000000E+00   0.883638E+06   0.883638E+06   0.883638E+06  -0.210025E-01   0.463268E+06   0.463207E+06   0.886424E-01
   0.235503E+00   0.857097E+06   0.852404E+06   0.771300E+00  -0.386569E+00   0.000000E+00   0.856371E+06   0.856371E+06   0.856371E+06  -0.203544E-01   0.448972E+06   0.448914E+06   0.826118E-01
   0.240866E+00   0.833278E+06   0.828890E+06   0.716873E+00  -0.359286E+00   0.000000E+00   0.832599E+06   0.832599E+06   0.832599E+06  -0.197894E-01   0.436509E+06   0.436454E+06   0.761544E-01
   0.246229E+00   0.811759E+06   0.807694E+06   0.668303E+00  -0.334938E+00   0.000000E+00   0.811130E+06   0.811130E+06   0.811130E+06  -0.192791E-01   0.425253E+06   0.425202E+06   0.699600E-01
   0.251592E+00   0.791264E+06   0.787487E+06   0.623981E+00  -0.312720E+00   0.000000E+00   0.790680E+06   0.790680E+06   0.790680E+06  -0.187930E-01   0.414531E+06   0.414483E+06   0.645844E-01
   0.256955E+00   0.770711E+06   0.767153E+06   0.582684E+00  -0.292021E+00   0.000000E+00   0.770161E+06   0.770161E+06   0.770161E+06  -0.183053E-01   0.403774E+06   0.403727E+06   0.603342E-01
   0.262318E+00   0.749502E+06   0.746078E+06   0.543721E+00  -0.272494E+00   0.000000E+00   0.748973E+06   0.748973E+06   0.748973E+06  -0.178017E-01   0.392665E+06   0.392620E+06   0.572398E-01
   0.267681E+00   0.727632E+06   0.724264E+06   0.506909E+00  -0.254046E+00   0.000000E+00   0.727111E+06   0.727111E+06   0.727111E+06  -0.172821E-01   0.381204E+06   0.381160E+06   0.550991E-01
   0.273044E+00   0.705516E+06   0.702152E+06   0.472371E+00  -0.236739E+00   0.000000E+00   0.704995E+06   0.704995E+06   0.704995E+06  -0.167565E-01   0.369610E+06   0.369566E+06   0.535654E-01
   0.278407E+00   0.683731E+06   0.680350E+06   0.440303E+00  -0.220670E+00   0.000000E+00   0.683208E+06   0.683208E+06   0.683208E+06  -0.162386E-01   0.358187E+06   0.358143E+06   0.522546E-01
   0.283771E+00   0.662862E+06   0.659474E+06   0.410869E+00  -0.205920E+00   0.000000E+00   0.662338E+06   0.662338E+06   0.662338E+06  -0.157426E-01   0.347246E+06   0.347202E+06   0.508435E-01
   0.289134E+00   0.643419E+06   0.640056E+06   0.384151E+00  -0.192531E+00   0.000000E+00   0.642899E+06   0.642899E+06   0.642899E+06  -0.152805E-01   0.337054E+06   0.337012E+06   0.491356E-01
   0.294497E+00   0.625705E+06   0.622409E+06   0.360090E+00  -0.180472E+00   0.000000E+00   0.625195E+06   0.625195E+06   0.625195E+06  -0.148598E-01   0.327773E+06   0.327731E+06   0.470796E-01
   0.299860E+00   0.609704E+06   0.606516E+06   0.338445E+00  -0.169623E+00   0.000000E+00   0.609211E+06   0.609211E+06   0.609211E+06  -0.144799E-01   0.319393E+06   0.319352E+06   0.447491E-01
   0.305223E+00   0.595123E+06   0.592068E+06   0.318850E+00  -0.159802E+00   0.000000E+00   0.594651E+06   0.594651E+06   0.594651E+06  -0.141338E-01   0.311759E+06   0.311720E+06   0.422982E-01
   0.310586E+00   0.581542E+06   0.578628E+06   0.300913E+00  -0.150811E+00   0.000000E+00   0.581092E+06   0.581092E+06   0.581092E+06  -0.138115E-01   0.304650E+06   0.304613E+06   0.399082E-01
   0.315949E+00   0.568540E+06   0.565757E+06   0.284289E+00  -0.142478E+00   0.000000E+00   0.568109E+06   0.568109E+06   0.568109E+06  -0.135029E-01   0.297844E+06   0.297808E+06   0.377362E-01
   0.321312E+00   0.555752E+06   0.553079E+06   0.268700E+00  -0.134665E+00   0.000000E+00   0.555338E+06   0.555338E+06   0.555338E+06  -0.131994E-01   0.291149E+06   0.291114E+06   0.358791E-01
   0.326675E+00   0.542933E+06   0.540339E+06   0.253955E+00  -0.127275E+00   0.000000E+00   0.542532E+06   0.542532E+06   0.542532E+06  -0.128950E-01   0.284434E+06   0.284401E+06   0.343601E-01
   0.332038E+00   0.530014E+06   0.527472E+06   0.239967E+00  -0.120265E+00   0.000000E+00   0.529621E+06   0.529621E+06   0.529621E+06  -0.125881E-01   0.277665E+06   0.277632E+06   0.331367E-01
   0.337401E+00   0.517101E+06   0.514590E+06   0.226735E+00  -0.113633E+00   0.000000E+00   0.516713E+06   0.516713E+06   0.516713E+06  -0.122813E-01   0.270898E+06   0.270866E+06   0.321230E-01
   0.342764E+00   0.504397E+06   0.501907E+06   0.214294E+00  -0.107399E+00   0.000000E+00   0.504011E+06   0.504011E+06   0.504011E+06  -0.119794E-01   0.264239E+06   0.264207E+06   0.312161E-01
   0.348127E+00   0.492112E+06   0.489644E+06   0.202680E+00  -0.101579E+00   0.000000E+00   0.491730E+06   0.491730E+06   0.491730E+06  -0.116875E-01   0.257801E+06   0.257769E+06   0.303228E-01
   0.353491E+00   0.480421E+06   0.477982E+06   0.191904E+00  -0.961784E-01   0.000000E+00   0.480043E+06   0.480043E+06   0.480043E+06  -0.114098E-01   0.251674E+06   0.251642E+06   0.293795E-01
   0.358854E+00   0.469429E+06   0.467034E+06   0.181950E+00  -0.911897E-01   0.000000E+00   0.469059E+06   0.469059E+06   0.469059E+06  -0.111487E-01   0.245915E+06   0.245884E+06   0.283611E-01
   0.364217E+00   0.459152E+06   0.456813E+06   0.172764E+00  -0.865860E-01   0.000000E+00   0.458790E+06   0.458790E+06   0.458790E+06  -0.109046E-01   0.240531E+06   0.240501E+06   0.272782E-01
   0.369580E+00   0.449510E+06   0.447237E+06   0.164264E+00  -0.823257E-01   0.000000E+00   0.449158E+06   0.449158E+06   0.449158E+06  -0.106757E-01   0.235481E+06   0.235452E+06   0.261668E-01
   0.374943E+00   0.440366E+06   0.438162E+06   0.156353E+00  -0.783608E-01   0.000000E+00   0.440025E+06   0.440025E+06   0.440025E+06  -0.104586E-01   0.230693E+06   0.230665E+06   0.250744E-01
   0.380306E+00   0.431575E+06   0.429439E+06   0.148942E+00  -0.746463E-01   0.000000E+00   0.431244E+06   0.431244E+06   0.431244E+06  -0.102499E-01   0.226089E+06   0.226062E+06   0.240459E-01
   0.385669E+00   0.423009E+06   0.420934E+06   0.141955E+00  -0.711445E-01   0.000000E+00   0.422688E+06   0.422688E+06   0.422688E+06  -0.100465E-01   0.221604E+06   0.221577E+06   0.231127E-01
   0.391032E+00   0.414570E+06   0.412544E+06   0.135334E+00  -0.678258E-01   0.000000E+00   0.414256E+06   0.414256E+06   0.414256E+06  -0.984613E-02   0.217183E+06   0.217157E+06   0.222868E-01
   0.396395E+00   0.406204E+06   0.404220E+06   0.129039E+00  -0.646711E-01   0.000000E+00   0.405897E+06   0.405897E+06   0.405897E+06  -0.964745E-02   0.212801E+06   0.212775E+06   0.215612E-01
   0.401758E+00   0.397927E+06   0.395974E+06   0.123057E+00  -0.616729E-01   0.000000E+00   0.397624E+06   0.397624E+06   0.397624E+06  -0.945082E-02   0.208464E+06   0.208438E+06   0.209148E-01
   0.407121E+00   0.389799E+06   0.387874E+06   0.117388E+00  -0.588319E-01   0.000000E+00   0.389501E+06   0.389501E+06   0.389501E+06  -0.925775E-02   0.204205E+06   0.204180E+06   0.203202E-01
   0.412484E+00   0.381896E+06   0.379995E+06   0.112035E+00  -0.561496E-01   0.000000E+00   0.381602E+06   0.381602E+06   0.381602E+06  -0.906998E-02   0.200063E+06   0.200039E+06   0.197500E-01
   0.417848E+00   0.374267E+06   0.372394E+06   0.106996E+00  -0.536242E-01   0.000000E+00   0.373977E+06   0.373977E+06   0.373977E+06  -0.888876E-02   0.196066E+06   0.196042E+06   0.191830E-01
   0.423211E+00   0.366944E+06   0.365101E+06   0.102261E+00  -0.512508E-01   0.000000E+00   0.366658E+06   0.366658E+06   0.366658E+06  -0.871481E-02   0.192229E+06   0.192205E+06   0.186078E-01
   0.428574E+00   0.359944E+06   0.358136E+06   0.978152E-01  -0.490229E-01   0.000000E+00   0.359664E+06   0.359664E+06   0.359664E+06  -0.854858E-02   0.188562E+06   0.188539E+06   0.180236E-01
   0.433937E+00   0.353261E+06   0.351491E+06   0.936411E-01  -0.469309E-01   0.000000E+00   0.352988E+06   0.352988E+06   0.352988E+06  -0.838988E-02   0.185062E+06   0.185039E+06   0.174378E-01
   0.439300E+00   0.346852E+06   0.345121E+06   0.897113E-01  -0.449613E-01   0.000000E+00   0.346584E+06   0.346584E+06   0.346584E+06  -0.823769E-02   0.181705E+06   0.181682E+06   0.168624E-01
   0.444663E+00   0.340654E+06   0.338962E+06   0.859961E-01  -0.430992E-01   0.000000E+00   0.340392E+06   0.340392E+06   0.340392E+06  -0.809051E-02   0.178458E+06   0.178437E+06   0.163093E-01
   0.450026E+00   0.334619E+06   0.332963E+06   0.824715E-01  -0.413327E-01   0.000000E+00   0.334363E+06   0.334363E+06   0.334363E+06  -0.794720E-02   0.175297E+06   0.175276E+06   0.157885E-01
   0.455389E+00   0.328719E+06   0.327097E+06   0.791205E-01  -0.396533E-01   0.000000E+00   0.328468E+06   0.328468E+06   0.328468E+06  -0.780710E-02   0.172207E+06   0.172186E+06   0.153053E-01
   0.460752E+00   0.322933E+06   0.321341E+06   0.759291E-01  -0.380538E-01   0.000000E+00   0.322687E+06   0.322687E+06   0.322687E+06  -0.766969E-02   0.169176E+06   0.169155E+06   0.148595E-01
   0.466115E+00   0.317247E+06   0.315681E+06   0.728853E-01  -0.365284E-01   0.000000E+00   0.317004E+06   0.317004E+06   0.317004E+06  -0.753463E-02   0.166197E+06   0.166177E+06   0.144462E-01
   0.471478E+00   0.311664E+06   0.310121E+06   0.699827E-01  -0.350737E-01   0.000000E+00   0.311425E+06   0.311425E+06   0.311425E+06  -0.740202E-02   0.163272E+06   0.163252E+06   0.140579E-01
   0.476841E+00   0.306210E+06   0.304691E+06   0.672200E-01  -0.336891E-01   0.000000E+00   0.305975E+06   0.305975E+06   0.305975E+06  -0.727248E-02   0.160414E+06   0.160395E+06   0.136868E-01
   0.482204E+00   0.300912E+06   0.299415E+06   0.645956E-01  -0.323738E-01   0.000000E+00   0.300680E+06   0.300680E+06   0.300680E+06  -0.714663E-02   0.157638E+06   0.157619E+06   0.133262E-01
