#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.151909E+04   0.157321E+00   0.000000E+00  -0.474714E+00   0.140739E-06   0.768458E-03  -0.120589E-06
    56   0.153991E+04   0.166613E+00   0.000000E+00  -0.729241E+00   0.140120E-06   0.754382E-03  -0.370953E-06
    57   0.156105E+04   0.176124E+00   0.000000E+00  -0.990150E+00   0.139489E-06   0.740752E-03  -0.613136E-06
    58   0.158249E+04   0.185822E+00   0.000000E+00  -0.126025E+01   0.138846E-06   0.727545E-03  -0.827708E-06
    59   0.160410E+04   0.195708E+00   0.000000E+00  -0.154238E+01   0.138193E-06   0.714742E-03  -0.995268E-06
    60   0.162588E+04   0.205795E+00   0.000000E+00  -0.183795E+01   0.137530E-06   0.702321E-03  -0.109645E-05
    61   0.164813E+04   0.216151E+00   0.000000E+00  -0.214780E+01   0.136858E-06   0.690260E-03  -0.111774E-05
    62   0.167025E+04   0.226786E+00   0.000000E+00  -0.247298E+01   0.136178E-06   0.678534E-03  -0.106903E-05
    63   0.169246E+04   0.237697E+00   0.000000E+00  -0.281421E+01   0.135491E-06   0.667119E-03  -0.966024E-06
    64   0.171506E+04   0.248931E+00   0.000000E+00  -0.317244E+01   0.134798E-06   0.655989E-03  -0.824377E-06
    65   0.173767E+04   0.260500E+00   0.000000E+00  -0.354801E+01   0.134098E-06   0.645118E-03  -0.659741E-06
    66   0.176057E+04   0.272363E+00   0.000000E+00  -0.393875E+01   0.133393E-06   0.634481E-03  -0.487735E-06
    67   0.178363E+04   0.284509E+00   0.000000E+00  -0.434145E+01   0.132684E-06   0.624055E-03  -0.323957E-06
    68   0.180713E+04   0.296957E+00   0.000000E+00  -0.475392E+01   0.131971E-06   0.613812E-03  -0.183987E-06
    69   0.183084E+04   0.309643E+00   0.000000E+00  -0.517392E+01   0.131255E-06   0.603730E-03  -0.833819E-07
    70   0.185491E+04   0.322586E+00   0.000000E+00  -0.560261E+01   0.130536E-06   0.593782E-03  -0.376852E-07
    71   0.187919E+04   0.335759E+00   0.000000E+00  -0.604212E+01   0.129815E-06   0.583952E-03  -0.579205E-07
    72   0.190369E+04   0.349147E+00   0.000000E+00  -0.649438E+01   0.129094E-06   0.574256E-03  -0.137102E-06
    73   0.192832E+04   0.362735E+00   0.000000E+00  -0.696082E+01   0.128370E-06   0.564716E-03  -0.263756E-06
    74   0.195309E+04   0.376529E+00   0.000000E+00  -0.744137E+01   0.127646E-06   0.555357E-03  -0.426424E-06
    75   0.197809E+04   0.390557E+00   0.000000E+00  -0.793537E+01   0.126921E-06   0.546200E-03  -0.613662E-06
    76   0.200324E+04   0.404835E+00   0.000000E+00  -0.844274E+01   0.126195E-06   0.537270E-03  -0.814038E-06
    77   0.202862E+04   0.419345E+00   0.000000E+00  -0.896290E+01   0.125469E-06   0.528590E-03  -0.101613E-05
    78   0.205430E+04   0.434102E+00   0.000000E+00  -0.949658E+01   0.124743E-06   0.520182E-03  -0.120854E-05
    79   0.208015E+04   0.449039E+00   0.000000E+00  -0.100393E+02   0.124016E-06   0.512071E-03  -0.137987E-05
    80   0.210631E+04   0.464146E+00   0.000000E+00  -0.105919E+02   0.123290E-06   0.504279E-03  -0.151873E-05
    81   0.213271E+04   0.479363E+00   0.000000E+00  -0.111543E+02   0.122564E-06   0.496821E-03  -0.161638E-05
    82   0.215943E+04   0.494705E+00   0.000000E+00  -0.117256E+02   0.121839E-06   0.489680E-03  -0.167466E-05
    83   0.218639E+04   0.510142E+00   0.000000E+00  -0.123055E+02   0.121115E-06   0.482828E-03  -0.169805E-05
    84   0.221366E+04   0.525667E+00   0.000000E+00  -0.128923E+02   0.120392E-06   0.476240E-03  -0.169101E-05
    85   0.224109E+04   0.541250E+00   0.000000E+00  -0.134874E+02   0.119671E-06   0.469890E-03  -0.165801E-05
    86   0.226874E+04   0.556898E+00   0.000000E+00  -0.140897E+02   0.118951E-06   0.463750E-03  -0.160351E-05
    87   0.229685E+04   0.572574E+00   0.000000E+00  -0.146984E+02   0.118233E-06   0.457795E-03  -0.153196E-05
    88   0.232496E+04   0.588284E+00   0.000000E+00  -0.153131E+02   0.117518E-06   0.451998E-03  -0.144780E-05
    89   0.235343E+04   0.604008E+00   0.000000E+00  -0.159351E+02   0.116805E-06   0.446333E-03  -0.135550E-05
