#    L    TT             EE             BB             TE          
    91   0.241345E+04   0.637610E+00   0.271411E-02  -0.171862E+02
    92   0.244260E+04   0.653234E+00   0.277460E-02  -0.178203E+02
    93   0.247205E+04   0.668795E+00   0.283581E-02  -0.184585E+02
    94   0.250156E+04   0.684259E+00   0.289775E-02  -0.190993E+02
    95   0.253137E+04   0.699630E+00   0.296041E-02  -0.197438E+02
    96   0.256118E+04   0.714894E+00   0.302380E-02  -0.203911E+02
    97   0.259143E+04   0.730042E+00   0.308793E-02  -0.210408E+02
    98   0.262190E+04   0.745068E+00   0.315279E-02  -0.216906E+02
    99   0.265244E+04   0.759939E+00   0.321840E-02  -0.223436E+02
   100   0.268329E+04   0.774657E+00   0.328476E-02  -0.229955E+02
   101   0.271428E+04   0.789286E+00   0.335186E-02  -0.236493E+02
   102   0.274580E+04   0.803681E+00   0.341972E-02  -0.243030E+02
   103   0.277724E+04   0.817917E+00   0.348833E-02  -0.249573E+02
   104   0.280891E+04   0.832000E+00   0.355771E-02  -0.256095E+02
   105   0.284074E+04   0.845857E+00   0.362785E-02  -0.262610E+02
   106   0.287279E+04   0.859567E+00   0.369876E-02  -0.269113E+02
   107   0.290478E+04   0.872984E+00   0.377044E-02  -0.275589E+02
   108   0.293714E+04   0.886184E+00   0.384290E-02  -0.282048E+02
   109   0.296966E+04   0.899099E+00   0.391614E-02  -0.288475E+02
   110   0.300227E+04   0.911730E+00   0.399016E-02  -0.294857E+02
   111   0.303504E+04   0.924154E+00   0.406498E-02  -0.301209E+02
   112   0.306796E+04   0.936297E+00   0.414058E-02  -0.307523E+02
   113   0.310112E+04   0.948157E+00   0.421699E-02  -0.313784E+02
   114   0.313436E+04   0.959658E+00   0.429419E-02  -0.319983E+02
   115   0.316783E+04   0.970949E+00   0.437220E-02  -0.326120E+02
   116   0.320131E+04   0.981804E+00   0.445103E-02  -0.332187E+02
   117   0.323510E+04   0.992297E+00   0.453067E-02  -0.338175E+02
   118   0.326904E+04   0.100258E+01   0.461113E-02  -0.344092E+02
   119   0.330298E+04   0.101249E+01   0.469242E-02  -0.349914E+02
   120   0.333709E+04   0.102189E+01   0.477453E-02  -0.355641E+02
   121   0.337119E+04   0.103107E+01   0.485749E-02  -0.361271E+02
   122   0.340538E+04   0.103973E+01   0.494129E-02  -0.366797E+02
   123   0.343964E+04   0.104795E+01   0.502594E-02  -0.372219E+02
   124   0.347399E+04   0.105580E+01   0.511145E-02  -0.377504E+02
   125   0.350833E+04   0.106320E+01   0.519781E-02  -0.382676E+02
   126   0.354276E+04   0.107023E+01   0.528505E-02  -0.387726E+02
   127   0.357718E+04   0.107673E+01   0.537316E-02  -0.392646E+02
   128   0.361161E+04   0.108286E+01   0.546215E-02  -0.397428E+02
   129   0.364611E+04   0.108847E+01   0.555203E-02  -0.402063E+02
   130   0.368061E+04   0.109354E+01   0.564280E-02  -0.406544E+02
   131   0.371512E+04   0.109824E+01   0.573448E-02  -0.410884E+02
   132   0.374970E+04   0.110240E+01   0.582707E-02  -0.415055E+02
   133   0.378420E+04   0.110612E+01   0.592057E-02  -0.419078E+02
   134   0.381871E+04   0.110938E+01   0.601500E-02  -0.422910E+02
   135   0.385322E+04   0.111211E+01   0.611037E-02  -0.426579E+02
   136   0.388758E+04   0.111431E+01   0.620668E-02  -0.430050E+02
   137   0.392194E+04   0.111606E+01   0.630393E-02  -0.433345E+02
   138   0.395623E+04   0.111728E+01   0.640215E-02  -0.436448E+02
   139   0.399031E+04   0.111813E+01   0.650132E-02  -0.439354E+02
   140   0.402446E+04   0.111837E+01   0.660148E-02  -0.442069E+02
   141   0.405839E+04   0.111808E+01   0.670261E-02  -0.444571E+02
   142   0.409233E+04   0.111734E+01   0.680473E-02  -0.446868E+02
   143   0.412620E+04   0.111614E+01   0.690785E-02  -0.448960E+02
   144   0.415985E+04   0.111442E+01   0.701197E-02  -0.450840E+02
   145   0.419335E+04   0.111232E+01   0.711711E-02  -0.452501E+02
   146   0.422694E+04   0.110961E+01   0.722326E-02  -0.453943E+02
