#    L    TT             EE             BB             TE          
    91   0.241345E+04   0.637611E+00   0.271457E-02  -0.171862E+02
    92   0.244260E+04   0.653235E+00   0.277507E-02  -0.178203E+02
    93   0.247205E+04   0.668796E+00   0.283629E-02  -0.184585E+02
    94   0.250156E+04   0.684260E+00   0.289824E-02  -0.190993E+02
    95   0.253137E+04   0.699631E+00   0.296091E-02  -0.197438E+02
    96   0.256118E+04   0.714895E+00   0.302431E-02  -0.203911E+02
    97   0.259143E+04   0.730043E+00   0.308845E-02  -0.210408E+02
    98   0.262190E+04   0.745069E+00   0.315333E-02  -0.216906E+02
    99   0.265245E+04   0.759940E+00   0.321895E-02  -0.223436E+02
   100   0.268329E+04   0.774658E+00   0.328531E-02  -0.229955E+02
   101   0.271428E+04   0.789287E+00   0.335243E-02  -0.236493E+02
   102   0.274580E+04   0.803682E+00   0.342029E-02  -0.243030E+02
   103   0.277724E+04   0.817919E+00   0.348892E-02  -0.249573E+02
   104   0.280891E+04   0.832001E+00   0.355831E-02  -0.256095E+02
   105   0.284074E+04   0.845859E+00   0.362846E-02  -0.262610E+02
   106   0.287279E+04   0.859568E+00   0.369938E-02  -0.269113E+02
   107   0.290478E+04   0.872985E+00   0.377107E-02  -0.275589E+02
   108   0.293714E+04   0.886186E+00   0.384354E-02  -0.282048E+02
   109   0.296966E+04   0.899100E+00   0.391680E-02  -0.288475E+02
   110   0.300227E+04   0.911731E+00   0.399083E-02  -0.294857E+02
   111   0.303504E+04   0.924155E+00   0.406566E-02  -0.301209E+02
   112   0.306796E+04   0.936298E+00   0.414127E-02  -0.307523E+02
   113   0.310112E+04   0.948158E+00   0.421769E-02  -0.313784E+02
   114   0.313436E+04   0.959660E+00   0.429491E-02  -0.319983E+02
   115   0.316783E+04   0.970950E+00   0.437293E-02  -0.326120E+02
   116   0.320131E+04   0.981806E+00   0.445177E-02  -0.332187E+02
   117   0.323510E+04   0.992299E+00   0.453142E-02  -0.338175E+02
   118   0.326904E+04   0.100258E+01   0.461189E-02  -0.344092E+02
   119   0.330299E+04   0.101249E+01   0.469320E-02  -0.349914E+02
   120   0.333709E+04   0.102189E+01   0.477533E-02  -0.355641E+02
   121   0.337119E+04   0.103107E+01   0.485830E-02  -0.361271E+02
   122   0.340538E+04   0.103973E+01   0.494211E-02  -0.366797E+02
