#    L    TT             EE             TE             PP             TP          
    75   0.197809E+04   0.390557E+00  -0.793537E+01   0.576901E+07   0.916958E+04
    76   0.200324E+04   0.404835E+00  -0.844274E+01   0.573801E+07   0.902201E+04
    77   0.202862E+04   0.419345E+00  -0.896290E+01   0.570692E+07   0.887849E+04
    78   0.205430E+04   0.434102E+00  -0.949658E+01   0.567574E+07   0.873942E+04
    79   0.208015E+04   0.449039E+00  -0.100393E+02   0.564450E+07   0.860522E+04
    80   0.210631E+04   0.464146E+00  -0.105919E+02   0.561320E+07   0.847626E+04
    81   0.213271E+04   0.479363E+00  -0.111543E+02   0.558185E+07   0.835282E+04
    82   0.215943E+04   0.494705E+00  -0.117256E+02   0.555048E+07   0.823459E+04
    83   0.218639E+04   0.510142E+00  -0.123055E+02   0.551910E+07   0.812114E+04
    84   0.221366E+04   0.525667E+00  -0.128923E+02   0.548771E+07   0.801204E+04
    85   0.224109E+04   0.541250E+00  -0.134874E+02   0.545634E+07   0.790683E+04
    86   0.226874E+04   0.556898E+00  -0.140897E+02   0.542499E+07   0.780510E+04
    87   0.229685E+04   0.572574E+00  -0.146984E+02   0.539368E+07   0.770640E+04
    88   0.232496E+04   0.588284E+00  -0.153131E+02   0.536244E+07   0.761029E+04
    89   0.235343E+04   0.604008E+00  -0.159351E+02   0.533126E+07   0.751634E+04
    90   0.238213E+04   0.619699E+00  -0.165613E+02   0.530016E+07   0.742412E+04
    91   0.241097E+04   0.635344E+00  -0.171922E+02   0.526916E+07   0.733324E+04
    92   0.244010E+04   0.650931E+00  -0.178272E+02   0.523826E+07   0.724364E+04
    93   0.246953E+04   0.666455E+00  -0.184663E+02   0.520747E+07   0.715530E+04
    94   0.249902E+04   0.681881E+00  -0.191082E+02   0.517678E+07   0.706820E+04
    95   0.252881E+04   0.697213E+00  -0.197537E+02   0.514621E+07   0.698234E+04
    96   0.255860E+04   0.712440E+00  -0.204021E+02   0.511576E+07   0.689769E+04
    97   0.258883E+04   0.727550E+00  -0.210529E+02   0.508542E+07   0.681425E+04
    98   0.261928E+04   0.742538E+00  -0.217039E+02   0.505521E+07   0.673201E+04
    99   0.264981E+04   0.757370E+00  -0.223582E+02   0.502513E+07   0.665095E+04
   100   0.268064E+04   0.772050E+00  -0.230114E+02   0.499518E+07   0.657106E+04
   101   0.271162E+04   0.786640E+00  -0.236666E+02   0.496536E+07   0.649232E+04
   102   0.274313E+04   0.800994E+00  -0.243217E+02   0.493568E+07   0.641473E+04
   103   0.277456E+04   0.815191E+00  -0.249775E+02   0.490615E+07   0.633827E+04
   104   0.280623E+04   0.829234E+00  -0.256312E+02   0.487676E+07   0.626292E+04
   105   0.283805E+04   0.843050E+00  -0.262843E+02   0.484752E+07   0.618868E+04
   106   0.287010E+04   0.856719E+00  -0.269362E+02   0.481843E+07   0.611554E+04
   107   0.290208E+04   0.870093E+00  -0.275856E+02   0.478950E+07   0.604347E+04
   108   0.293444E+04   0.883252E+00  -0.282332E+02   0.476074E+07   0.597247E+04
   109   0.296697E+04   0.896123E+00  -0.288777E+02   0.473213E+07   0.590252E+04
   110   0.299958E+04   0.908710E+00  -0.295178E+02   0.470370E+07   0.583361E+04
   111   0.303235E+04   0.921089E+00  -0.301549E+02   0.467544E+07   0.576573E+04
   112   0.306528E+04   0.933186E+00  -0.307883E+02   0.464735E+07   0.569889E+04
   113   0.309844E+04   0.945000E+00  -0.314164E+02   0.461943E+07   0.563307E+04
   114   0.313169E+04   0.956454E+00  -0.320385E+02   0.459169E+07   0.556829E+04
   115   0.316518E+04   0.967695E+00  -0.326544E+02   0.456413E+07   0.550454E+04
   116   0.319867E+04   0.978501E+00  -0.332633E+02   0.453673E+07   0.544183E+04
   117   0.323247E+04   0.988943E+00  -0.338644E+02   0.450952E+07   0.538015E+04
   118   0.326643E+04   0.999169E+00  -0.344584E+02   0.448248E+07   0.531952E+04
   119   0.330039E+04   0.100903E+01  -0.350430E+02   0.445562E+07   0.525993E+04
   120   0.333452E+04   0.101837E+01  -0.356181E+02   0.442894E+07   0.520138E+04
   121   0.336865E+04   0.102749E+01  -0.361837E+02   0.440244E+07   0.514388E+04
   122   0.340286E+04   0.103610E+01  -0.367388E+02   0.437611E+07   0.508743E+04
   123   0.343715E+04   0.104426E+01  -0.372836E+02   0.434997E+07   0.503203E+04
   124   0.347152E+04   0.105204E+01  -0.378148E+02   0.432401E+07   0.497767E+04
   125   0.350590E+04   0.105938E+01  -0.383347E+02   0.429823E+07   0.492437E+04
   126   0.354035E+04   0.106634E+01  -0.388425E+02   0.427263E+07   0.487212E+04
   127   0.357482E+04   0.107278E+01  -0.393373E+02   0.424721E+07   0.482093E+04
   128   0.360928E+04   0.107883E+01  -0.398183E+02   0.422198E+07   0.477080E+04
   129   0.364382E+04   0.108436E+01  -0.402847E+02   0.419693E+07   0.472173E+04
   130   0.367837E+04   0.108936E+01  -0.407357E+02   0.417207E+07   0.467371E+04
   131   0.371291E+04   0.109398E+01  -0.411728E+02   0.414739E+07   0.462676E+04
   132   0.374754E+04   0.109806E+01  -0.415928E+02   0.412290E+07   0.458082E+04
   133   0.378209E+04   0.110169E+01  -0.419982E+02   0.409859E+07   0.453587E+04
   134   0.381665E+04   0.110487E+01  -0.423845E+02   0.407446E+07   0.449185E+04
   135   0.385121E+04   0.110751E+01  -0.427546E+02   0.405051E+07   0.444872E+04
   136   0.388563E+04   0.110962E+01  -0.431048E+02   0.402675E+07   0.440645E+04
   137   0.392005E+04   0.111127E+01  -0.434375E+02   0.400316E+07   0.436498E+04
   138   0.395440E+04   0.111239E+01  -0.437511E+02   0.397975E+07   0.432429E+04
   139   0.398854E+04   0.111312E+01  -0.440448E+02   0.395652E+07   0.428431E+04
   140   0.402275E+04   0.111326E+01  -0.443196E+02   0.393347E+07   0.424503E+04
   141   0.405675E+04   0.111286E+01  -0.445731E+02   0.391059E+07   0.420638E+04
   142   0.409076E+04   0.111200E+01  -0.448061E+02   0.388788E+07   0.416833E+04
   143   0.412470E+04   0.111068E+01  -0.450186E+02   0.386535E+07   0.413084E+04
   144   0.415842E+04   0.110883E+01  -0.452100E+02   0.384299E+07   0.409386E+04
   145   0.419200E+04   0.110660E+01  -0.453794E+02   0.382081E+07   0.405736E+04
   146   0.422567E+04   0.110377E+01  -0.455269E+02   0.379879E+07   0.402128E+04
   147   0.425897E+04   0.110054E+01  -0.456511E+02   0.377694E+07   0.398559E+04
   148   0.429214E+04   0.109679E+01  -0.457534E+02   0.375526E+07   0.395025E+04
   149   0.432523E+04   0.109258E+01  -0.458323E+02   0.373375E+07   0.391521E+04
   150   0.435805E+04   0.108798E+01  -0.458858E+02   0.371240E+07   0.388043E+04
   151   0.439072E+04   0.108293E+01  -0.459166E+02   0.369122E+07   0.384587E+04
   152   0.442311E+04   0.107734E+01  -0.459234E+02   0.367021E+07   0.381155E+04
   153   0.445535E+04   0.107138E+01  -0.459039E+02   0.364936E+07   0.377745E+04
   154   0.448738E+04   0.106503E+01  -0.458603E+02   0.362867E+07   0.374359E+04
   155   0.451919E+04   0.105830E+01  -0.457918E+02   0.360814E+07   0.370998E+04
   156   0.455063E+04   0.105118E+01  -0.456985E+02   0.358777E+07   0.367661E+04
   157   0.458200E+04   0.104369E+01  -0.455789E+02   0.356756E+07   0.364351E+04
   158   0.461308E+04   0.103590E+01  -0.454336E+02   0.354751E+07   0.361066E+04
   159   0.464385E+04   0.102765E+01  -0.452627E+02   0.352762E+07   0.357809E+04
   160   0.467440E+04   0.101910E+01  -0.450647E+02   0.350789E+07   0.354579E+04
   161   0.470472E+04   0.101032E+01  -0.448409E+02   0.348831E+07   0.351378E+04
   162   0.473474E+04   0.100116E+01  -0.445915E+02   0.346888E+07   0.348205E+04
   163   0.476461E+04   0.991705E+00  -0.443150E+02   0.344961E+07   0.345062E+04
   164   0.479402E+04   0.982022E+00  -0.440127E+02   0.343050E+07   0.341949E+04
   165   0.482327E+04   0.972039E+00  -0.436824E+02   0.341153E+07   0.338867E+04
   166   0.485221E+04   0.961905E+00  -0.433257E+02   0.339272E+07   0.335816E+04
   167   0.488092E+04   0.951399E+00  -0.429433E+02   0.337406E+07   0.332797E+04
   168   0.490917E+04   0.940893E+00  -0.425328E+02   0.335554E+07   0.329811E+04
   169   0.493711E+04   0.930089E+00  -0.420943E+02   0.333718E+07   0.326859E+04
   170   0.496473E+04   0.919213E+00  -0.416294E+02   0.331896E+07   0.323940E+04
   171   0.499189E+04   0.908263E+00  -0.411356E+02   0.330089E+07   0.321056E+04
   172   0.501866E+04   0.897168E+00  -0.406145E+02   0.328296E+07   0.318207E+04
   173   0.504496E+04   0.885927E+00  -0.400661E+02   0.326518E+07   0.315395E+04
   174   0.507094E+04   0.874838E+00  -0.394904E+02   0.324754E+07   0.312618E+04
   175   0.509652E+04   0.863605E+00  -0.388866E+02   0.323005E+07   0.309879E+04
   176   0.512156E+04   0.852452E+00  -0.382547E+02   0.321270E+07   0.307178E+04
   177   0.514620E+04   0.841304E+00  -0.375962E+02   0.319548E+07   0.304513E+04
   178   0.517037E+04   0.830385E+00  -0.369096E+02   0.317841E+07   0.301884E+04
