#    L    TT             EE             BB             TE          
     2   0.107869E+04   0.466886E-01   0.185821E-05   0.324533E+01
     3   0.101902E+04   0.745215E-01   0.371699E-05   0.399240E+01
     4   0.959865E+03   0.820537E-01   0.619627E-05   0.405623E+01
     5   0.913634E+03   0.713506E-01   0.929680E-05   0.372302E+01
     6   0.880169E+03   0.517433E-01   0.130195E-04   0.322561E+01
     7   0.857492E+03   0.324307E-01   0.173655E-04   0.268987E+01
     8   0.842787E+03   0.185585E-01   0.223361E-04   0.217969E+01
     9   0.834200E+03   0.108890E-01   0.279327E-04   0.174877E+01
    10   0.830351E+03   0.762555E-02   0.341569E-04   0.142460E+01
    11   0.829958E+03   0.649731E-02   0.410103E-04   0.120914E+01
    12   0.833087E+03   0.597421E-02   0.484947E-04   0.109159E+01
    13   0.838000E+03   0.558630E-02   0.566121E-04   0.104953E+01
    14   0.844010E+03   0.508458E-02   0.653644E-04   0.106393E+01
    15   0.851459E+03   0.463064E-02   0.747537E-04   0.111573E+01
    16   0.860704E+03   0.447073E-02   0.847820E-04   0.118690E+01
    17   0.871500E+03   0.474048E-02   0.954516E-04   0.126235E+01
    18   0.882797E+03   0.530806E-02   0.106765E-03   0.133149E+01
    19   0.895702E+03   0.593124E-02   0.118723E-03   0.139188E+01
    20   0.908796E+03   0.645393E-02   0.131329E-03   0.144124E+01
    21   0.922236E+03   0.689980E-02   0.144585E-03   0.148328E+01
    22   0.936095E+03   0.740599E-02   0.158493E-03   0.151969E+01
    23   0.950166E+03   0.813897E-02   0.173054E-03   0.155366E+01
    24   0.964538E+03   0.920874E-02   0.188272E-03   0.158879E+01
    25   0.979228E+03   0.106332E-01   0.204147E-03   0.162777E+01
    26   0.994101E+03   0.123620E-01   0.220681E-03   0.167365E+01
    27   0.100932E+04   0.143274E-01   0.237876E-03   0.172468E+01
    28   0.102469E+04   0.164933E-01   0.255733E-03   0.177900E+01
    29   0.104035E+04   0.188508E-01   0.274255E-03   0.183420E+01
    30   0.105634E+04   0.214058E-01   0.293441E-03   0.188612E+01
    31   0.107244E+04   0.241575E-01   0.313292E-03   0.193091E+01
    32   0.108880E+04   0.270899E-01   0.333811E-03   0.196549E+01
    33   0.110549E+04   0.301748E-01   0.354997E-03   0.198677E+01
    34   0.112242E+04   0.333983E-01   0.376851E-03   0.199290E+01
    35   0.113961E+04   0.367670E-01   0.399374E-03   0.198431E+01
    36   0.115697E+04   0.403064E-01   0.422565E-03   0.196122E+01
    37   0.117442E+04   0.440625E-01   0.446425E-03   0.192494E+01
    38   0.119219E+04   0.480824E-01   0.470954E-03   0.187868E+01
    39   0.121026E+04   0.523668E-01   0.496150E-03   0.182352E+01
    40   0.122842E+04   0.569106E-01   0.522015E-03   0.175977E+01
    41   0.124681E+04   0.617164E-01   0.548547E-03   0.168748E+01
    42   0.126520E+04   0.667974E-01   0.575746E-03   0.160641E+01
    43   0.128375E+04   0.721693E-01   0.603611E-03   0.151625E+01
    44   0.130229E+04   0.778329E-01   0.632141E-03   0.141760E+01
    45   0.132121E+04   0.837995E-01   0.661334E-03   0.131110E+01
    46   0.134041E+04   0.900767E-01   0.691191E-03   0.119505E+01
    47   0.135976E+04   0.966437E-01   0.721710E-03   0.106811E+01
    48   0.137918E+04   0.103480E+00   0.752889E-03   0.931674E+00
    49   0.139874E+04   0.110542E+00   0.784728E-03   0.786562E+00
    50   0.141866E+04   0.117780E+00   0.817225E-03   0.626800E+00
    51   0.143871E+04   0.125150E+00   0.850379E-03   0.445982E+00
    52   0.145912E+04   0.132764E+00   0.884189E-03   0.241592E+00
    53   0.147953E+04   0.140807E+00   0.918654E-03   0.139322E-01
    54   0.149987E+04   0.149307E+00   0.953772E-03  -0.228723E+00
    55   0.152035E+04   0.158280E+00   0.989542E-03  -0.477985E+00
    56   0.154121E+04   0.167605E+00   0.102596E-02  -0.732608E+00
    57   0.156238E+04   0.177149E+00   0.106304E-02  -0.993605E+00
    58   0.158386E+04   0.186881E+00   0.110076E-02  -0.126379E+01
    59   0.160551E+04   0.196801E+00   0.113913E-02  -0.154599E+01
    60   0.162732E+04   0.206923E+00   0.117815E-02  -0.184161E+01
    61   0.164961E+04   0.217314E+00   0.121782E-02  -0.215151E+01
    62   0.167177E+04   0.227984E+00   0.125813E-02  -0.247673E+01
    63   0.169402E+04   0.238930E+00   0.129909E-02  -0.281798E+01
    64   0.171665E+04   0.250200E+00   0.134071E-02  -0.317622E+01
    65   0.173929E+04   0.261804E+00   0.138296E-02  -0.355178E+01
    66   0.176223E+04   0.273704E+00   0.142587E-02  -0.394250E+01
    67   0.178533E+04   0.285886E+00   0.146943E-02  -0.434515E+01
    68   0.180886E+04   0.298370E+00   0.151364E-02  -0.475756E+01
    69   0.183261E+04   0.311092E+00   0.155850E-02  -0.517748E+01
    70   0.185672E+04   0.324072E+00   0.160401E-02  -0.560607E+01
    71   0.188104E+04   0.337281E+00   0.165017E-02  -0.604545E+01
    72   0.190557E+04   0.350707E+00   0.169699E-02  -0.649756E+01
    73   0.193023E+04   0.364331E+00   0.174447E-02  -0.696382E+01
    74   0.195504E+04   0.378162E+00   0.179261E-02  -0.744417E+01
    75   0.198008E+04   0.392228E+00   0.184140E-02  -0.793793E+01
    76   0.200526E+04   0.406542E+00   0.189087E-02  -0.844504E+01
    77   0.203067E+04   0.421090E+00   0.194099E-02  -0.896490E+01
    78   0.205639E+04   0.435884E+00   0.199179E-02  -0.949827E+01
    79   0.208227E+04   0.450858E+00   0.204326E-02  -0.100407E+02
    80   0.210847E+04   0.466003E+00   0.209540E-02  -0.105929E+02
    81   0.213491E+04   0.481257E+00   0.214822E-02  -0.111548E+02
    82   0.216166E+04   0.496636E+00   0.220172E-02  -0.117256E+02
    83   0.218865E+04   0.512111E+00   0.225591E-02  -0.123050E+02
    84   0.221595E+04   0.527673E+00   0.231078E-02  -0.128913E+02
    85   0.224340E+04   0.543293E+00   0.236634E-02  -0.134858E+02
    86   0.227109E+04   0.558978E+00   0.242260E-02  -0.140875E+02
    87   0.229922E+04   0.574691E+00   0.247956E-02  -0.146955E+02
    88   0.232736E+04   0.590439E+00   0.253721E-02  -0.153095E+02
    89   0.235587E+04   0.606200E+00   0.259557E-02  -0.159308E+02
    90   0.238459E+04   0.621929E+00   0.265464E-02  -0.165562E+02
    91   0.241345E+04   0.637612E+00   0.271443E-02  -0.171863E+02
    92   0.244261E+04   0.653236E+00   0.277493E-02  -0.178203E+02
    93   0.247206E+04   0.668797E+00   0.283614E-02  -0.184585E+02
    94   0.250157E+04   0.684261E+00   0.289809E-02  -0.190994E+02
    95   0.253138E+04   0.699632E+00   0.296075E-02  -0.197438E+02
    96   0.256119E+04   0.714897E+00   0.302415E-02  -0.203912E+02
    97   0.259144E+04   0.730044E+00   0.308829E-02  -0.210408E+02
    98   0.262191E+04   0.745070E+00   0.315316E-02  -0.216906E+02
    99   0.265245E+04   0.759941E+00   0.321878E-02  -0.223436E+02
   100   0.268330E+04   0.774660E+00   0.328514E-02  -0.229955E+02
   101   0.271429E+04   0.789289E+00   0.335225E-02  -0.236494E+02
   102   0.274580E+04   0.803683E+00   0.342012E-02  -0.243031E+02
   103   0.277725E+04   0.817920E+00   0.348874E-02  -0.249574E+02
   104   0.280892E+04   0.832003E+00   0.355812E-02  -0.256095E+02
   105   0.284075E+04   0.845860E+00   0.362827E-02  -0.262611E+02
   106   0.287280E+04   0.859570E+00   0.369919E-02  -0.269114E+02
   107   0.290479E+04   0.872987E+00   0.377088E-02  -0.275590E+02
   108   0.293715E+04   0.886188E+00   0.384335E-02  -0.282049E+02
   109   0.296967E+04   0.899102E+00   0.391659E-02  -0.288476E+02
   110   0.300228E+04   0.911733E+00   0.399062E-02  -0.294858E+02
   111   0.303505E+04   0.924157E+00   0.406545E-02  -0.301210E+02
   112   0.306797E+04   0.936300E+00   0.414106E-02  -0.307524E+02
   113   0.310113E+04   0.948160E+00   0.421747E-02  -0.313785E+02
   114   0.313437E+04   0.959662E+00   0.429469E-02  -0.319984E+02
   115   0.316784E+04   0.970953E+00   0.437271E-02  -0.326121E+02
   116   0.320132E+04   0.981808E+00   0.445154E-02  -0.332188E+02
   117   0.323511E+04   0.992302E+00   0.453119E-02  -0.338177E+02
   118   0.326905E+04   0.100258E+01   0.461166E-02  -0.344093E+02
   119   0.330300E+04   0.101249E+01   0.469295E-02  -0.349915E+02
   120   0.333710E+04   0.102189E+01   0.477508E-02  -0.355642E+02
   121   0.337121E+04   0.103107E+01   0.485805E-02  -0.361273E+02
   122   0.340539E+04   0.103974E+01   0.494186E-02  -0.366799E+02
   123   0.343966E+04   0.104796E+01   0.502652E-02  -0.372220E+02
   124   0.347400E+04   0.105580E+01   0.511203E-02  -0.377506E+02
