#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.128289E+04   0.151811E+01   0.980520E-03   0.151811E+01   0.715728E-01  -0.119026E-05   0.980520E-03  -0.119026E-05   0.146809E-06
    44   0.130140E+04   0.141957E+01   0.959197E-03   0.141957E+01   0.772090E-01  -0.907483E-06   0.959197E-03  -0.907483E-06   0.146432E-06
    45   0.132028E+04   0.131320E+01   0.938644E-03   0.131320E+01   0.831476E-01  -0.596955E-06   0.938644E-03  -0.596955E-06   0.146025E-06
    46   0.133945E+04   0.119727E+01   0.918828E-03   0.119727E+01   0.893962E-01  -0.281554E-06   0.918828E-03  -0.281554E-06   0.145590E-06
    47   0.135877E+04   0.107045E+01   0.899715E-03   0.107045E+01   0.959341E-01   0.158402E-07   0.899715E-03   0.158402E-07   0.145130E-06
    48   0.137816E+04   0.934143E+00   0.881274E-03   0.934143E+00   0.102741E+00   0.272346E-06   0.881274E-03   0.272346E-06   0.144646E-06
    49   0.139768E+04   0.789153E+00   0.863471E-03   0.789153E+00   0.109773E+00   0.465084E-06   0.863471E-03   0.465084E-06   0.144141E-06
    50   0.141756E+04   0.629513E+00   0.846274E-03   0.629513E+00   0.116980E+00   0.571173E-06   0.846274E-03   0.571173E-06   0.143615E-06
    51   0.143758E+04   0.448814E+00   0.829651E-03   0.448814E+00   0.124319E+00   0.574804E-06   0.829651E-03   0.574804E-06   0.143072E-06
    52   0.145796E+04   0.244539E+00   0.813580E-03   0.244539E+00   0.131902E+00   0.488451E-06   0.813580E-03   0.488451E-06   0.142512E-06
    53   0.147834E+04   0.169920E-01   0.798039E-03   0.169920E-01   0.139913E+00   0.331657E-06   0.798039E-03   0.331657E-06   0.141935E-06
    54   0.149864E+04  -0.225556E+00   0.783007E-03  -0.225556E+00   0.148381E+00   0.123969E-06   0.783007E-03   0.123969E-06   0.141344E-06
    55   0.151909E+04  -0.474716E+00   0.768463E-03  -0.474716E+00   0.157321E+00  -0.115069E-06   0.768463E-03  -0.115069E-06   0.140738E-06
    56   0.153991E+04  -0.729243E+00   0.754386E-03  -0.729243E+00   0.166613E+00  -0.365912E-06   0.754386E-03  -0.365912E-06   0.140119E-06
    57   0.156105E+04  -0.990151E+00   0.740754E-03  -0.990151E+00   0.176124E+00  -0.609016E-06   0.740754E-03  -0.609016E-06   0.139488E-06
    58   0.158249E+04  -0.126025E+01   0.727546E-03  -0.126025E+01   0.185822E+00  -0.824837E-06   0.727546E-03  -0.824837E-06   0.138845E-06
    59   0.160410E+04  -0.154239E+01   0.714741E-03  -0.154239E+01   0.195708E+00  -0.993828E-06   0.714741E-03  -0.993828E-06   0.138192E-06
    60   0.162588E+04  -0.183795E+01   0.702319E-03  -0.183795E+01   0.205795E+00  -0.109645E-05   0.702319E-03  -0.109645E-05   0.137529E-06
    61   0.164813E+04  -0.214780E+01   0.690256E-03  -0.214780E+01   0.216151E+00  -0.111901E-05   0.690256E-03  -0.111901E-05   0.136857E-06
    62   0.167025E+04  -0.247298E+01   0.678529E-03  -0.247298E+01   0.226786E+00  -0.107131E-05   0.678529E-03  -0.107131E-05   0.136178E-06
    63   0.169246E+04  -0.281421E+01   0.667112E-03  -0.281421E+01   0.237697E+00  -0.968977E-06   0.667112E-03  -0.968977E-06   0.135491E-06
    64   0.171506E+04  -0.317244E+01   0.655981E-03  -0.317244E+01   0.248931E+00  -0.827675E-06   0.655981E-03  -0.827675E-06   0.134797E-06
    65   0.173767E+04  -0.354801E+01   0.645109E-03  -0.354801E+01   0.260500E+00  -0.663047E-06   0.645109E-03  -0.663047E-06   0.134097E-06
    66   0.176057E+04  -0.393875E+01   0.634474E-03  -0.393875E+01   0.272363E+00  -0.490740E-06   0.634474E-03  -0.490740E-06   0.133392E-06
    67   0.178363E+04  -0.434145E+01   0.624048E-03  -0.434145E+01   0.284509E+00  -0.326402E-06   0.624048E-03  -0.326402E-06   0.132683E-06
    68   0.180713E+04  -0.475392E+01   0.613807E-03  -0.475392E+01   0.296957E+00  -0.185682E-06   0.613807E-03  -0.185682E-06   0.131970E-06
    69   0.183084E+04  -0.517392E+01   0.603726E-03  -0.517392E+01   0.309643E+00  -0.842269E-07   0.603726E-03  -0.842269E-07   0.131254E-06
    70   0.185491E+04  -0.560262E+01   0.593780E-03  -0.560262E+01   0.322585E+00  -0.376854E-07   0.593780E-03  -0.376854E-07   0.130535E-06
    71   0.187919E+04  -0.604212E+01   0.583951E-03  -0.604212E+01   0.335759E+00  -0.571890E-07   0.583951E-03  -0.571890E-07   0.129815E-06
    72   0.190369E+04  -0.649438E+01   0.574256E-03  -0.649438E+01   0.349147E+00  -0.135804E-06   0.574256E-03  -0.135804E-06   0.129093E-06
    73   0.192832E+04  -0.696083E+01   0.564717E-03  -0.696083E+01   0.362735E+00  -0.262080E-06   0.564717E-03  -0.262080E-06   0.128370E-06
    74   0.195309E+04  -0.744138E+01   0.555358E-03  -0.744138E+01   0.376529E+00  -0.424567E-06   0.555358E-03  -0.424567E-06   0.127645E-06
    75   0.197809E+04  -0.793537E+01   0.546201E-03  -0.793537E+01   0.390557E+00  -0.611816E-06   0.546201E-03  -0.611816E-06   0.126920E-06
    76   0.200324E+04  -0.844274E+01   0.537271E-03  -0.844274E+01   0.404835E+00  -0.812376E-06   0.537271E-03  -0.812376E-06   0.126194E-06
    77   0.202862E+04  -0.896290E+01   0.528590E-03  -0.896290E+01   0.419345E+00  -0.101480E-05   0.528590E-03  -0.101480E-05   0.125468E-06
    78   0.205430E+04  -0.949658E+01   0.520182E-03  -0.949658E+01   0.434102E+00  -0.120763E-05   0.520182E-03  -0.120763E-05   0.124742E-06
    79   0.208015E+04  -0.100393E+02   0.512069E-03  -0.100393E+02   0.449039E+00  -0.137942E-05   0.512069E-03  -0.137942E-05   0.124015E-06
    80   0.210631E+04  -0.105919E+02   0.504277E-03  -0.105919E+02   0.464146E+00  -0.151873E-05   0.504277E-03  -0.151873E-05   0.123289E-06
    81   0.213271E+04  -0.111543E+02   0.496818E-03  -0.111543E+02   0.479363E+00  -0.161675E-05   0.496818E-03  -0.161675E-05   0.122563E-06
    82   0.215943E+04  -0.117256E+02   0.489676E-03  -0.117256E+02   0.494705E+00  -0.167530E-05   0.489676E-03  -0.167530E-05   0.121838E-06
    83   0.218639E+04  -0.123055E+02   0.482824E-03  -0.123055E+02   0.510142E+00  -0.169885E-05   0.482824E-03  -0.169885E-05   0.121114E-06
    84   0.221366E+04  -0.128923E+02   0.476236E-03  -0.128923E+02   0.525667E+00  -0.169189E-05   0.476236E-03  -0.169189E-05   0.120391E-06
    85   0.224109E+04  -0.134874E+02   0.469885E-03  -0.134874E+02   0.541250E+00  -0.165887E-05   0.469885E-03  -0.165887E-05   0.119670E-06
    86   0.226874E+04  -0.140897E+02   0.463745E-03  -0.140897E+02   0.556898E+00  -0.160427E-05   0.463745E-03  -0.160427E-05   0.118950E-06
    87   0.229685E+04  -0.146984E+02   0.457791E-03  -0.146984E+02   0.572573E+00  -0.153256E-05   0.457791E-03  -0.153256E-05   0.118232E-06
    88   0.232496E+04  -0.153131E+02   0.451994E-03  -0.153131E+02   0.588284E+00  -0.144821E-05   0.451994E-03  -0.144821E-05   0.117517E-06
    89   0.235343E+04  -0.159351E+02   0.446331E-03  -0.159351E+02   0.604007E+00  -0.135569E-05   0.446331E-03  -0.135569E-05   0.116804E-06
    90   0.238213E+04  -0.165613E+02   0.440773E-03  -0.165613E+02   0.619698E+00  -0.125949E-05   0.440773E-03  -0.125949E-05   0.116094E-06
    91   0.241097E+04  -0.171922E+02   0.435299E-03  -0.171922E+02   0.635344E+00  -0.116339E-05   0.435299E-03  -0.116339E-05   0.115387E-06
    92   0.244010E+04  -0.178272E+02   0.429904E-03  -0.178272E+02   0.650931E+00  -0.106855E-05   0.429904E-03  -0.106855E-05   0.114683E-06
    93   0.246953E+04  -0.184663E+02   0.424587E-03  -0.184663E+02   0.666454E+00  -0.975437E-06   0.424587E-03  -0.975437E-06   0.113983E-06
    94   0.249902E+04  -0.191082E+02   0.419348E-03  -0.191082E+02   0.681881E+00  -0.884529E-06   0.419348E-03  -0.884529E-06   0.113285E-06
    95   0.252881E+04  -0.197537E+02   0.414184E-03  -0.197537E+02   0.697213E+00  -0.796303E-06   0.414184E-03  -0.796303E-06   0.112591E-06
    96   0.255860E+04  -0.204021E+02   0.409097E-03  -0.204021E+02   0.712440E+00  -0.711234E-06   0.409097E-03  -0.711234E-06   0.111901E-06
    97   0.258883E+04  -0.210529E+02   0.404083E-03  -0.210529E+02   0.727549E+00  -0.629798E-06   0.404083E-03  -0.629798E-06   0.111213E-06
    98   0.261928E+04  -0.217039E+02   0.399144E-03  -0.217039E+02   0.742537E+00  -0.552472E-06   0.399144E-03  -0.552472E-06   0.110530E-06
    99   0.264981E+04  -0.223582E+02   0.394277E-03  -0.223582E+02   0.757369E+00  -0.479730E-06   0.394277E-03  -0.479730E-06   0.109849E-06
   100   0.268064E+04  -0.230114E+02   0.389482E-03  -0.230114E+02   0.772049E+00  -0.412049E-06   0.389482E-03  -0.412049E-06   0.109173E-06
   101   0.271162E+04  -0.236666E+02   0.384759E-03  -0.236666E+02   0.786639E+00  -0.349905E-06   0.384759E-03  -0.349905E-06   0.108500E-06
   102   0.274313E+04  -0.243217E+02   0.380105E-03  -0.243217E+02   0.800994E+00  -0.293774E-06   0.380105E-03  -0.293774E-06   0.107831E-06
   103   0.277456E+04  -0.249775E+02   0.375521E-03  -0.249775E+02   0.815191E+00  -0.244132E-06   0.375521E-03  -0.244132E-06   0.107165E-06
   104   0.280623E+04  -0.256311E+02   0.371006E-03  -0.256311E+02   0.829233E+00  -0.201455E-06   0.371006E-03  -0.201455E-06   0.106504E-06
   105   0.283805E+04  -0.262843E+02   0.366559E-03  -0.262843E+02   0.843050E+00  -0.166218E-06   0.366559E-03  -0.166218E-06   0.105846E-06
